cmun,cdis,consultorios_de_salud,helisuperficies,centros_de_atencion_a_drogodependientes,centros_de_salud,estaciones_de_cercanias,hospitales,otros_centros_de_salud,centros_de_salud_mental,centros_de_especialidades,bocas_de_metro,intercambiadores,aeropuertos
001,01,1,1,0,0,0,0,0,0,0,0,0,0
002,01,1,0,0,0,0,0,0,0,0,0,0,0
003,01,1,1,0,0,0,0,0,0,0,0,0,0
004,01,1,0,0,0,0,0,0,0,0,0,0,0
005,01,0,0,1,2,1,1,1,0,0,0,0,0
005,02,0,0,0,3,0,0,0,1,0,0,0,0
005,03,0,0,0,2,1,0,0,0,0,0,0,0
005,04,0,0,0,1,1,1,0,1,1,0,0,0
005,05,0,0,0,2,0,0,0,0,0,0,0,0
006,01,0,0,1,5,2,0,0,1,1,9,0,0
007,01,0,1,1,1,2,2,0,0,0,9,0,0
007,02,0,0,0,2,1,0,0,1,0,8,0,0
007,03,0,0,0,2,0,0,0,0,0,1,0,0
007,04,0,0,0,2,0,0,0,0,0,0,0,0
008,01,1,0,0,0,0,0,0,0,0,0,0,0
009,01,1,1,0,1,0,0,0,0,0,0,0,0
010,01,1,0,0,0,2,0,0,0,0,0,0,0
011,01,1,0,0,0,0,0,0,0,0,0,0,0
012,01,1,0,0,0,0,0,0,0,0,0,0,0
013,01,0,0,1,1,0,0,0,0,0,0,0,0
013,03,0,0,0,1,0,0,0,0,0,0,0,0
013,04,0,1,0,0,1,1,0,1,0,0,0,0
014,01,1,0,1,2,0,1,0,1,0,2,0,0
015,01,1,0,0,1,0,0,0,0,0,0,0,0
016,01,1,1,0,0,0,0,0,0,0,0,0,0
017,01,1,0,0,0,0,0,0,0,0,0,0,0
018,01,1,0,0,0,0,0,0,0,0,0,0,0
019,01,1,0,0,0,0,0,0,0,0,0,0,0
020,01,1,1,0,0,0,0,0,0,0,0,0,0
021,01,1,1,0,0,0,0,0,0,0,0,0,0
022,01,1,0,0,1,0,1,0,0,0,8,0,0
023,01,3,0,0,0,0,0,0,0,0,0,0,0
024,01,1,1,0,0,0,0,0,0,0,0,0,0
025,01,1,1,0,0,0,0,0,0,0,0,0,0
026,01,1,2,0,0,0,1,0,0,0,0,0,0
027,01,0,1,0,1,0,0,0,0,0,0,0,0
028,01,1,1,0,0,0,0,0,0,0,0,0,0
029,01,1,0,0,0,0,0,0,0,0,0,0,0
030,01,0,1,0,1,0,0,0,0,0,0,0,0
031,01,0,1,0,1,0,0,0,0,0,0,0,0
032,01,1,0,0,0,0,0,0,0,0,0,0,0
033,01,0,1,0,1,0,0,0,0,0,0,0,0
034,01,1,1,0,0,0,0,0,0,0,0,0,0
035,01,1,0,0,0,0,0,0,0,0,0,0,0
036,01,1,0,0,0,0,0,0,0,0,0,0,0
037,01,1,1,0,0,0,0,0,0,0,0,0,0
038,01,0,0,0,1,2,1,0,0,0,0,0,0
039,01,1,1,0,0,0,0,0,0,0,0,0,0
040,01,0,0,0,1,1,1,0,0,0,0,0,0
040,02,0,0,0,0,0,1,0,0,0,0,0,0
041,01,1,0,0,0,0,0,0,0,0,0,0,0
042,01,1,0,0,0,0,0,0,0,0,0,0,0
043,01,0,0,0,1,0,0,0,0,0,0,0,0
044,01,1,0,0,0,0,0,0,0,0,0,0,0
045,01,0,0,1,2,1,0,0,1,1,0,0,0
046,01,1,0,0,0,1,0,0,0,0,0,0,0
047,01,0,0,1,3,1,1,0,1,0,0,0,0
048,01,1,0,0,0,0,0,0,0,0,0,0,0
049,01,0,0,0,2,1,0,0,0,0,4,0,0
049,02,0,1,1,3,0,1,0,1,0,5,0,0
049,04,1,0,0,0,1,1,0,0,0,0,0,0
050,01,1,0,0,1,0,0,0,0,0,0,0,0
051,01,1,0,0,0,0,0,0,0,0,0,0,0
052,01,1,1,0,0,0,0,0,0,0,0,0,0
053,01,1,0,0,0,0,0,0,0,0,0,0,0
054,01,1,0,0,0,1,0,0,0,0,0,0,0
054,02,1,0,0,0,1,0,0,0,0,0,0,0
055,01,1,1,0,0,0,0,0,0,0,0,0,0
056,01,1,0,0,0,0,0,0,0,0,0,0,0
057,01,1,1,0,0,0,0,0,0,0,0,0,0
058,02,0,0,0,1,0,0,0,0,0,3,0,0
058,03,0,0,0,1,0,0,0,0,0,0,0,0
058,04,0,0,0,1,0,0,0,1,1,2,0,0
058,06,1,0,1,2,1,0,0,0,0,0,0,0
058,07,0,0,0,1,0,1,0,0,0,4,0,0
058,08,0,0,0,0,1,0,0,0,0,2,0,0
058,09,0,0,0,1,0,0,0,0,0,3,0,0
059,01,1,0,0,0,0,0,0,0,0,0,0,0
060,01,1,1,0,0,0,0,0,0,0,0,0,0
061,01,0,0,0,1,2,0,0,0,0,0,0,0
062,01,2,2,0,0,0,0,0,0,0,0,0,0
063,01,2,1,0,0,0,0,0,0,0,0,0,0
064,01,1,0,0,0,0,0,0,0,0,0,0,0
065,01,0,0,0,1,1,0,0,0,0,0,0,0
065,02,0,0,0,2,2,0,0,0,0,5,0,0
065,03,0,0,1,3,1,1,0,0,0,10,0,0
065,04,0,0,0,3,1,0,0,1,1,5,0,0
066,01,0,0,0,1,0,0,0,0,0,0,0,0
067,01,1,1,0,0,0,0,0,0,0,0,0,0
068,01,0,0,0,1,0,2,0,0,0,0,0,0
069,01,1,1,0,0,0,0,0,0,0,0,0,0
070,01,2,0,0,0,0,0,0,0,0,0,0,0
071,01,1,1,0,0,0,0,0,0,0,0,0,0
072,01,1,0,0,0,0,0,0,0,0,0,0,0
073,01,1,0,0,1,1,0,0,0,0,0,0,0
074,01,0,0,1,2,1,3,5,6,0,6,0,0
074,02,0,0,0,1,0,0,0,0,0,3,0,0
074,03,0,0,0,1,0,0,0,0,0,3,0,0
074,04,0,0,0,2,0,0,0,0,1,3,0,0
074,05,0,0,0,2,1,0,0,0,0,3,0,0
074,06,0,0,0,1,0,0,0,0,0,2,0,0
074,07,0,0,0,0,1,0,0,0,0,0,0,0
075,01,1,0,0,0,0,0,0,0,0,0,0,0
076,01,1,1,0,0,0,0,0,0,0,0,0,0
078,01,1,1,0,0,0,0,0,0,0,0,0,0
079,01,0,0,1,6,2,1,5,2,0,64,1,0
079,02,1,0,1,8,4,0,1,1,1,25,2,0
079,03,0,0,1,3,0,4,1,1,0,25,2,0
079,04,0,0,0,6,1,6,4,2,1,50,1,0
079,05,0,0,1,7,1,4,5,0,0,39,3,0
079,06,0,1,2,5,1,1,0,2,1,32,2,0
079,07,0,0,0,6,0,5,2,2,1,52,0,0
079,08,1,0,0,8,7,9,1,2,1,34,0,0
079,09,0,0,1,7,3,7,1,1,1,33,2,0
079,10,0,0,1,12,5,4,0,2,1,33,2,1
079,11,0,0,0,8,0,0,0,2,1,34,0,0
079,12,0,1,1,6,2,1,0,1,1,14,1,0
079,13,0,0,1,12,2,0,0,2,3,23,0,0
079,14,0,0,0,3,0,0,0,1,1,13,1,0
079,15,0,0,0,9,0,6,0,1,0,35,1,0
079,16,0,0,1,6,1,2,0,1,1,36,0,0
079,17,0,0,1,6,5,0,0,1,1,12,2,0
079,18,0,1,1,3,2,2,0,0,0,15,0,0
079,19,0,0,0,3,1,0,1,1,0,13,0,0
079,20,0,1,2,4,0,1,0,1,1,25,2,0
079,21,0,0,0,2,2,0,1,1,0,15,2,1
