cmun,cdis,bakery,bar,butcher,cafe,car_dealership,clothes,convenience,fast_food,food_court,furniture_shop,gift_shop,greengrocer,guesthouse,hairdresser,hotel,pub,restaurant,stationery,vending_any,bicycle_rental,hostel,supermarket,beauty_shop,beverages,bicycle_shop,bookshop,chemist,computer_shop,doityourself,florist,jeweller,kiosk,mall,mobile_phone_shop,optician,shoe_shop,toy_shop,travel_agent,car_rental,car_wash,outdoor_shop,sports_shop,caravan_site,biergarten,garden_centre,laundry,department_store,newsagent,vending_parking,chalet,shelter,motel,camp_site,general,alpine_hut,video_shop,vending_machine,car_sharing
002,01,2,2,1,5,1,1,2,1,2,2,1,1,1,2,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003,01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
004,01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005,01,4,22,2,12,1,13,4,8,0,3,2,1,0,16,3,24,53,1,0,0,0,6,3,1,3,7,1,3,2,2,2,1,1,2,4,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005,02,5,10,2,6,1,1,2,1,0,0,0,1,0,4,0,4,5,3,0,0,2,6,0,0,1,0,0,3,2,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005,03,1,2,0,1,3,0,2,2,0,0,0,0,0,0,3,2,18,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005,04,2,3,1,3,0,1,2,5,1,1,0,0,0,4,0,2,10,1,0,0,0,3,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005,05,7,11,2,19,3,28,13,11,0,8,1,8,0,21,1,31,22,2,2,0,0,10,10,0,2,3,0,2,3,2,3,0,0,7,6,7,4,1,1,2,0,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
006,01,4,7,0,12,5,0,8,10,0,2,0,2,0,7,3,7,73,0,0,0,0,8,6,0,4,3,1,0,3,1,0,0,0,1,2,3,3,1,1,1,0,1,0,0,1,4,1,2,2,0,0,0,0,0,0,0,0,0
007,01,1,1,0,3,1,0,1,7,0,1,0,0,0,1,3,0,26,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007,02,1,1,1,2,0,0,1,4,0,0,0,1,0,0,0,0,13,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007,03,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007,04,2,6,0,6,0,0,6,6,0,0,0,1,1,5,0,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009,01,0,2,0,1,0,1,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
010,01,1,17,2,4,0,1,1,5,0,0,1,0,0,1,1,2,11,0,0,0,1,3,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
011,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013,01,0,2,0,3,0,1,1,0,0,0,0,0,0,2,1,1,7,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
