grupo,tipo,nombre,CODMUN,DIRECCION,X,Y,info,CMUN,CDIS
Transporte,Intercambiadores,Grandes Intercambiadores Plaza Elíptica,079,Plaza Elíptica s/n,-3.716576654887855,40.385397612809335,NA,079,12
Transporte,Intercambiadores,Grandes Intercambiadores Moncloa,079,"Calle Princesa, 89",-3.719508144448025,40.43473593646976,NA,079,09
Transporte,Intercambiadores,Grandes Intercambiadores Príncipe Pío,079,Estación Príncipe Pío,-3.7195600209310817,40.420798658770714,NA,079,09
Transporte,Intercambiadores,Grandes Intercambiadores Plaza de Castilla,079,Calle San Aquilino y Avenida de Asturias,-3.689044036845213,40.467192269571,NA,079,05
Transporte,Intercambiadores,Grandes Intercambiadores Avenida de América,079,Avenida de América 9 A,-3.6767306918275127,40.43796723937417,NA,079,05
Transporte,Intercambiadores,Grandes Intercambiadores Chamartín,079,"Calle Agustín de Foxá, s/n",-3.6824323140578463,40.471980347221034,NA,079,05
Transporte,Intercambiadores,Grandes Intercambiadores Nuevos Ministerios,079,"Calle Raimundo Fernández Villaverde, 69",-3.692761192363752,40.44671181098093,NA,079,06
Transporte,Intercambiadores,Grandes Intercambiadores Méndez Alvaro Estación Su,079,Calle Méndez Alvaro,-3.678503605393544,40.39537421722092,NA,079,02
Transporte,Intercambiadores,Grandes Intercambiadores Puerta del Sol,079,Plaza Puerta del Sol,-3.702842096405097,40.416854219675784,NA,079,01
Transporte,Intercambiadores,Grandes Intercambiadores Aluche,079,Avenida de los Poblados,-3.760822345855248,40.38570551709863,NA,079,10
Transporte,Intercambiadores,Grandes Intercambiadores Atocha Renfe,079,Paseo Infanta Isabel,-3.6905586266381465,40.40890339495012,NA,079,03
Transporte,Intercambiadores,Grandes Intercambiadores Aeropuerto-T1-T2-T-3,079,Avenida de la Hispanidad,-3.5722565742151837,40.46892805171683,NA,079,21
Transporte,Intercambiadores,Grandes Intercambiadores Aeropuerto T4,079,Ctra. Alcobendas-Barajas,-3.5916828418546665,40.49155087955033,NA,079,21
Transporte,Intercambiadores,Áreas Intermodales Alsacia,079,Plaza de Alsacia,-3.6230432061754567,40.417710558435225,NA,079,20
Transporte,Intercambiadores,Áreas Intermodales Canillejas,079,Calle Alcalá - Calle Josefa Valcárcel,-3.609329277253637,40.44905034796404,NA,079,20
Transporte,Intercambiadores,Áreas Intermodales Ciudad Lineal,079,Calle Alcalá - Arturo Soria,-3.637966447783685,40.43811663179235,NA,079,15
Transporte,Intercambiadores,Áreas Intermodales Colonia Jardín,079,Carretera de Carabanchel - Aravaca,-3.774819651983525,40.39712644673821,NA,079,10
Transporte,Intercambiadores,Áreas Intermodales Conde de Casal,079,Plaza Conde de Casal - Calle Doctor Esquerdo,-3.6705325503757402,40.406954804278904,NA,079,03
Transporte,Intercambiadores,Áreas Intermodales Legazpi,079,Plaza Legazpi - Paseo de las Delicias,-3.6947511973124825,40.391558127828816,NA,079,02
Transporte,Intercambiadores,Áreas Intermodales Cuatro Caminos,079,Gta Cuatro Caminos,-3.7044687239241463,40.44689921597416,NA,079,06
Transporte,Intercambiadores,Áreas Intermodales Felipe II/Goya,079,Avda de Felipe II,-3.6761203488079666,40.423883297922714,NA,079,04
Transporte,Intercambiadores,Áreas Intermodales Pavones,079,Calle Hacienda de Pavones,-3.635535513530696,40.400857673574926,NA,079,14
Transporte,Intercambiadores,Áreas Intermodales Villaverde Bajo,079,Paseo de la Estación,-3.68385984408683,40.35318263280807,NA,079,17
Transporte,Intercambiadores,Áreas Intermodales Villaverde Bajo-Cruce,079,Avda de Andalucia,-3.692566785978995,40.35099699630069,NA,079,17
Transporte,Bocas de metro,Plaza de Castilla - Castellana,079,Frente depósito C. Isabel II,-3.688865928793904,40.46548586836001,"Líneas: 1, 10, 9",079,05
Transporte,Bocas de metro,Plaza de Castilla - Plaza de Castilla,079,"Paseo de la Castellana, bulevar central",-3.6891863929742175,40.466835311149914,"Líneas: 1, 10, 9",079,06
Transporte,Bocas de metro,"Plaza de Castilla - Pº Castellana, impares",079,"Paseo Castellana, 189 (junto a torres)",-3.689532036198934,40.46718460366108,"Líneas: 1, 10, 9",079,06
Transporte,Bocas de metro,Valdeacederas - Capitán Blanco Argibay,079,"Calle Bravo Murillo, 324",-3.695787261350181,40.46409311878023,Líneas: 1,079,06
Transporte,Bocas de metro,Valdeacederas - Aníbal,079,"Calle Bravo Murillo, 350",-3.6940368413947353,40.46477930314074,Líneas: 1,079,06
Transporte,Bocas de metro,Tetuán - Algodonales,079,"Calle Bravo Murillo, 269",-3.699269914614497,40.4598378975548,Líneas: 1,079,06
Transporte,Bocas de metro,Tetuán - General Margallo,079,"Calle General Margallo, 2 (c/v Calle Bravo Murillo)",-3.6979039366323714,40.46118848429697,Líneas: 1,079,06
Transporte,Bocas de metro,Estrecho - Navarra,079,"Calle Bravo Murillo, 181",-3.703097440206467,40.453634526628264,Líneas: 1,079,06
Transporte,Bocas de metro,Estrecho - Juan de Olías,079,"Calle Bravo Murillo, 172",-3.702826867651199,40.45369923299154,Líneas: 1,079,06
Transporte,Bocas de metro,Estrecho - Manuel Luna,079,"Calle Bravo Murillo, 194",-3.7025364817001094,40.45525955604082,Líneas: 1,079,06
Transporte,Bocas de metro,Estrecho - Fulgencio de Miguel,079,"Calle Bravo Murillo, 205",-3.7027727140518576,40.45529415805774,Líneas: 1,079,06
Transporte,Bocas de metro,"Alvarado - Bravo Murillo, impares",079,"Calle Bravo Murillo, 135",-3.7036161014621816,40.45021695552931,Líneas: 1,079,06
Transporte,Bocas de metro,"Alvarado - Bravo Murillo, pares",079,"Calle Bravo Murillo, 136",-3.70337932337105,40.45012830434662,Líneas: 1,079,06
Transporte,Bocas de metro,"Cuatro Caminos - Reina Victoria, impares.  Acceso cerrado por obras de modernización",079,"Glorieta Cuatro Caminos c/v Avenida Reina Victoria, 1",-3.704239895183523,40.44670865029082,"Líneas: 1, 2, 6",079,07
Transporte,Bocas de metro,Cuatro Caminos - Santa Engracia,079,"Calle Santa Engracia, 168",-3.703636752115795,40.446541146692894,"Líneas: 1, 2, 6",079,07
Transporte,Bocas de metro,"Cuatro Caminos - Reina Victoria, pares.  Acceso cerrado por obras de modernización",079,"Avenida Reina Victoria, 2",-3.7045483506110624,40.44688695381992,"Líneas: 1, 2, 6",079,06
Transporte,Bocas de metro,Cuatro Caminos - Bravo Murillo,079,"Calle Bravo Murillo, 101 (c/v Gta Cuatro Caminos)",-3.70410516332931,40.44735812006598,"Líneas: 1, 2, 6",079,06
Transporte,Bocas de metro,Cuatro Caminos - Maudes,079,"Calle Maudes, 8",-3.7026219266134746,40.44534010094511,"Líneas: 1, 2, 6",079,07
Transporte,Bocas de metro,"Ríos Rosas - Ríos Rosas, impares",079,"Calle Ríos Rosas, 19",-3.701137657842793,40.44207882376634,Líneas: 1,079,07
Transporte,Bocas de metro,"Ríos Rosas - Ríos Rosas, pares",079,"Calle Ríos Rosas, 22",-3.701218320189749,40.44189815479664,Líneas: 1,079,07
Transporte,Bocas de metro,Ríos Rosas - Bretón de los Herreros,079,"Calle Santa Engracia, 127",-3.701275025969601,40.440546458405706,Líneas: 1,079,07
Transporte,Bocas de metro,Iglesia - General Martínez Campos,079,"Paseo General Martínez Campos, 1",-3.6982469450105984,40.435060250373766,Líneas: 1,079,07
Transporte,Bocas de metro,Iglesia - Santa Engracia,079,"Calle Santa Engracia, 58",-3.6984917253959546,40.43478850268179,Líneas: 1,079,07
Transporte,Bocas de metro,Iglesia - Sagunto,079,"Calle Santa Engracia, 61",-3.698423833676083,40.433924045539264,Líneas: 1,079,07
Transporte,Bocas de metro,"Iglesia - Eloy Gonzalo, pares",079,"Calle Eloy Gonzalo, 38",-3.699222101598208,40.43473003882506,Líneas: 1,079,07
Transporte,Bocas de metro,"Iglesia - Eloy Gonzalo, impares",079,"Calle Eloy Gonzalo, 35",-3.699294609902671,40.43490077234536,Líneas: 1,079,07
Transporte,Bocas de metro,Bilbao - Fuencarral,079,"Glorieta Bilbao, 5 (semiesq. Fuencarral)",-3.701865103443441,40.42925456871697,"Líneas: 1, 4",079,07
Transporte,Bocas de metro,Bilbao - Luchana Ascensor,079,"Glorieta Bilbao, 6",-3.701662642976566,40.42905759736332,"Líneas: 1, 4",079,07
Transporte,Bocas de metro,Bilbao - Manuela Malasaña (Malasaña/Funecarral),079,"Glorieta Bilbao, 7",-3.702036965130168,40.42877604745689,"Líneas: 1, 4",079,01
Transporte,Bocas de metro,Bilbao - Francisco de Rojas,079,"Calle Luchana, 22 (c/v Calle Francisco de Rojas)",-3.700272166860081,40.4302552108286,"Líneas: 1, 4",079,07
Transporte,Bocas de metro,"Bilbao - Luchana, impares",079,"Calle Luchana, 21 (c/v Calle Trafalgar pares)",-3.700333351425355,40.43047105751057,"Líneas: 1, 4",079,07
Transporte,Bocas de metro,Bilbao - Trafalgar,079,"Calle Luchana, 23",-3.6998658244744975,40.430861273805355,"Líneas: 1, 4",079,07
Transporte,Bocas de metro,Tribunal - Barceló-Ascensor,079,"Calle Barceló, 2",-3.7008673307497824,40.4262606043186,"Líneas: 1, 10",079,01
Transporte,Bocas de metro,Tribunal - Fuencarral,079,"Calle Fuencarral, 78",-3.7010083168523265,40.42621470533626,"Líneas: 1, 10",079,01
Transporte,Bocas de metro,Tribunal - Tribunal de Cuentas,079,"Calle Fuencarral, 81",-3.7010968216947258,40.42565560864136,"Líneas: 1, 10",079,01
Transporte,Bocas de metro,Gran Vía - Gran Vía,079,"Calle Gran Vía, 25",-3.701933336043081,40.4199388025336,"Líneas: 1 - Renfe, 5",079,01
Transporte,Bocas de metro,Gran Vía - Fuencarral,079,"Calle Gran Vía, 28",-3.7018882483093902,40.42013727509932,"Líneas: 1 - Renfe, 5",079,01
Transporte,Bocas de metro,Gran Vía - Montera,079,"Calle Montera, 48",-3.701390306257432,40.41986101296131,"Líneas: 1 - Renfe, 5",079,01
Transporte,Bocas de metro,Gran Vía - Montera-Ascensor,079,"Calle Montera, 47",-3.701634552049154,40.419544215801544,"Líneas: 1 - Renfe, 5",079,01
Transporte,Bocas de metro,Sol - Carretas,079,"Plaza Puerta del Sol, 7 (semiesq. Calle Carretas)",-3.70350218141818,40.41664998173686,"Líneas: 1, 2, 3",079,01
Transporte,Bocas de metro,Sol - Carmen,079,"Plaza Puerta del Sol, 12",-3.703330547221643,40.41714652295047,"Líneas: 1, 2, 3",079,01
Transporte,Bocas de metro,Sol - Mayor,079,"Plaza Puerta del Sol, s/n (c/v Calle Mayor y Calle Arenal)",-3.704551803418824,40.41670666069616,"Líneas: 1, 2, 3",079,01
Transporte,Bocas de metro,Tirso de Molina - Magdalena,079,"Plaza Tirso de Molina, 19",-3.703823636051667,40.41243178703841,Líneas: 1,079,01
Transporte,Bocas de metro,Tirso de Molina - Conde de Romanones,079,"Plaza Tirso de Molina, 14",-3.705001798341823,40.41238858045563,Líneas: 1,079,01
Transporte,Bocas de metro,Antón Martín - Amor de Dios,079,"Calle Amor de Dios, 14 (c/v Calle Atocha, 73)",-3.69868334165071,40.4122827492579,Líneas: 1,079,01
Transporte,Bocas de metro,"Antón Martín - Atocha, pares",079,"Calle Atocha, 76",-3.697460522295289,40.41142525416526,Líneas: 1,079,01
Transporte,Bocas de metro,"Antón Martín - Atocha, impares",079,"Calle Atocha, 83",-3.697367356057161,40.41153392431225,Líneas: 1,079,01
Transporte,Bocas de metro,Estación del Arte - Atocha,079,"Glorieta Carlos V, 11",-3.6925193080203176,40.408842294782275,Líneas: 1,079,01
Transporte,Bocas de metro,Estación del Arte - Ministerio,079,"Paseo Infanta Isabel, 1",-3.690558706316977,40.40843058266447,Líneas: 1,079,03
Transporte,Bocas de metro,Atocha Renfe - Alfonso XII,079,"Paseo Infanta Isabel, impares c/v Calle Alfonso XII, pares",-3.6891468626456194,40.407511063404456,Líneas: 1 - Renfe,079,03
Transporte,Bocas de metro,Atocha Renfe - Renfe,079,RENFE Cercanías,-3.689326043866436,40.40659107126514,Líneas: 1 - Renfe,079,02
Transporte,Bocas de metro,Atocha Renfe - Paseo Infanta Isabel,079,"Paseo Infanta Isabel, 15",-3.6882107448726176,40.40701212542561,Líneas: 1 - Renfe,079,03
Transporte,Bocas de metro,"Menéndez Pelayo - Menéndez Pelayo, impares",079,"Avenida Menéndez Pelayo, 123",-3.680666020849404,40.40445310014701,Líneas: 1,079,03
Transporte,Bocas de metro,"Menéndez Pelayo - Menéndez Pelayo, pares",079,"Avenida Menéndez Pelayo, 44",-3.6808908251845978,40.40454186969678,Líneas: 1,079,03
Transporte,Bocas de metro,Menéndez Pelayo - Gutenberg,079,"Calle Gutenberg, 4",-3.6817423667555462,40.40484316965246,Líneas: 1,079,03
Transporte,Bocas de metro,"Pacífico - Doctor Esquerdo, pares",079,"Calle Dr. Esquerdo, 186 (Semiesq. Avenida Ciudad de Barcelona)",-3.674826893431277,40.401523276948545,"Líneas: 1, 6",079,03
Transporte,Bocas de metro,"Pacífico - Doctor Esquerdo, impares",079,"Calle Dr. Esquerdo, 219 (Semiesq. Avenida Ciudad de Barcelona)",-3.6743932147543346,40.40148793318452,"Líneas: 1, 6",079,03
Transporte,Bocas de metro,Pacífico - Sánchez Barcaíztegui,079,"Calle Sánchez Barcaíztegui, 1",-3.676189570239816,40.40227209345066,"Líneas: 1, 6",079,03
Transporte,Bocas de metro,Puente de Vallecas - Peña Prieta,079,"Avenida Peña Prieta, 2",-3.66896354724649,40.39847617744091,Líneas: 1,079,13
Transporte,Bocas de metro,"Puente de Vallecas - Albufera, impares",079,"Avenida Albufera, 9",-3.6681321477388846,40.39781430281372,Líneas: 1,079,13
Transporte,Bocas de metro,"Puente de Vallecas - Albufera, pares",079,"Avenida Albufera, 14",-3.668201509819574,40.39767876639238,Líneas: 1,079,13
Transporte,Bocas de metro,"Nueva Numancia - Norte, pares",079,"Avenida Albufera, 54",-3.6652403644738647,40.3961282261624,Líneas: 1,079,13
Transporte,Bocas de metro,"Nueva Numancia - Sur, impares",079,"Avenida Albufera, 69",-3.663382537792947,40.39532806085709,Líneas: 1,079,13
Transporte,Bocas de metro,"Nueva Numancia - Norte, impares",079,"Avenida Albufera, 47",-3.66513538417582,40.39623693807903,Líneas: 1,079,13
Transporte,Bocas de metro,"Nueva Numancia - Sur, pares",079,"Avenida Albufera, 76",-3.6634873427693977,40.395201333321474,Líneas: 1,079,13
Transporte,Bocas de metro,"Portazgo - Albufera, impares",079,"Avenida Albufera, 145 (c/v Calle Dolores Folgueras)",-3.657697500332594,40.39233341688482,Líneas: 1,079,13
Transporte,Bocas de metro,Portazgo - Rogelio Folgueras,079,"Avenida Albufera, 117 (c/v Calle Rogelio Folgueras)",-3.659722675647276,40.39339398552176,Líneas: 1,079,13
Transporte,Bocas de metro,"Portazgo - Albufera, pares",079,"Avenida Albufera, 108 (c/v Calle Sierra de Cadi)",-3.659827572488409,40.393276269827325,Líneas: 1,079,13
Transporte,Bocas de metro,Portazgo - Teniente Muñoz Díaz,079,"Avenida Albufera, 130",-3.657814181071073,40.39221563609296,Líneas: 1,079,13
Transporte,Bocas de metro,Buenos Aires - Pío Felipe,079,"Avenida Albufera, 179 (c/v Calle Pío Felipe)",-3.6539445573214184,40.39170600551781,Líneas: 1,079,13
Transporte,Bocas de metro,Buenos Aires - Buenos Aires,079,"Avenida Albufera, 140 (c/v Avenida Buenos Aires)",-3.6539292915167865,40.3913457274296,Líneas: 1,079,13
Transporte,Bocas de metro,"Alto del Arenal - Albufera, impares",079,"Calle Santillana del Mar, 19 (c/v Avenida Albufera)",-3.6453286484878817,40.39016871288645,Líneas: 1,079,13
Transporte,Bocas de metro,"Alto del Arenal - Albufera, pares",079,"Avenida Albufera, 248",-3.645689579460196,40.3897162463831,Líneas: 1,079,13
Transporte,Bocas de metro,Alto del Arenal - Ascensor,079,"Avenida Albufera, 246",-3.645644774833057,40.38995974210318,Líneas: 1,079,13
Transporte,Bocas de metro,Miguel Hernández - Rafael Alberti - Ambulatorio,079,"Avenida Albufera, 285 (c/v Avenida Rafael Alberti)",-3.639930997238417,40.38753195245871,Líneas: 1,079,13
Transporte,Bocas de metro,Miguel Hernández - Aparcamiento,079,"Pasarela (Cañón Albufera, pares)",-3.6393827661493665,40.38686830394644,Líneas: 1,079,13
Transporte,Bocas de metro,"Miguel Hernández - Albufera, pares",079,"Avenida Albufera, 290",-3.63957109301144,40.38684924629895,Líneas: 1,079,13
Transporte,Bocas de metro,Miguel Hernández - Ascensor,079,"Avenida Albufera, 285",-3.6397173183904736,40.387361959085766,Líneas: 1,079,13
Transporte,Bocas de metro,Sierra de Guadalupe - Avenida de la Democracia,079,"Avenida de la Democracia, 1",-3.624977935214494,40.38221709536697,Líneas: 1 - Renfe,079,13
Transporte,Bocas de metro,Sierra de Guadalupe - Ascensor,079,Acceso RENFE,-3.624621782349263,40.381921713623555,Líneas: 1 - Renfe,079,18
Transporte,Bocas de metro,Sierra de Guadalupe - Sierra de Guadalupe,079,Estación de RENFE,-3.624657040073064,40.38191251451002,Líneas: 1 - Renfe,079,18
Transporte,Bocas de metro,Sierra de Guadalupe - Avda. de la Democracia - Arboleda,079,"Avenida de la Democracia, 4",-3.62509186039152,40.383072348473576,Líneas: 1 - Renfe,079,18
Transporte,Bocas de metro,Villa de Vallecas - Pº Federico García Lorca,079,"Paseo Federico García Lorca, 3",-3.6212064104451303,40.37947156346005,Líneas: 1,079,18
Transporte,Bocas de metro,Villa de Vallecas - Sierra Vieja,079,"Calle Sierra Gador, 68 (c/v Calle Sierra Vieja)",-3.621798051116163,40.37975668385037,Líneas: 1,079,18
Transporte,Bocas de metro,Villa de Vallecas - Ascensor,079,"Paseo Federico García Lorca, 1",-3.621301806720772,40.37959718011432,Líneas: 1,079,18
Transporte,Bocas de metro,Congosto - Congosto,079,"Calle Congosto, 35",-3.6186166286523,40.3719447611073,Líneas: 1,079,18
Transporte,Bocas de metro,Congosto - Plaza de Congosto,079,"Calle Congosto, 33",-3.6185723943686456,40.37226031728276,Líneas: 1,079,18
Transporte,Bocas de metro,Congosto - Ascensor,079,"Calle Congosto, 33",-3.618677414335659,40.372151647101035,Líneas: 1,079,18
Transporte,Bocas de metro,La Gavia - Avda. Ensanche de Vallecas,079,"Avenida Ensanche de Vallecas c/v Calle Alto de la Sartenilla, 2",-3.612549287316102,40.36922017917742,Líneas: 1,079,18
Transporte,Bocas de metro,La Gavia - Ascensor,079,"Avenida Ensanche de Vallecas c/v Calle Alto de la Sartenilla, 2",-3.612631571063064,40.369201726075254,Líneas: 1,079,18
Transporte,Bocas de metro,Las Suertes - Cañada del Santísimo,079,"Calle Cañada del Santísimo c/v Avenida Ensanche de Vallecas, 80",-3.5995397627439956,40.3632340337866,Líneas: 1,079,18
Transporte,Bocas de metro,Las Suertes - Ascensor,079,"Calle Cañada del Santísimo c/v Avenida Ensanche de Vallecas, 80",-3.599562997984655,40.36319787698368,Líneas: 1,079,18
Transporte,Bocas de metro,Valdecarros - Avda. Ensanche de Vallecas,079,"Avenida Ensanche de Vallecas, 120A esq. Avenida Gran Vía del Sureste",-3.593175755961822,40.36007752470282,Líneas: 1,079,18
Transporte,Bocas de metro,Valdecarros - Ascensor,079,"Avenida Ensanche de Vallecas, 120A c/v Avenida Gran Vía del Sureste",-3.593210770100609,40.36004130889184,Líneas: 1,079,18
Transporte,Bocas de metro,"Canal - Bravo Murillo, pares",079,"Calle Bravo Murillo, 40",-3.704129023096213,40.438339940195334,"Líneas: 2, 7",079,07
Transporte,Bocas de metro,"Canal - Bravo Murillo, impares",079,"Calle Bravo Murillo, 47",-3.7043524672032446,40.43828452660257,"Líneas: 2, 7",079,07
Transporte,Bocas de metro,Canal - Ascensor,079,"Calle Bravo Murillo, impares",-3.70440197644888,40.43850945092512,"Líneas: 2, 7",079,07
Transporte,Bocas de metro,Quevedo - Arapiles,079,"Glorieta Quevedo, 2 (c/v Calle Arapiles)",-3.70463078237754,40.43331885828838,Líneas: 2,079,07
Transporte,Bocas de metro,Quevedo - Fuencarral,079,"Glorieta Quevedo, 1 (Calle San Bernardo - Calle Fuencarral)",-3.704357661654537,40.43313133092606,Líneas: 2,079,07
Transporte,Bocas de metro,San Bernardo - Alberto Aguilera,079,"Glorieta Ruiz Jiménez, 2 (Calle San Bernardo - Calle Alberto Aguilera)",-3.7060801230081646,40.42985956599244,"Líneas: 2, 4",079,07
Transporte,Bocas de metro,San Bernardo - Carranza,079,"Glorieta Ruiz Jiménez, 5 (c/v Calle Carranza)",-3.705323876937651,40.42969300500932,"Líneas: 2, 4",079,07
Transporte,Bocas de metro,Noviciado - Mº Justicia,079,"Calle San Bernardo, 45 (Junto al Mº de Justicia)",-3.70745923863752,40.42421148469217,"Líneas: 2, 3, 10",079,01
Transporte,Bocas de metro,Noviciado - Noviciado,079,"Calle San Bernardo, 51 (c/v Calle Noviciado)",-3.707437084889984,40.425472886449114,"Líneas: 2, 3, 10",079,01
Transporte,Bocas de metro,Santo Domingo - Santo Domingo,079,"Plaza Santo Domingo, 6",-3.708551051016914,40.42041199637543,Líneas: 2,079,01
Transporte,Bocas de metro,Santo Domingo - Gran Vía,079,"Calle Gran Vía, 51 (c/v Calle San Bernardo)",-3.70781792340696,40.42131738718071,Líneas: 2,079,01
