cmun,cdis,ayuntamientos_consejerias_ministerios_etc,sanidad_y_servicios_sociales,actividades_administrativas,actividades_asociativas_y_hogares,actividades_profesionales,administraciones_publicas,alimentacion,centros_educativos_no_universitarios_centros_publicos,comercio_mayorista,comercio_minorista,construccion,educacion,hosteleria,industria_quimica_y_refino,informacion_y_comunicaciones,maquinaria_industrial,material_de_transporte,material_electrico_y_electronico,mercadillos,metalicas_basicas_e_intermedias,mineria_y_suministros,otras_manufactureras,otros_servicios_bancos,papel_y_graficas,servicios_financieros,servicios_personales,servicios_recreativos,textil_confeccion_y_calzado,transporte_y_almacenamiento,actividades_inmobiliarias,centros_educativos_no_universitarios_centros_privados,industria_no_metalica,administracion_de_justicia,agencia_tributaria,campus_universitarios,centros_educativos_universitarios,colegios_mayores,galerias_de_alimentacion,grandes_superficies_especializadas,hipermercados,mercados_de_abastos,agricultura_y_ganaderia,centros_educativos_no_universitarios_servicios_educativos,seguridad_social,centros_comerciales,oficinas_de_empleo,embajadas_y_consulados
001,01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002,01,1,8,13,2,11,2,2,3,34,22,22,4,2,3,1,6,4,3,1,25,1,14,3,14,3,3,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003,01,1,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
004,01,1,10,2,2,3,2,0,4,3,10,16,6,12,0,0,0,0,0,1,1,0,2,2,0,4,5,4,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005,01,1,42,36,14,56,5,4,8,10,100,38,56,131,0,9,1,0,0,1,3,3,1,23,3,46,34,22,1,11,21,9,0,5,1,7,12,2,3,1,1,1,0,0,0,0,0,0
005,02,0,28,26,4,13,2,7,21,28,84,58,31,33,5,5,5,2,3,1,11,4,8,6,4,16,12,10,1,36,6,6,0,0,0,0,0,0,2,2,0,0,1,3,2,0,0,0
005,03,0,12,58,5,28,0,12,14,90,80,87,32,50,14,17,10,1,4,1,28,4,18,4,19,14,11,16,5,58,6,7,3,0,0,0,0,0,1,1,1,0,1,2,0,2,0,0
005,04,0,35,13,2,16,6,1,10,6,34,34,36,48,3,7,2,0,1,0,2,2,3,9,2,13,14,4,0,15,5,10,0,0,0,2,5,3,0,0,1,0,0,0,0,1,1,0
005,05,0,33,23,7,33,2,4,15,23,159,38,39,57,3,3,0,1,1,0,6,1,2,8,2,18,15,20,1,15,7,11,0,0,0,0,0,0,1,7,1,0,0,0,0,4,0,0
006,01,2,104,205,109,296,12,27,29,399,369,168,122,259,17,189,7,9,19,1,8,14,33,56,18,158,92,69,6,78,79,58,5,4,1,1,3,0,2,4,3,0,8,1,2,6,1,3
007,01,1,38,58,4,54,4,9,7,70,256,69,31,98,3,28,3,1,4,0,8,5,9,17,6,23,30,25,4,18,11,15,0,0,0,2,6,1,1,9,1,0,0,0,1,4,0,0
007,02,0,47,42,12,34,4,3,18,19,87,64,43,55,0,8,0,1,0,1,3,0,1,17,4,26,24,9,2,26,8,13,3,3,1,0,0,0,2,1,1,0,1,0,1,1,1,0
007,03,0,9,26,3,21,0,9,9,26,72,57,13,30,1,11,0,0,4,0,6,0,8,7,15,7,12,8,3,19,5,4,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0
007,04,0,27,32,3,18,3,7,23,54,104,79,47,64,2,2,1,0,2,1,12,1,10,10,6,19,18,17,6,18,6,13,5,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0
008,01,1,6,0,0,1,2,0,3,1,4,5,3,3,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
009,01,1,16,20,6,18,2,5,13,45,43,41,23,25,4,6,7,2,11,1,5,1,14,6,6,9,11,12,1,20,5,3,3,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1
010,01,1,13,13,4,17,2,1,7,11,19,25,22,24,0,1,1,0,1,1,2,1,1,3,0,5,6,8,1,7,4,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
011,01,1,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012,01,1,1,1,0,0,2,0,2,1,0,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013,01,0,14,5,0,8,3,1,7,3,32,5,17,28,0,1,0,0,0,0,0,0,0,6,0,6,5,3,0,6,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0
013,02,0,6,9,1,2,1,1,2,2,15,21,7,12,0,1,0,0,0,0,3,0,1,2,1,0,6,2,1,4,5,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
013,03,0,20,14,0,11,0,1,6,5,46,20,14,35,2,1,1,0,0,1,5,2,2,4,0,10,5,8,0,12,3,3,0,0,0,1,3,0,0,2,1,0,2,1,0,1,0,0
013,04,1,3,9,2,6,6,1,4,3,49,8,10,46,0,0,1,1,1,0,2,0,4,4,0,7,1,2,2,8,1,2,0,4,1,0,1,0,0,1,0,1,2,1,0,0,0,0
014,01,1,41,62,8,42,6,26,21,152,162,164,52,85,17,5,23,8,14,2,92,17,104,15,32,23,30,19,8,65,14,12,10,4,1,0,0,0,0,0,0,1,4,3,1,1,1,0
015,01,1,12,33,0,11,2,1,11,19,89,87,30,45,0,10,5,0,1,0,6,2,5,7,1,7,18,12,1,37,8,12,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0
016,01,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017,01,1,2,3,0,1,2,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
