grupo,tipo,nombre,X,Y
turismo,hotel,NH Ciudad de la Imagen,-3.7881758,40.3984408
hosteleria,restaurant,Café Comercial,-3.7020018,40.428732
hosteleria,pub,Sidrería la Camocha,-3.7016864,40.4270264
hosteleria,pub,Gran Cafe Santander,-3.6963292,40.4276032
comercio,supermarket,Alcampo,-3.7068876,40.480352
hosteleria,fast_food,Burger King,-3.6072228,40.4333661
hosteleria,pub,Café Melo's,-3.7010866,40.4097328
hosteleria,pub,Olé Lola,-3.6981336,40.4260312
hosteleria,bar,Mür Café,-3.7121995,40.4256418
hosteleria,restaurant,Rey de Tallarines,-3.709622,40.4245836
hosteleria,restaurant,La Parrilla de Nino,-3.7120848,40.425762400000004
hosteleria,pub,Tempo,-3.7118249,40.4252955
hosteleria,restaurant,Delhi,-3.7118533,40.42514
hosteleria,restaurant,La Pomarada,-3.711541,40.4260327
turismo,hotel,Room Mate Mario Hotel,-3.7093262,40.4188562
hosteleria,restaurant,Sexto,-3.6963836,40.4252476
hosteleria,fast_food,NA,-3.6962971,40.4274303
hosteleria,fast_food,Don Oso,-3.7163184,40.4366465
hosteleria,fast_food,McDonald's,-3.7049818,40.4164064
hosteleria,restaurant,Brasa y Leña,-3.7088498,40.4162327
hosteleria,restaurant,100 Montaditos,-3.7087291,40.413636
hosteleria,cafe,Anticafé,-3.7101814,40.4167458
hosteleria,pub,NA,-3.7114792,40.4787084
hosteleria,bar,Cadillac Solitario,-3.699712,40.4874732
hosteleria,restaurant,El Viajero,-3.7102277,40.4116272
hosteleria,pub,Pez Tortilla,-3.7105359,40.4118381
hosteleria,pub,La Tomasa,-3.7103891,40.4117858
hosteleria,pub,El Bonanno,-3.7106292,40.4118652
hosteleria,restaurant,Que trabaje Rita,-3.7105933,40.412068
hosteleria,pub,Cervecería San Andrés,-3.7109368,40.4119148
hosteleria,restaurant,El Cosaco,-3.7113878,40.4130128
hosteleria,restaurant,El Estragón Taberna,-3.7117933,40.4130894
hosteleria,restaurant,Tío Timón,-3.7117469,40.4131593
hosteleria,restaurant,Taquería del Alamillo,-3.7127335,40.4137154
comercio,bookshop,"Librería ""Arranca Thelma""",-3.7126525,40.4135438
hosteleria,bar,Bar Barocco,-3.7129344,40.4130638
comercio,toy_shop,Toys'R Us,-3.6470629,40.5304813
hosteleria,pub,Irish Rover,-3.6939836,40.4547254
hosteleria,pub,Lolita's,-3.6890368,40.4556239
comercio,bakery,NA,-3.689655,40.4857151
comercio,kiosk,NA,-3.6887631,40.484198
hosteleria,restaurant,Casa Ginés,-3.6852544,40.485413
