fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,X,Y
2022-01-01,2462,PUERTO DE NAVACERRADA,MADRID,1894,10.6,0,7.4,00:10,13.7,Varias,22,3.9,12.2,22:30,8.1,823.3,11,821.8,06,-4.010555555555555,40.793055555555554
2022-01-02,2462,PUERTO DE NAVACERRADA,MADRID,1894,9.8,0,6,20:40,13.5,13:30,22,2.5,11.1,00:00,6,823.5,Varias,821.5,Varias,-4.010555555555555,40.793055555555554
2022-01-03,2462,PUERTO DE NAVACERRADA,MADRID,1894,7.8,0,4.2,06:20,11.3,Varias,27,3.1,15.3,22:50,7.6,821.5,00,814.7,24,-4.010555555555555,40.793055555555554
2022-01-04,2462,PUERTO DE NAVACERRADA,MADRID,1894,1.6,24.2,-3.9,23:59,7,01:40,33,7.8,23.6,18:30,3.3,814.7,00,803.6,17,-4.010555555555555,40.793055555555554
2022-01-05,2462,PUERTO DE NAVACERRADA,MADRID,1894,-3,13.9,-4.2,03:10,-1.8,Varias,32,4.2,19.2,00:30,0,809.5,11,806.4,Varias,-4.010555555555555,40.793055555555554
2022-01-06,2462,PUERTO DE NAVACERRADA,MADRID,1894,-5.6,0,-8.3,06:40,-2.8,00:00,35,5.6,10.8,20:00,6.3,813.5,24,807.6,01,-4.010555555555555,40.793055555555554
2022-01-07,2462,PUERTO DE NAVACERRADA,MADRID,1894,-4,0.2,-6.6,03:40,-1.3,10:30,36,4.2,10.3,08:40,1.7,819.3,24,813.4,01,-4.010555555555555,40.793055555555554
2022-01-08,2462,PUERTO DE NAVACERRADA,MADRID,1894,-2.8,0,-4.6,20:00,-0.9,14:00,33,5.6,16.1,18:40,3.9,819.2,Varias,814.7,21,-4.010555555555555,40.793055555555554
2022-01-09,2462,PUERTO DE NAVACERRADA,MADRID,1894,0,6.6,-3,00:00,3,23:00,31,6.1,23.3,09:20,0,815.1,24,812.6,13,-4.010555555555555,40.793055555555554
2022-01-10,2462,PUERTO DE NAVACERRADA,MADRID,1894,1.6,0.8,0.3,Varias,3,00:00,33,6.1,16.7,01:00,0,816.6,Varias,814.3,14,-4.010555555555555,40.793055555555554
2022-01-11,2462,PUERTO DE NAVACERRADA,MADRID,1894,1,0,-0.6,23:50,2.7,11:10,99,2.5,6.7,Varias,3.4,818.2,20,816.2,Varias,-4.010555555555555,40.793055555555554
2022-01-12,2462,PUERTO DE NAVACERRADA,MADRID,1894,2,0,-2.1,07:20,6.1,12:30,08,1.7,10,09:40,8.1,819.2,24,816.9,05,-4.010555555555555,40.793055555555554
2022-01-13,2462,PUERTO DE NAVACERRADA,MADRID,1894,-1.8,0,-4.1,07:00,0.4,14:10,14,5.3,17.2,19:00,6.5,820.2,11,818.8,05,-4.010555555555555,40.793055555555554
2022-01-14,2462,PUERTO DE NAVACERRADA,MADRID,1894,-2.6,0,-5.3,23:59,0.2,14:20,14,4.4,16.1,00:30,8.2,819.7,Varias,817.2,24,-4.010555555555555,40.793055555555554
2022-01-15,2462,PUERTO DE NAVACERRADA,MADRID,1894,-1.9,0,-5.5,00:50,1.7,12:40,16,1.9,9.2,00:10,8,817.3,23,815.5,16,-4.010555555555555,40.793055555555554
2022-01-16,2462,PUERTO DE NAVACERRADA,MADRID,1894,0.6,0,-3.5,01:10,4.6,13:20,32,1.7,5.6,15:00,8.4,821.6,Varias,815.8,01,-4.010555555555555,40.793055555555554
2022-01-17,2462,PUERTO DE NAVACERRADA,MADRID,1894,4.4,0,0.2,00:00,8.6,12:20,14,1.4,9.2,20:30,8.6,822.5,11,819.9,18,-4.010555555555555,40.793055555555554
2022-01-18,2462,PUERTO DE NAVACERRADA,MADRID,1894,6.1,0,1.5,07:30,10.7,12:40,14,1.9,7.8,00:10,8.3,821.7,23,819.4,04,-4.010555555555555,40.793055555555554
2022-01-19,2462,PUERTO DE NAVACERRADA,MADRID,1894,4.6,0,0.1,Varias,9,12:20,35,2.5,8.9,20:00,8.7,821.2,Varias,819.5,15,-4.010555555555555,40.793055555555554
2022-01-20,2462,PUERTO DE NAVACERRADA,MADRID,1894,-0.2,0,-3.1,23:59,2.6,12:40,36,3.3,11.7,06:10,4.5,819.7,00,815.6,24,-4.010555555555555,40.793055555555554
2022-01-21,2462,PUERTO DE NAVACERRADA,MADRID,1894,-3.2,0,-5.8,Varias,-0.5,11:10,14,0.8,9.7,23:40,2,815.6,00,813.7,Varias,-4.010555555555555,40.793055555555554
2022-01-22,2462,PUERTO DE NAVACERRADA,MADRID,1894,0.9,0,-4.5,04:30,6.3,13:20,14,3.1,13.6,02:40,8.5,817.7,11,815.2,03,-4.010555555555555,40.793055555555554
2022-01-23,2462,PUERTO DE NAVACERRADA,MADRID,1894,0.5,0,-3.3,23:50,4.3,13:50,16,5.6,13.3,21:40,8.6,815.8,00,814,Varias,-4.010555555555555,40.793055555555554
2022-01-24,2462,PUERTO DE NAVACERRADA,MADRID,1894,-2.2,0,-4.5,07:30,0.1,13:30,12,4.7,14.4,22:30,3,818,24,814.2,04,-4.010555555555555,40.793055555555554
2022-01-25,2462,PUERTO DE NAVACERRADA,MADRID,1894,-2,0,-3.4,Varias,-0.7,13:30,99,6.1,16.1,Varias,0,819.4,11,817.6,05,-4.010555555555555,40.793055555555554
2022-01-26,2462,PUERTO DE NAVACERRADA,MADRID,1894,0,0,-3.8,03:50,3.8,14:00,11,5.8,17.2,00:20,8.6,818.7,23,816.7,04,-4.010555555555555,40.793055555555554
2022-01-27,2462,PUERTO DE NAVACERRADA,MADRID,1894,3,0,-0.7,08:20,6.7,13:30,10,1.7,13.1,23:30,8.7,819.5,11,817.8,05,-4.010555555555555,40.793055555555554
2022-01-28,2462,PUERTO DE NAVACERRADA,MADRID,1894,3.2,0,-0.8,04:10,7.3,12:00,09,3.1,11.7,07:20,8.8,822.6,23,819,02,-4.010555555555555,40.793055555555554
2022-01-29,2462,PUERTO DE NAVACERRADA,MADRID,1894,4.8,0,1,04:40,8.7,13:30,17,4.4,12.5,10:50,8.8,824.5,11,822.1,01,-4.010555555555555,40.793055555555554
2022-01-30,2462,PUERTO DE NAVACERRADA,MADRID,1894,6.3,0,2.8,00:50,9.8,13:20,12,3.3,11.9,02:10,8.6,822.9,00,819.1,16,-4.010555555555555,40.793055555555554
2022-01-31,2462,PUERTO DE NAVACERRADA,MADRID,1894,0.9,0,-3.7,23:40,5.5,13:30,01,5.3,15.3,22:10,8.6,820.5,11,818.3,03,-4.010555555555555,40.793055555555554
2022-01-01,3100B,ARANJUEZ,MADRID,540,8.4,0,-1,07:00,17.7,14:50,09,0.6,4.7,10:40,NA,NA,NA,NA,NA,-3.546111111111111,40.06722222222223
2022-01-02,3100B,ARANJUEZ,MADRID,540,8.3,0,-0.1,Varias,16.7,15:00,11,1.1,4.7,10:50,NA,NA,NA,NA,NA,-3.546111111111111,40.06722222222223
2022-01-03,3100B,ARANJUEZ,MADRID,540,8.6,0,0.7,07:00,16.6,15:40,09,0.3,4.7,09:30,NA,NA,NA,NA,NA,-3.546111111111111,40.06722222222223
2022-01-04,3100B,ARANJUEZ,MADRID,540,9.2,2.5,2.2,07:50,16.3,14:40,25,2.8,15.3,15:50,NA,NA,NA,NA,NA,-3.546111111111111,40.06722222222223
2022-01-05,3100B,ARANJUEZ,MADRID,540,6.8,2.8,2.6,05:30,10.9,13:00,29,3.3,10,12:00,NA,NA,NA,NA,NA,-3.546111111111111,40.06722222222223
2022-01-06,3100B,ARANJUEZ,MADRID,540,4.2,0,-0.9,06:40,9.4,15:50,10,0.8,4.7,22:20,NA,NA,NA,NA,NA,-3.546111111111111,40.06722222222223
2022-01-07,3100B,ARANJUEZ,MADRID,540,4.6,0,-3.1,07:50,12.3,15:50,01,1.7,6.4,16:50,NA,NA,NA,NA,NA,-3.546111111111111,40.06722222222223
2022-01-08,3100B,ARANJUEZ,MADRID,540,3.2,0,-2.9,05:00,9.2,15:50,26,1.1,12.2,16:20,NA,NA,NA,NA,NA,-3.546111111111111,40.06722222222223
2022-01-09,3100B,ARANJUEZ,MADRID,540,6.2,0,-0.9,05:40,13.2,14:20,24,2.2,10.3,12:20,NA,NA,NA,NA,NA,-3.546111111111111,40.06722222222223
