mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN
2019-07,000,Total,28002,Ajalvir,338,002
2019-07,010,Total Europa,28002,Ajalvir,290,002
2019-07,011,Total Unión Europea,28002,Ajalvir,268,002
2019-07,030,Total América,28002,Ajalvir,37,002
2019-07,110,Francia,28002,Ajalvir,56,002
2019-07,121,Países Bajos,28002,Ajalvir,54,002
2019-07,123,Portugal,28002,Ajalvir,37,002
2019-07,126,Alemania,28002,Ajalvir,40,002
2019-07,000,Total,28004,"Álamo, El",157,004
2019-07,010,Total Europa,28004,"Álamo, El",116,004
2019-07,011,Total Unión Europea,28004,"Álamo, El",109,004
2019-07,000,Total,28005,Alcalá de Henares,8461,005
2019-07,010,Total Europa,28005,Alcalá de Henares,6776,005
2019-07,011,Total Unión Europea,28005,Alcalá de Henares,5865,005
2019-07,020,Total África,28005,Alcalá de Henares,199,005
2019-07,030,Total América,28005,Alcalá de Henares,1074,005
2019-07,031,Total América del Norte,28005,Alcalá de Henares,760,005
2019-07,033,Total Sudamérica,28005,Alcalá de Henares,258,005
2019-07,040,Total Asia,28005,Alcalá de Henares,409,005
2019-07,102,Austria,28005,Alcalá de Henares,567,005
2019-07,103,Bélgica,28005,Alcalá de Henares,165,005
2019-07,104,Bulgaria,28005,Alcalá de Henares,104,005
2019-07,107,Dinamarca,28005,Alcalá de Henares,92,005
2019-07,110,Francia,28005,Alcalá de Henares,962,005
2019-07,112,Hungria,28005,Alcalá de Henares,92,005
2019-07,113,Irlanda,28005,Alcalá de Henares,176,005
2019-07,115,Italia,28005,Alcalá de Henares,380,005
2019-07,117,Luxemburgo,28005,Alcalá de Henares,170,005
2019-07,121,Países Bajos,28005,Alcalá de Henares,605,005
2019-07,122,Polonia,28005,Alcalá de Henares,284,005
2019-07,123,Portugal,28005,Alcalá de Henares,405,005
2019-07,125,Reino Unido,28005,Alcalá de Henares,611,005
2019-07,126,Alemania,28005,Alcalá de Henares,873,005
2019-07,128,Rumania,28005,Alcalá de Henares,362,005
2019-07,131,Suecia,28005,Alcalá de Henares,500,005
2019-07,132,Suiza,28005,Alcalá de Henares,101,005
2019-07,135,Ucrania,28005,Alcalá de Henares,115,005
2019-07,142,Lituania,28005,Alcalá de Henares,57,005
2019-07,154,Rusia,28005,Alcalá de Henares,32,005
2019-07,220,Guinea ecuatorial,28005,Alcalá de Henares,78,005
2019-07,228,Marruecos,28005,Alcalá de Henares,63,005
2019-07,234,Nigeria,28005,Alcalá de Henares,45,005
2019-07,302,EE.UU.,28005,Alcalá de Henares,624,005
2019-07,340,Argentina,28005,Alcalá de Henares,47,005
2019-07,342,Brasil,28005,Alcalá de Henares,50,005
2019-07,343,Colombia,28005,Alcalá de Henares,70,005
2019-07,348,Peru,28005,Alcalá de Henares,31,005
2019-07,407,China,28005,Alcalá de Henares,187,005
2019-07,430,Republica de corea - corea del sur,28005,Alcalá de Henares,181,005
2019-07,000,Total,28006,Alcobendas,7022,006
2019-07,010,Total Europa,28006,Alcobendas,5151,006
2019-07,011,Total Unión Europea,28006,Alcobendas,4287,006
2019-07,020,Total África,28006,Alcobendas,167,006
2019-07,030,Total América,28006,Alcobendas,1192,006
2019-07,031,Total América del Norte,28006,Alcobendas,723,006
2019-07,033,Total Sudamérica,28006,Alcobendas,458,006
2019-07,040,Total Asia,28006,Alcobendas,495,006
2019-07,102,Austria,28006,Alcobendas,416,006
2019-07,103,Bélgica,28006,Alcobendas,173,006
2019-07,107,Dinamarca,28006,Alcobendas,79,006
2019-07,110,Francia,28006,Alcobendas,957,006
2019-07,113,Irlanda,28006,Alcobendas,113,006
2019-07,115,Italia,28006,Alcobendas,215,006
2019-07,117,Luxemburgo,28006,Alcobendas,81,006
2019-07,121,Países Bajos,28006,Alcobendas,1076,006
2019-07,122,Polonia,28006,Alcobendas,68,006
2019-07,123,Portugal,28006,Alcobendas,355,006
2019-07,125,Reino Unido,28006,Alcobendas,658,006
2019-07,126,Alemania,28006,Alcobendas,458,006
2019-07,128,Rumania,28006,Alcobendas,47,006
2019-07,131,Suecia,28006,Alcobendas,151,006
2019-07,132,Suiza,28006,Alcobendas,115,006
2019-07,135,Ucrania,28006,Alcobendas,35,006
2019-07,228,Marruecos,28006,Alcobendas,109,006
2019-07,301,Canada,28006,Alcobendas,54,006
2019-07,302,EE.UU.,28006,Alcobendas,503,006
2019-07,303,Mexico,28006,Alcobendas,166,006
2019-07,340,Argentina,28006,Alcobendas,74,006
2019-07,342,Brasil,28006,Alcobendas,80,006
2019-07,343,Colombia,28006,Alcobendas,143,006
2019-07,348,Peru,28006,Alcobendas,41,006
2019-07,351,Venezuela,28006,Alcobendas,47,006
2019-07,402,Arabia saudita,28006,Alcobendas,31,006
2019-07,407,China,28006,Alcobendas,161,006
2019-07,408,Emiratos arabes unidos,28006,Alcobendas,42,006
2019-07,414,Israel,28006,Alcobendas,65,006
2019-07,415,Japón,28006,Alcobendas,45,006
2019-07,430,Republica de corea - corea del sur,28006,Alcobendas,52,006
2019-07,436,Turquia,28006,Alcobendas,42,006
2019-07,000,Total,28007,Alcorcón,3481,007
2019-07,010,Total Europa,28007,Alcorcón,2698,007
2019-07,011,Total Unión Europea,28007,Alcorcón,2281,007
2019-07,020,Total África,28007,Alcorcón,164,007
2019-07,030,Total América,28007,Alcorcón,410,007
2019-07,031,Total América del Norte,28007,Alcorcón,228,007
2019-07,033,Total Sudamérica,28007,Alcorcón,176,007
