GEOCODIGO,campana,ano,semana,n_vacunas,tuits_gripe,interes_gripe
001,NA,2022,35,0,76,22
001,2022,2022,36,0,86,21
001,2022,2022,37,0,64,22
001,2022,2022,38,0,98,32
001,2022,2022,39,0,126,42
001,2022,2022,40,0,112,60
001,2022,2022,41,360,176,77
001,2022,2022,42,341,180,100
001,2022,2022,43,371,270,69
001,2022,2022,44,347,218,77
002,NA,2022,35,0,76,22
002,2022,2022,36,0,86,21
002,2022,2022,37,0,64,22
002,2022,2022,38,0,98,32
002,2022,2022,39,0,126,42
002,2022,2022,40,0,112,60
002,2022,2022,41,194,176,77
002,2022,2022,42,214,180,100
002,2022,2022,43,196,270,69
002,2022,2022,44,199,218,77
003,NA,2022,35,0,76,22
003,2022,2022,36,0,86,21
003,2022,2022,37,0,64,22
003,2022,2022,38,0,98,32
003,2022,2022,39,0,126,42
003,2022,2022,40,0,112,60
003,2022,2022,41,325,176,77
003,2022,2022,42,341,180,100
003,2022,2022,43,344,270,69
003,2022,2022,44,352,218,77
004,NA,2022,35,0,76,22
004,2022,2022,36,0,86,21
004,2022,2022,37,0,64,22
004,2022,2022,38,0,98,32
004,2022,2022,39,0,126,42
004,2022,2022,40,0,112,60
004,2022,2022,41,249,176,77
004,2022,2022,42,230,180,100
004,2022,2022,43,254,270,69
004,2022,2022,44,244,218,77
005,NA,2022,35,0,76,22
005,2022,2022,36,0,86,21
005,2022,2022,37,0,64,22
005,2022,2022,38,0,98,32
005,2022,2022,39,0,126,42
005,2022,2022,40,0,112,60
005,2022,2022,41,301,176,77
005,2022,2022,42,317,180,100
005,2022,2022,43,294,270,69
005,2022,2022,44,332,218,77
006,NA,2022,35,0,76,22
006,2022,2022,36,0,86,21
006,2022,2022,37,0,64,22
006,2022,2022,38,0,98,32
006,2022,2022,39,0,126,42
006,2022,2022,40,0,112,60
006,2022,2022,41,234,176,77
006,2022,2022,42,222,180,100
006,2022,2022,43,239,270,69
006,2022,2022,44,231,218,77
007,NA,2022,35,0,76,22
007,2022,2022,36,0,86,21
007,2022,2022,37,0,64,22
007,2022,2022,38,0,98,32
007,2022,2022,39,0,126,42
007,2022,2022,40,0,112,60
007,2022,2022,41,139,176,77
007,2022,2022,42,135,180,100
007,2022,2022,43,149,270,69
007,2022,2022,44,157,218,77
008,NA,2022,35,0,76,22
008,2022,2022,36,0,86,21
008,2022,2022,37,0,64,22
008,2022,2022,38,0,98,32
008,2022,2022,39,0,126,42
008,2022,2022,40,0,112,60
008,2022,2022,41,308,176,77
008,2022,2022,42,337,180,100
008,2022,2022,43,315,270,69
008,2022,2022,44,300,218,77
009,NA,2022,35,0,76,22
009,2022,2022,36,0,86,21
009,2022,2022,37,0,64,22
009,2022,2022,38,0,98,32
009,2022,2022,39,0,126,42
009,2022,2022,40,0,112,60
009,2022,2022,41,171,176,77
009,2022,2022,42,172,180,100
009,2022,2022,43,161,270,69
009,2022,2022,44,183,218,77
010,NA,2022,35,0,76,22
010,2022,2022,36,0,86,21
010,2022,2022,37,0,64,22
010,2022,2022,38,0,98,32
010,2022,2022,39,0,126,42
010,2022,2022,40,0,112,60
010,2022,2022,41,304,176,77
010,2022,2022,42,330,180,100
010,2022,2022,43,302,270,69
010,2022,2022,44,326,218,77
011,NA,2022,35,0,76,22
011,2022,2022,36,0,86,21
011,2022,2022,37,0,64,22
011,2022,2022,38,0,98,32
011,2022,2022,39,0,126,42
011,2022,2022,40,0,112,60
011,2022,2022,41,258,176,77
011,2022,2022,42,304,180,100
011,2022,2022,43,271,270,69
011,2022,2022,44,282,218,77
012,NA,2022,35,0,76,22
012,2022,2022,36,0,86,21
012,2022,2022,37,0,64,22
012,2022,2022,38,0,98,32
012,2022,2022,39,0,126,42
012,2022,2022,40,0,112,60
012,2022,2022,41,288,176,77
012,2022,2022,42,308,180,100
012,2022,2022,43,326,270,69
012,2022,2022,44,318,218,77
013,NA,2022,35,0,76,22
013,2022,2022,36,0,86,21
013,2022,2022,37,0,64,22
013,2022,2022,38,0,98,32
013,2022,2022,39,0,126,42
013,2022,2022,40,0,112,60
013,2022,2022,41,181,176,77
013,2022,2022,42,165,180,100
013,2022,2022,43,178,270,69
013,2022,2022,44,186,218,77
014,NA,2022,35,0,76,22
014,2022,2022,36,0,86,21
014,2022,2022,37,0,64,22
014,2022,2022,38,0,98,32
014,2022,2022,39,0,126,42
014,2022,2022,40,0,112,60
014,2022,2022,41,409,176,77
014,2022,2022,42,377,180,100
014,2022,2022,43,412,270,69
014,2022,2022,44,422,218,77
015,NA,2022,35,0,76,22
015,2022,2022,36,0,86,21
015,2022,2022,37,0,64,22
015,2022,2022,38,0,98,32
015,2022,2022,39,0,126,42
015,2022,2022,40,0,112,60
015,2022,2022,41,243,176,77
015,2022,2022,42,251,180,100
015,2022,2022,43,291,270,69
015,2022,2022,44,295,218,77
016,NA,2022,35,0,76,22
016,2022,2022,36,0,86,21
016,2022,2022,37,0,64,22
016,2022,2022,38,0,98,32
016,2022,2022,39,0,126,42
016,2022,2022,40,0,112,60
016,2022,2022,41,286,176,77
016,2022,2022,42,317,180,100
016,2022,2022,43,326,270,69
016,2022,2022,44,323,218,77
017,NA,2022,35,0,76,22
017,2022,2022,36,0,86,21
017,2022,2022,37,0,64,22
017,2022,2022,38,0,98,32
017,2022,2022,39,0,126,42
017,2022,2022,40,0,112,60
017,2022,2022,41,154,176,77
017,2022,2022,42,166,180,100
017,2022,2022,43,161,270,69
017,2022,2022,44,151,218,77
018,NA,2022,35,0,76,22
018,2022,2022,36,0,86,21
018,2022,2022,37,0,64,22
018,2022,2022,38,0,98,32
018,2022,2022,39,0,126,42
018,2022,2022,40,0,112,60
018,2022,2022,41,286,176,77
018,2022,2022,42,268,180,100
018,2022,2022,43,262,270,69
018,2022,2022,44,292,218,77
019,NA,2022,35,0,76,22
019,2022,2022,36,0,86,21
019,2022,2022,37,0,64,22
019,2022,2022,38,0,98,32
019,2022,2022,39,0,126,42
019,2022,2022,40,0,112,60
019,2022,2022,41,537,176,77
019,2022,2022,42,533,180,100
019,2022,2022,43,526,270,69
019,2022,2022,44,561,218,77
020,NA,2022,35,0,76,22
020,2022,2022,36,0,86,21
020,2022,2022,37,0,64,22
020,2022,2022,38,0,98,32
020,2022,2022,39,0,126,42
020,2022,2022,40,0,112,60
020,2022,2022,41,309,176,77
020,2022,2022,42,315,180,100
020,2022,2022,43,360,270,69
020,2022,2022,44,329,218,77
021,NA,2022,35,0,76,22
021,2022,2022,36,0,86,21
021,2022,2022,37,0,64,22
021,2022,2022,38,0,98,32
021,2022,2022,39,0,126,42
021,2022,2022,40,0,112,60
021,2022,2022,41,243,176,77
021,2022,2022,42,227,180,100
021,2022,2022,43,232,270,69
021,2022,2022,44,232,218,77
022,NA,2022,35,0,76,22
022,2022,2022,36,0,86,21
022,2022,2022,37,0,64,22
022,2022,2022,38,0,98,32
022,2022,2022,39,0,126,42
022,2022,2022,40,0,112,60
022,2022,2022,41,396,176,77
022,2022,2022,42,381,180,100
022,2022,2022,43,418,270,69
022,2022,2022,44,438,218,77
023,NA,2022,35,0,76,22
023,2022,2022,36,0,86,21
023,2022,2022,37,0,64,22
023,2022,2022,38,0,98,32
023,2022,2022,39,0,126,42
023,2022,2022,40,0,112,60
023,2022,2022,41,260,176,77
023,2022,2022,42,292,180,100
023,2022,2022,43,288,270,69
023,2022,2022,44,302,218,77
024,NA,2022,35,0,76,22
024,2022,2022,36,0,86,21
024,2022,2022,37,0,64,22
024,2022,2022,38,0,98,32
024,2022,2022,39,0,126,42
024,2022,2022,40,0,112,60
024,2022,2022,41,401,176,77
024,2022,2022,42,369,180,100
024,2022,2022,43,378,270,69
024,2022,2022,44,414,218,77
025,NA,2022,35,0,76,22
025,2022,2022,36,0,86,21
025,2022,2022,37,0,64,22
025,2022,2022,38,0,98,32
025,2022,2022,39,0,126,42
025,2022,2022,40,0,112,60
025,2022,2022,41,242,176,77
025,2022,2022,42,243,180,100
025,2022,2022,43,245,270,69
025,2022,2022,44,257,218,77
026,NA,2022,35,0,76,22
026,2022,2022,36,0,86,21
026,2022,2022,37,0,64,22
026,2022,2022,38,0,98,32
026,2022,2022,39,0,126,42
026,2022,2022,40,0,112,60
026,2022,2022,41,221,176,77
026,2022,2022,42,246,180,100
026,2022,2022,43,217,270,69
026,2022,2022,44,230,218,77
027,NA,2022,35,0,76,22
027,2022,2022,36,0,86,21
027,2022,2022,37,0,64,22
027,2022,2022,38,0,98,32
027,2022,2022,39,0,126,42
027,2022,2022,40,0,112,60
027,2022,2022,41,184,176,77
027,2022,2022,42,168,180,100
027,2022,2022,43,177,270,69
027,2022,2022,44,190,218,77
028,NA,2022,35,0,76,22
028,2022,2022,36,0,86,21
028,2022,2022,37,0,64,22
028,2022,2022,38,0,98,32
028,2022,2022,39,0,126,42
028,2022,2022,40,0,112,60
028,2022,2022,41,167,176,77
028,2022,2022,42,164,180,100
028,2022,2022,43,165,270,69
028,2022,2022,44,166,218,77
029,NA,2022,35,0,76,22
029,2022,2022,36,0,86,21
029,2022,2022,37,0,64,22
029,2022,2022,38,0,98,32
029,2022,2022,39,0,126,42
029,2022,2022,40,0,112,60
029,2022,2022,41,218,176,77
029,2022,2022,42,211,180,100
029,2022,2022,43,216,270,69
029,2022,2022,44,209,218,77
030,NA,2022,35,0,76,22
030,2022,2022,36,0,86,21
030,2022,2022,37,0,64,22
030,2022,2022,38,0,98,32
030,2022,2022,39,0,126,42
030,2022,2022,40,0,112,60
030,2022,2022,41,677,176,77
030,2022,2022,42,709,180,100
030,2022,2022,43,642,270,69
030,2022,2022,44,754,218,77
031,NA,2022,35,0,76,22
031,2022,2022,36,0,86,21
