anyo,mun_dest,receptor,Andalucía,Aragón,"Asturias, Principado de","Balears, Illes",Canarias,Cantabria,Castilla - La Mancha,Castilla y León,Cataluña,Ceuta,Comunitat Valenciana,Extremadura,Galicia,"Madrid, Comunidad de",Melilla,"Murcia, Región de","Navarra, Comunidad Foral de",País Vasco,"Rioja, La",comercio,hosteleria,turismo,cluster
2019,Ajalvir,2097,1019,244,75,0,0,0,3736.045,655,458,0,635,298,143,0,0,252,0,182,30,4,3,3,2
2019,Alcalá de Henares,51866,30.429000000000002,922.967,2961.1,2448,3699,2669,197.185,24.223,17.894,429,23.787,942.04,10.825,0,229,1583.901,2589,2147.38,1720,3,3,3,1
2019,Alcobendas,44960,18.104,3139,3531.015,2678,3261,2784,30.77,17.579,10.491999999999999,0,14.213000000000001,3985.14,1901.572,0,0,3534,1222,2291.416,895,3,3,2,1
2019,Alcorcón,24139,21.351,2978,4540,2002,2510,1696,76.385,33.786,1935.944,32,18.332,15.736,1865.7,0,84,4207,1250,3213,731,4,3,5,1
2019,Aldea del Fresno,687,506,0,0,33,0,0,932.725,405,142,0,295,196,50,0,0,0,0,47,0,2,2,3,2
2019,Algete,6485,2901,402,508,217,244,456,11.463000000000001,2399,894,0,2390,512,820,0,0,578,71,705,0,2.5,3,2.5,2
2019,Alpedrete,2399,1925,395,611,205,293,146,1690,3020,799,0,1461,500,1160,0,0,375,0,395,0,3,3,1,2
2019,Ambite,344,0,0,0,0,0,0,3909,34,0,0,72,0,0,0,0,0,0,0,0,2,4,3,2
2019,Aranjuez,11628,11.579,1563,1372,650,979,823,130.957,5070,3527,0,997.212,2276,2252,0,93,2398,600,1660,371,3,3,2.5,3
2019,Arganda del Rey,12477,2455.365,1026,1052,511,571,428,13.792,4220,2871,0,9.27,1661,1916,0,0,2208,343,1241,334,3,3,2,3
2019,Arroyomolinos,6798,3331,552,547,173,322,399,21.089,2715,1244,0,2476,3376,1289,1008,0,674,35,398,0,2,3.5,3,2
