GEOCODIGO,DESBDT,capacidad_zona,prop_riesgo,tasa_riesgo,tasa_mayores,poblacion_mayores,nombre_zona,nsec,t3_1,t1_1,t2_1,t2_2,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,area,densidad_hab_km
001,Abrantes,7477,0.19535422697567523,0.00686773094628833,0.03324258630177273,0.1781619041242635,Abrantes,23,42.31248969603642,29872,0.5345094134975897,0.46549058650241026,0.15619346210498125,0.6656458523031602,0.1781619041242635,0.21839930369576863,0.34508551486341726,0.04090796063203,0.02880326392608462,0.268571625602571,0.16656065546331011,0.4723181005623996,0.56373812265666845,1571618.82331336,19007.153361158184
002,Acacias,4482,0.26312124516039614,0.01091821662111041,0.0129876833075308,0.23909410945938425,Acacias,11,46.15717402705863,17961,0.5328775402260454,0.4671224597739546,0.10929873058292967,0.6516214576025834,0.23909410945938425,0.0431364456322031,0.07700824564333834,0.0849459272868994,0.07576303657925505,0.6368488280162575,0.08377986749067423,0.5083022493179667,0.5548572685262513,771569.702479085,23278.519027238333
003,Adelfas,7235,0.2436266083983088,0.00582185693794976,0.01419385695759463,0.22173278609200567,Adelfas,19,45.30472446341548,28933,0.5383134379428335,0.46168656205716657,0.1240881726748004,0.6541986347768984,0.22173278609200567,0.0723694846714824,0.12420792175025058,0.07195007776587288,0.0653240037327619,0.6031800055300177,0.08766431756126224,0.5262385131165106,0.5770965541077663,854805.600959363,33847.46188785848
004,Alameda,5343,0.17253853510392253,0.01797640401068895,0.00998927818974581,0.15740287944654793,Alameda,18,43.70574911419623,21393,0.49198053568924416,0.5080194643107558,0.0740900761931473,0.7685362641985696,0.15740287944654793,0.26145727574440236,0.35309699434394426,0.04949630252886457,0.04323112700416023,0.567235006777918,0.12302997709531156,0.5410469733090263,0.617150960594587,547596.125621364,39067.11351495612
005,Alameda de Osuna,6816,0.24156570861242196,0.0116475388590768,0.01331821393246606,0.21934189808870463,Alameda de Osuna,18,43.31967808797094,27259,0.5153615943358157,0.4846384056641843,0.17427653618988226,0.6063697494405518,0.21934189808870463,0.07059010602003007,0.12803027990755347,0.07156026266554166,0.06267664624527679,0.5862647309145603,0.0851813162625188,0.5028546791885249,0.5490471330569721,35137989.8668105,775.770045563916
006,Alcalde Bartolomé González,5318,0.2522345067356948,0.00589765807940992,0.02945184953373082,0.22995236004908903,Alcalde Bartolomé González,15,44.26034492117436,21186,0.5120956575096761,0.4879043424903238,0.13291248465968095,0.6370983054847541,0.22995236004908903,0.2010146842254319,0.26753677428490513,0.03280560275653733,0.02074303785518739,0.18526148871896536,0.18264006419333523,0.4279287831586897,0.5236781223449448,661765.002919248,32014.385630158853
007,Alcalá de Guadaira,3081,0.23897745137052623,0.01243714526214242,0.02433702149545162,0.21734675345678012,Alcalá  de Guadaira,10,44.972662100752,12367,0.5392503679146115,0.4607496320853885,0.12266048354491792,0.6599792188889787,0.21734675345678012,0.18880299991913965,0.30080680844182095,0.04468144254871837,0.03374930055793644,0.25916658850165764,0.14870522357887928,0.4618906768011644,0.5430907172313415,504815.475354494,24498.06038793796
008,Alcobendas - Chopera,6843,0.22557076459680536,0.01369162352564608,0.03005159217677043,0.2049689558437773,Alcobendas - Chopera,17,42.938617174293206,27448,0.5282667225298746,0.47173327747012533,0.13861856237248615,0.6563967247158263,0.2049689558437773,0.22332569221801224,0.3378025029146022,0.05416035776741475,0.04193884800349752,0.2819676260565433,0.13412834814922764,0.4738720744680851,0.5474458758379481,811208.396308526,33835.94169501265
009,Alcocer,3776,0.18197674090427352,0.01287890675826746,0.01609881335946321,0.16534525039745626,Alcocer,11,42.05643420773715,15096,0.5237921966083731,0.4762078033916269,0.15022894806571277,0.6844287427133016,0.16534525039745626,0.17746807763645997,0.266024960254372,0.04107322469528352,0.02798725490196078,0.2196678391626921,0.2217009207737149,0.4555099960254372,0.5830294382617913,3837912.70154456,3933.3880611522623
010,Algete,7014,0.13337464456037404,0.00847305806421822,0.02376370291774648,0.1217597909556314,Algete,12,39.13499710964164,28128,0.5093168764220706,0.4906831235779295,0.18857426052332196,0.6896535693970421,0.1217597909556314,0.11367372013651876,0.16909604664391353,0.07704285765073947,0.0607079529294653,0.42970460039817976,0.09993556953924916,0.5496031001137657,0.6114399459613197,58724766.6133426,478.9801922109157
011,Alicante,6160,0.1877502353667174,0.01755890584225423,0.02244164924486494,0.17014194044343744,Alicante,14,42.12239401197605,24716,0.5096837150024276,0.49031628499757246,0.14341763230296165,0.6864255178831526,0.17014194044343744,0.15937018530506555,0.20188900712089333,0.05060164670658682,0.0342152087716459,0.18044274558990128,0.17310543372714032,0.4762972123320926,0.574926529373685,823484.147489148,30013.935393122687
012,Almendrales,6844,0.1535953786005542,0.01194921618205715,0.00573742657617461,0.13905306569343065,Almendrales,17,40.15908835766423,27400,0.5287221605839416,0.4712778394160584,0.16252895620437957,0.6984305729927007,0.13905306569343065,0.2623228138686131,0.3891182773722628,0.04363783576642335,0.03166663503649635,0.29363567518248174,0.16045517518248176,0.5044455218978102,0.5984957700729927,776155.94895804,35302.183841769765
013,Alpedrete,3789,0.15242104927062178,0.00689379709729098,0.03778429287475451,0.13935584398471473,Alpedrete,8,40.574972638028726,15178,0.5095978785083675,0.49040212149163265,0.1794548161813151,0.6811852879167216,0.13935584398471473,0.09019803004348398,0.13591695875609436,0.07535910528396364,0.05609451179338516,0.5401626564764791,0.1091547173540651,0.5449263407563579,0.6118953682962183,12668592.8758243,1198.0809667476524
