GEOCODIGO,ano,semana,n_vacunas,lower,upper,dato,campana,tuits_gripe,interes_gripe
001,2022,45,299.75133062709466,96.7778589027618,502.724802351427,Predicción,NA,NA,NA
001,2022,46,258.936196578426,-9.28184737029909,527.154240527151,Predicción,NA,NA,NA
001,2022,47,223.6785863743578,-84.3498838922736,531.707056640989,Predicción,NA,NA,NA
001,2022,48,193.22176915994604,-141.442459277232,527.885997597124,Predicción,NA,NA,NA
001,2022,49,166.91205305998602,-186.321987193186,520.146093313157,Predicción,NA,NA,NA
001,2022,50,144.18475505023352,-222.293795593216,510.663305693683,Predicción,NA,NA,NA
001,2022,51,124.55208121743286,-251.505916964433,500.610079399298,Predicción,NA,NA,NA
001,2022,52,107.59265728328376,-275.457605756942,490.64292032351,Predicción,NA,NA,NA
001,2023,1,92.94248468694315,-295.243452633254,481.12842200714,Predicción,NA,NA,NA
001,2023,2,80.28712811728985,-311.687283055058,472.261539289638,Predicción,NA,NA,NA
001,2023,3,69.35496681667337,-325.42276980868,464.132703442026,Predicción,NA,NA,NA
001,2023,4,59.91136480949809,-336.945350615579,456.768080234575,Predicción,NA,NA,NA
001,2023,5,51.7536349317935,-346.647375048385,450.154644911971,Predicción,NA,NA,NA
001,2023,6,44.70668857519881,-354.842806524694,444.256183675092,Predicción,NA,NA,NA
001,2023,7,38.619277776216066,-361.785086539646,439.023642092078,Predicción,NA,NA,NA
001,2023,8,33.3607489950379,-367.680343301068,434.401841291144,Predicción,NA,NA,NA
001,2023,9,28.818238910602656,-372.697330742275,430.33380856348,Predicción,NA,NA,NA
001,2023,10,24.89425204548317,-376.975014183293,426.763518274259,Predicción,NA,NA,NA
001,2023,11,21.50456822939439,-380.628428587997,423.637565046786,Predicción,NA,NA,NA
001,2023,12,18.5764349894009,-383.75324860474,420.906118583542,Predicción,NA,NA,NA
001,2023,13,16.047006070261208,-386.42938529152,418.523397432042,Predicción,NA,NA,NA
001,2023,14,13.861992571014012,-388.72383932292,416.447824464947,Predicción,NA,NA,NA
002,2022,45,174.96037079807013,61.5223427410955,288.398398855045,Predicción,NA,NA,NA
002,2022,46,156.1431228767873,12.0852048877788,300.201040865796,Predicción,NA,NA,NA
002,2022,47,141.41374346927972,-18.5350399037997,301.362526842359,Predicción,NA,NA,NA
002,2022,48,129.88418193945975,-39.0642831413973,298.832647020317,Predicción,NA,NA,NA
002,2022,49,120.8593082233173,-53.3738533024448,295.092469749079,Predicción,NA,NA,NA
002,2022,50,113.79500266567216,-63.5983917758513,291.188397107195,Predicción,NA,NA,NA
002,2022,51,108.2653504421165,-71.0368408460484,287.567541730281,Predicción,NA,NA,NA
002,2022,52,103.93696268142816,-76.5247973058881,284.398722668744,Predicción,NA,NA,NA
002,2023,1,100.54887608041767,-80.6196992341021,281.717451394937,Predicción,NA,NA,NA
002,2023,2,97.89681913667444,-83.703471526912,279.497109800261,Predicción,NA,NA,NA
002,2023,3,95.82089639291723,-86.0434053010084,277.685198086843,Predicción,NA,NA,NA
002,2023,4,94.1959481623691,-87.8299271807594,276.221823505497,Predicción,NA,NA,NA
002,2023,5,92.92400451229736,-89.2007981926665,275.048807217261,Predicción,NA,NA,NA
002,2023,6,91.92837854800919,-90.257011640204,274.113768736222,Predicción,NA,NA,NA
002,2023,7,91.1490428748378,-91.0734600640682,273.371545813744,Predicción,NA,NA,NA
002,2023,8,90.53901047987937,-91.7062281683576,272.784249128116,Predicción,NA,NA,NA
002,2023,9,90.06150183282314,-92.1976658656846,272.320669531331,Predicción,NA,NA,NA
002,2023,10,89.68772740723875,-92.5799742674656,271.955429081943,Predicción,NA,NA,NA
002,2023,11,89.39515192806738,-92.877778422445,271.66808227858,Predicción,NA,NA,NA
002,2023,12,89.16613569487133,-93.1099982561506,271.442269645893,Predicción,NA,NA,NA
002,2023,13,88.98687106471212,-93.2912257443159,271.26496787374,Predicción,NA,NA,NA
002,2023,14,88.8465499740294,-93.4327494920366,271.125849440095,Predicción,NA,NA,NA
003,2022,45,311.554426619424,121.967467626017,501.141385612831,Predicción,NA,NA,NA
