CODBDT,GEOCODIGO,DESBDT,area,X,Y
686213,001,Abrantes,1571618.82331336,-3.726139629033603,40.37897778171344
686214,002,Acacias,771569.702479085,-3.708702067273755,40.4004457627663
686215,003,Adelfas,854805.600959363,-3.6728411402595387,40.401445770301116
686216,004,Alameda,547596.125621364,-3.6972914395960093,40.41035891396934
686217,005,Alameda de Osuna,35137989.8668105,-3.5697736645086033,40.47515551290104
686218,006,Alcalde Bartolomé González,661765.002919248,-3.864290013954896,40.32250236864106
686219,007,Alcalá de Guadaira,504815.475354494,-3.6575592054622623,40.389193074392466
686220,008,Alcobendas - Chopera,811208.396308526,-3.6373898474683406,40.54070789416091
686221,009,Alcocer,3837912.70154456,-3.713487249089042,40.351565691537836
686222,010,Algete,58724766.6133426,-3.5220245090987334,40.59405303303383
686223,011,Alicante,823484.147489148,-3.7961798751545732,40.288942875875456
686224,012,Almendrales,776155.94895804,-3.69926103338244,40.38369582831474
686225,013,Alpedrete,12668592.8758243,-4.020809846185937,40.6618411294406
686226,014,Alpes,9523456.29786909,-3.5947670609285884,40.42773192667671
686227,015,Andrés Mellado,749504.097390158,-3.715290007461152,40.44035145963361
686228,016,Ángela Uriarte,1152365.7276852,-3.659659056290674,40.3816524571899
686229,017,Antonio Leyva,486985.863850803,-3.719142199537814,40.39282366640035
686230,018,Aquitania,1305256.36489359,-3.617587035669607,40.42124077697022
686231,019,Aranjuez,186962228.62268,-3.6797475573551433,39.99448544562617
686232,020,Aravaca,12446214.497666,-3.7908831770408296,40.462731597465584
686233,021,Arganda del Rey,17412422.3333123,-3.424382166805991,40.27229472423891
686234,022,Arganda - Felicidad,62928443.1400104,-3.4513288065681382,40.2979193350351
686235,023,Argüelles,758449.460373054,-3.717846467767766,40.42817801958096
686236,024,Arroyomolinos,20806575.9022828,-3.915804120085489,40.280117082772904
686237,025,Barajas,3816571.99222461,-3.5907016297001464,40.478086078653455
686238,026,Barcelona,671635.984163685,-3.8544626596260225,40.32708529331977
686239,027,Barrio del Puerto,1158450.70087104,-3.5718707608842344,40.42037864370578
686240,028,Baviera,736483.500287725,-3.6646949075353468,40.43942321404706
686241,029,Benita de Ávila,1602635.55912411,-3.649407542023593,40.46282343688351
686242,030,Boadilla del Monte,47440400.4672288,-3.8927110561248996,40.420315879086495
686243,031,Brújula,2232385.83722996,-3.4579532937990076,40.447322573920104
686244,032,Buenavista,1075324.80305072,-3.7560667698879913,40.3719166684681
686245,033,Buitrago de Lozoya,519448373.768941,-3.5787180511887797,41.03007762683574
686246,034,Bustarviejo,706292.180441024,-3.6941451014325537,40.460418930113015
686247,035,Butarque,6367530.0877466,-3.676246045791332,40.33714265603997
686248,036,Cadalso de los Vidrios,145895103.325558,-4.4850872150325936,40.27387584611843
686249,037,Campamento,668980.905070063,-3.773847352529718,40.39668862616283
686250,038,Campo Real,225744024.17108,-3.2895278652712108,40.33415816909564
686251,039,Campo de la Paloma,654264.672566659,-3.64850043541498,40.383323126842576
686252,040,Canal de Panamá,1394676.08642404,-3.653996933932701,40.44097437771468
686253,041,Canillejas,1597474.50794515,-3.6105126716835176,40.44326745654754
686254,042,Carabanchel Alto,4565899.72257672,-3.743717376618192,40.365982796651785
686255,043,Caramuel,834946.125046903,-3.7273135941547237,40.41034394660336
686256,044,Carmen Calzado,1074963.96323444,-3.3669883565507437,40.48305257068099
686257,045,Casa de Campo,17485221.1143654,-3.7530820365779034,40.423655575752534
686258,046,Castelló,870986.784502726,-3.685833797357662,40.42460121232766
686259,047,Castilla la Nueva,917946.665603676,-3.7998707286308306,40.2947992980413
686260,048,Cea Bermúdez,478439.809959899,-3.707546767116337,40.4374590789949
686261,049,Cercedilla,87516365.4692982,-4.0472954356395165,40.74670294021559
686262,050,Chopera,797154.533232979,-3.6979156823367463,40.3958622185942
686263,051,Ciempozuelos,59595352.5833534,-3.5992933924652193,40.15067099653874
686264,052,Ciudad San Pablo,1714583.02358734,-3.5398880523214693,40.41751581274034
686265,053,Ciudad de los Periodistas,1113452.19567158,-3.7061494509689292,40.48363077306985
686266,054,Collado Mediano,51871472.2795864,-3.9783230996117873,40.701600221904904
686267,055,Collado Villalba Estación,4186064.13704736,-4.008427888484108,40.624392466563016
686268,056,Collado Villalba Pueblo,20069552.3682348,-3.9831468147461857,40.64516092226193
686269,057,Colmenar Viejo Norte,2524036.60233344,-3.774563469781643,40.667891868533374
686270,058,Colmenar Viejo Sur,180448629.864483,-3.745645150276422,40.66389396296068
686271,059,Colmenar de Oreja,317422108.914925,-3.455853054605451,40.12663033396767
686272,060,Comillas,665253.623219087,-3.711985772109467,40.393460930615674
686273,061,Cortes,2090020.7409469,-3.706414382945976,40.41822073049016
686274,062,Coslada - Jaime Vera,2574017.3590935,-3.5574349403523784,40.41860992997866
686275,063,Cuzco,874982.894660104,-3.786626443103744,40.290600013518194
686276,064,Daganzo de Arriba,127157816.254774,-3.433098764399531,40.59298052474275
686277,065,Daroca,2813686.75594805,-3.647058519294302,40.42184916871184
686278,066,Dehesa Vieja,54436704.5075519,-3.5974640591918234,40.577215936871276
686279,067,Dos de Mayo,12379047.2476028,-3.874499781007258,40.301238720194895
686280,068,Doctor Cirajas,861510.385732075,-3.6408010940468083,40.4321750848639
686281,069,Doctor Laín Entralgo,1691540.62458101,-3.810614350811795,40.34435944730082
686282,070,Doctor Luengo Rodríguez,2513796.49763636,-3.8608186951525147,40.311010222849916
686283,071,Doctor Tamames,826201.145180726,-3.563040261145308,40.42814456929745
686284,072,Doctor Trueta,187545.850652537,-3.8273721611159472,40.34725630587064
686285,073,El Bercial,1935983.28972986,-3.7345847068137306,40.3240243123327
686286,074,El Escorial,68868759.8347709,-4.094839303533788,40.58564735607766
686287,075,El Espinillo,814533.335780325,-3.6892694900617387,40.359087444156934
686288,076,El Greco,520059.55038962,-3.737428298463712,40.30552022889084
686289,077,El Juncal,17849616.6832469,-3.4526744165190277,40.482312619805406
686290,078,El Molar,173193380.798198,-3.596426386243485,40.73189826168652
686291,079,El Naranjo,6075808.86424234,-3.8185121449362542,40.3025629118447
686292,080,El Pardo,187983215.714218,-3.767422334833793,40.55287538299494
686293,081,El Restón,27610492.1525978,-3.677286820536501,40.16381534846034
686294,082,El Soto,17037811.0504305,-3.9073945256200298,40.32472611937042
686295,083,Eloy Gonzalo,1055383.29347096,-3.697575526177307,40.43158666318921
686296,084,Embajadores,647263.469955336,-3.6946352609478637,40.403481102459736
686297,085,Ensanche Vallecas,48678625.5782104,-3.616106870061131,40.348081287666126
686298,086,Entrevías,5531420.11103127,-3.674209327515168,40.37483655865175
686299,087,Espronceda,1471998.79759729,-3.6965759517099386,40.44010565182901
686300,088,Estrecho de Corea,1270222.145996,-3.6451227268837436,40.43912026968179
686301,089,Estrella,490189.475005399,-3.6664752188574012,40.41064989267514
686302,090,Europa,493421.947118377,-3.7508722020406617,40.331726032410856
686303,091,Federica Montseny,1732177.07546196,-3.6336031834744293,40.38899172362072
686304,092,Felipe II,916183.399782506,-3.850913493162495,40.319969541679725
686305,093,Francia,3117491.17419863,-3.817542362526424,40.28187127502349
686306,094,Fuencarral,1768111.52381308,-3.692040448347489,40.49787264855913
686307,095,Fuente el Saz,150690825.293493,-3.4957250371550836,40.691216123138084
686308,096,Fuentelarreina,2818704.03524732,-3.73533190035949,40.48196233002566
686309,097,Galapagar,96647460.3762241,-3.9967190309306164,40.56277032527366
686310,098,Gandhi,818534.58756139,-3.6359921617348276,40.42597959235741
686311,099,García Noblejas,1326653.99275498,-3.6240642186956102,40.42368699278737
686312,100,General Fanjul,10249388.4052949,-3.800677159019422,40.38441978449668
686313,101,General Moscardó,677673.048990676,-3.6970845860216666,40.449383864764776
686314,102,General Oráa,1008042.12137411,-3.6828434549542495,40.433440122026354
686315,103,General Ricardos,798328.374436394,-3.733193524953134,40.39154820368782
686316,104,Getafe Norte,1162781.37105576,-3.718100044536989,40.32490003710383
686317,105,Goya,2169170.78288769,-3.6677790962608796,40.422962363352205
686318,106,Gregorio Marañón,4438486.7632447,-3.830415825315469,40.33332010060132
