ccaa,CPRO,CMUN,dist,secc,t1_1,t2_1,t2_2,t3_1,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,id_zona,nombre_zona
13,28,001,01,001,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,033,Buitrago de Lozoya
13,28,002,01,001,2358,0.4724,0.5276,40.5161,0.1425,0.7443,0.1132,0.1569,0.1968,0.4016,0.3971,0.4377,0.0912,0.6063,0.6672,064,Daganzo de Arriba
13,28,002,01,002,2435,0.483,0.517,38.3339,0.1959,0.7002,0.1039,0.1544,0.1951,0.4244,0.4224,0.4438,0.1226,0.5955,0.6788,064,Daganzo de Arriba
13,28,003,01,001,248,0.3952,0.6048,47.4597,0.1371,0.6573,0.2056,0.1129,0.1411,0.1542,0.1449,0.528,0.0932,0.5,0.5514,222,Rascafría
13,28,004,01,001,2886,0.5135,0.4865,44.4099,0.1611,0.6067,0.2322,0.1639,0.2128,0.147,0.1409,0.2602,0.1814,0.4213,0.5147,183,Navalcarnero
13,28,004,01,002,3376,0.4793,0.5207,40.681,0.1739,0.6727,0.1534,0.144,0.173,0.1596,0.1506,0.3234,0.1478,0.517,0.6067,183,Navalcarnero
13,28,004,01,003,2161,0.5016,0.4984,38.0088,0.223,0.6395,0.1374,0.1749,0.2138,0.1668,0.1602,0.2859,0.1658,0.4943,0.5926,183,Navalcarnero
13,28,004,01,004,1523,0.5279,0.4721,42.5371,0.1753,0.6448,0.1799,0.1326,0.1589,0.1584,0.1545,0.3057,0.1824,0.4745,0.5804,183,Navalcarnero
13,28,005,01,001,1648,0.5461,0.4539,43.736,0.1195,0.6917,0.1887,0.1608,0.2227,0.0979,0.0917,0.5134,0.1079,0.5245,0.5879,044,Carmen Calzado
13,28,005,01,002,1015,0.5399,0.4601,42.0837,0.1379,0.6916,0.1704,0.1852,0.2345,0.1074,0.0949,0.4709,0.1599,0.4983,0.5931,044,Carmen Calzado
13,28,005,01,003,1728,0.5046,0.4954,42.9693,0.1181,0.7095,0.1725,0.1649,0.2083,0.0919,0.0827,0.4436,0.149,0.5098,0.5991,044,Carmen Calzado
13,28,005,01,004,1349,0.5441,0.4559,48.5871,0.1097,0.5953,0.295,0.1623,0.2216,0.0683,0.06,0.4371,0.1424,0.4163,0.4854,044,Carmen Calzado
13,28,005,01,005,1351,0.5433,0.4567,45.5263,0.1044,0.6817,0.2139,0.1562,0.2161,0.0983,0.0934,0.5157,0.1043,0.5182,0.5785,044,Carmen Calzado
13,28,005,01,006,1239,0.5165,0.4835,46.5545,0.1122,0.6231,0.2647,0.1009,0.1227,0.0682,0.06,0.38,0.1323,0.4473,0.5155,044,Carmen Calzado
13,28,005,01,007,1205,0.5245,0.4755,49.317,0.1095,0.5452,0.3452,0.1228,0.151,0.0615,0.0475,0.1985,0.138,0.3784,0.439,044,Carmen Calzado
13,28,005,01,008,778,0.5411,0.4589,49.9614,0.1131,0.5386,0.3483,0.1774,0.2031,0.0754,0.0565,0.1841,0.1732,0.3667,0.4435,044,Carmen Calzado
13,28,005,01,009,1099,0.5341,0.4659,46.849,0.1119,0.6178,0.2702,0.1483,0.1774,0.042,0.0359,0.1906,0.1647,0.4416,0.5287,044,Carmen Calzado
13,28,005,01,010,940,0.4979,0.5021,44.3489,0.1319,0.6777,0.1904,0.166,0.1904,0.0699,0.06,0.3517,0.1362,0.4743,0.549,044,Carmen Calzado
13,28,005,01,011,1425,0.5439,0.4561,47.7684,0.1144,0.6147,0.2709,0.2126,0.2604,0.0681,0.0618,0.3265,0.1814,0.4113,0.5024,044,Carmen Calzado
13,28,005,01,012,1848,0.5184,0.4816,45.2581,0.1239,0.6466,0.2294,0.1845,0.1975,0.0581,0.0494,0.37,0.152,0.4583,0.5405,044,Carmen Calzado
13,28,005,01,013,950,0.5379,0.4621,44.6621,0.1295,0.6432,0.2274,0.1874,0.2263,0.0871,0.0774,0.4208,0.1239,0.4873,0.5562,044,Carmen Calzado
13,28,005,01,014,1298,0.5347,0.4653,47.3921,0.1179,0.6156,0.2666,0.1564,0.208,0.0594,0.0568,0.4742,0.1115,0.4803,0.5406,044,Carmen Calzado
13,28,005,01,015,2263,0.5276,0.4724,44.3973,0.10780000000000001,0.7035,0.1887,0.2209,0.2753,0.0872,0.0738,0.4279,0.1291,0.5012,0.5755,044,Carmen Calzado
13,28,005,01,016,1146,0.5166,0.4834,43.4319,0.1152,0.692,0.1928,0.2042,0.2644,0.072,0.0611,0.3797,0.152,0.4951,0.5838,044,Carmen Calzado
13,28,005,01,017,1030,0.5233,0.4767,46.8,0.1019,0.6476,0.2505,0.3709,0.3922,0.0508,0.0465,0.2519,0.1614,0.427,0.5092,044,Carmen Calzado
13,28,005,01,018,1311,0.524,0.476,42.5973,0.132,0.6842,0.1838,0.3326,0.3814,0.0835,0.0791,0.3286,0.1626,0.4569,0.5457,044,Carmen Calzado
13,28,005,01,020,1678,0.5113,0.4887,43.9589,0.1305,0.6609,0.2086,0.3451,0.3969,0.072,0.0644,0.2714,0.1931,0.4352,0.5394,044,Carmen Calzado
13,28,005,01,021,1355,0.5572,0.4428,52.0487,0.0731,0.5661,0.3609,0.1646,0.1985,0.0637,0.0565,0.4092,0.122,0.3726,0.4244,044,Carmen Calzado
13,28,005,01,022,1819,0.5245,0.4755,45.9962,0.1165,0.6278,0.2556,0.2567,0.2952,0.0641,0.0492,0.3603,0.1348,0.4512,0.5215,044,Carmen Calzado
13,28,005,01,023,1234,0.5348,0.4652,47.5583,0.1029,0.6264,0.2707,0.1605,0.2196,0.0903,0.0804,0.4932,0.1109,0.4634,0.5212,044,Carmen Calzado
13,28,005,01,024,1297,0.5513,0.4487,49.6569,0.0971,0.579,0.3238,0.1157,0.1742,0.0632,0.0555,0.4919,0.1213,0.4082,0.4646,044,Carmen Calzado
13,28,005,02,001,1300,0.5246,0.4754,48.8315,0.1115,0.5885,0.3,0.2623,0.2854,0.0589,0.0485,0.1732,0.1679,0.3905,0.4693,217,Puerta de Madrid
13,28,005,02,002,1040,0.525,0.475,48.7788,0.0981,0.5942,0.3077,0.1596,0.1856,0.0522,0.0437,0.1951,0.1637,0.3977,0.4755,217,Puerta de Madrid
13,28,005,02,003,1377,0.5309,0.4691,46.9223,0.1213,0.5969,0.2818,0.1743,0.1845,0.0438,0.0347,0.1843,0.2052,0.4066,0.5116,185,Nuestra Señora del Pilar
13,28,005,02,004,1347,0.5108,0.4892,43.3563,0.1633,0.6177,0.219,0.2673,0.3215,0.0621,0.0515,0.1411,0.181,0.4215,0.5146,185,Nuestra Señora del Pilar
13,28,005,02,005,1344,0.4859,0.5141,43.1429,0.1577,0.6161,0.2262,0.2768,0.3289,0.0477,0.0371,0.1352,0.2222,0.4081,0.5247,185,Nuestra Señora del Pilar
13,28,005,02,006,1800,0.5006,0.4994,41.6178,0.1633,0.6478,0.1889,0.2217,0.2594,0.0365,0.0266,0.1375,0.188,0.4389,0.5405,185,Nuestra Señora del Pilar
13,28,005,02,007,1834,0.5185,0.4815,41.0365,0.1739,0.6385,0.1876,0.2279,0.2797,0.0462,0.0389,0.132,0.2348,0.4238,0.5538,185,Nuestra Señora del Pilar
13,28,005,02,008,3307,0.5041,0.4959,35.6544,0.2017,0.7406,0.0578,0.1464,0.1956,0.0663,0.0538,0.3894,0.1326,0.6367,0.7341,217,Puerta de Madrid
NA,NA,005,02,009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,Puerta de Madrid
13,28,005,02,010,2208,0.5109,0.4891,41.7717,0.1576,0.6413,0.2011,0.2341,0.2966,0.0527,0.0398,0.1344,0.2198,0.4161,0.5333,217,Puerta de Madrid
13,28,005,02,011,1374,0.4985,0.5015,39.5895,0.2001,0.6186,0.1812,0.19,0.2169,0.0255,0.0164,0.0719,0.407,0.3076,0.5187,217,Puerta de Madrid
13,28,005,02,012,1241,0.498,0.502,41.801,0.1773,0.618,0.2047,0.1998,0.2248,0.0362,0.0313,0.1283,0.3493,0.3193,0.4907,217,Puerta de Madrid
13,28,005,02,013,773,0.5058,0.4942,44.7568,0.1397,0.6028,0.2574,0.1371,0.1527,0.0391,0.0301,0.1008,0.3311,0.3038,0.4541,217,Puerta de Madrid
13,28,005,02,014,1027,0.5122,0.4878,43.2814,0.1509,0.6446,0.2045,0.2298,0.258,0.0596,0.0528,0.2259,0.1956,0.4576,0.5688,217,Puerta de Madrid
