ano,semana,tuits_gripe
2021,36,97
2021,37,79
2021,38,112
2021,39,143
2021,40,112
2021,41,130
2021,42,254
2021,43,190
2021,44,198
2021,45,160
2021,46,206
2021,47,280
2021,48,312
2021,49,220
2021,50,262
2021,51,300
2021,52,780
2022,1,380
2022,2,508
2022,3,382
2022,4,218
2022,5,144
2022,6,96
2022,7,854
2022,8,56
2022,9,72
2022,10,96
2022,11,78
2022,12,134
2022,13,154
2022,14,106
2022,15,122
2022,16,94
2022,17,104
2022,18,122
2022,19,84
2022,20,118
2022,21,122
2022,22,52
2022,23,64
2022,24,46
2022,25,76
2022,26,70
2022,27,80
2022,28,94
2022,29,54
2022,30,60
2022,31,62
2022,32,34
2022,33,34
2022,34,60
2022,35,76
2022,36,86
2022,37,64
2022,38,98
2022,39,126
2022,40,112
2022,41,176
2022,42,180
2022,43,270
2022,44,218
2022,45,192
2022,46,200
2022,47,200
2022,48,224
2022,49,196
2022,50,182
2022,51,266
2022,52,204
2023,1,24
2023,2,138
2023,3,132
2023,4,102
2023,5,124
