id_var,name_var,role,Dimension,Component,Unit of measurement,Definition,Source
rank_score_spi,Spi rank,aux,NA,NA,NA,NA,NA
country,Country,aux,NA,NA,NA,NA,NA
spicountrycode,Spi country code,aux,NA,NA,NA,NA,NA
spiyear,Spi year,aux,NA,NA,NA,NA,NA
status,Status,aux,NA,NA,NA,NA,NA
score_spi,Social progress index,SPI,NA,NA,NA,NA,NA
score_bhn,Basic human needs,Dimension,NA,NA,NA,NA,NA
score_fow,Foundations of wellbeing,Dimension,NA,NA,NA,NA,NA
score_opp,Opportunity,Dimension,NA,NA,NA,NA,NA
score_nbmc,Nutrition and basic medical care,Component,NA,NA,NA,NA,NA
score_ws,Water and sanitation,Component,NA,NA,NA,NA,NA
score_sh,Shelter,Component,NA,NA,NA,NA,NA
score_ps,Personal safety,Component,NA,NA,NA,NA,NA
score_abk,Access to basic knowledge,Component,NA,NA,NA,NA,NA
score_aic,Access to information and communications,Component,NA,NA,NA,NA,NA
score_hw,Health and wellness,Component,NA,NA,NA,NA,NA
score_eq,Environmental quality,Component,NA,NA,NA,NA,NA
score_pr,Personal rights,Component,NA,NA,NA,NA,NA
score_pfc,Personal freedom and choice,Component,NA,NA,NA,NA,NA
score_incl,Inclusiveness,Component,NA,NA,NA,NA,NA
score_aae,Access to advanced education,Component,NA,NA,NA,NA,NA
nbmc_stunting,Child stunting,Indicator,Basic Human Needs,Nutrition and Basic Medical Care,(0=low risk; 100=high risk),Risk-weighted prevalence of stunting in children under 5 as measured by the summary exposure value (SEV) for child stunting.,Institute for Health Metrics and Evaluation
nbmc_infectiousdaly,Infectious diseases,Indicator,Basic Human Needs,Nutrition and Basic Medical Care,"(DALYs/100,000)","Age-standardized Disability-Adjusted Life Years (DALYs) rate caused by HIV/AIDS, tuberculosis, diarrhea, intestinal infections, respiratory infections, otitis media, meningitis, encephalitis, diptheria, whooping cough, tetanus, measles, varicella, herpes zoster, malaria, Chagas disease, leishmaniasis, typanosomiasis, schistosomiasis, cysticercosis, cycstic echinococcosis, lymphatic filariasis, onchocerciasis, trachoma, dengue, yellow feber, rabies, intestinal nematode infections, food-borne trematodiases, leprosy, ebola, zika virus, guinea worm disease, sexually transmitted diseases (excluding HIV), hepatitis, and other infectious diseases per 100,000 people.",Institute for Health Metrics and Evaluation
