FK_Periodo,Anyo,Valor,cod_pais
22,2022,101.48,126
21,2022,109.3,126
20,2022,122.01,126
19,2022,97.01,126
22,2021,98.5,126
21,2021,101.14,126
20,2021,112.93,126
19,2021,94.18,126
22,2020,94.73,126
21,2020,114.79,126
20,2020,122.355,126
19,2020,96.69,126
22,2019,111.85,126
21,2019,102.04,126
20,2019,119.27,126
19,2019,98.4,126
22,2018,104.99,126
21,2018,103.13,126
20,2018,107.56,126
19,2018,107.61,126
22,2022,119.11,124
21,2022,110.755,124
20,2022,191.4,124
19,2022,170.33,124
22,2021,168.26,124
21,2021,150.51,124
20,2021,177.1,124
19,2021,148.15,124
22,2020,152.76,124
21,2020,153.52,124
20,2020,122.355,124
19,2020,137.83,124
22,2019,163.9,124
21,2019,150.19,124
20,2019,153.8,124
19,2019,141.77,124
22,2018,151.49,124
21,2018,132.72,124
20,2018,144.86,124
19,2018,135.25,124
22,2022,108.59,102
21,2022,106.54,102
20,2022,129.19,102
19,2022,96.27,102
22,2021,98.48,102
21,2021,94.63,102
20,2021,106.62,102
19,2021,92.99,102
22,2020,89.02,102
21,2020,110.75,102
20,2020,122.355,102
19,2020,87.46,102
22,2019,106.92,102
21,2019,92.57,102
20,2019,115.66,102
19,2019,88.21,102
22,2018,99.46,102
21,2018,91.38,102
20,2018,103.56,102
19,2018,101.85,102
22,2022,104.6,103
21,2022,107.92,103
20,2022,121.81,103
19,2022,95.69,103
22,2021,99.23,103
21,2021,94.44,103
20,2021,110.48,103
19,2021,93.49,103
22,2020,93.29,103
21,2020,109.58,103
20,2020,122.355,103
19,2020,84.75,103
22,2019,101.34,103
21,2019,85.46,103
20,2019,96.44,103
19,2019,78.69,103
22,2018,83.39,103
21,2018,80.16,103
20,2018,84.33,103
19,2018,76.11,103
22,2022,99.59,107
21,2022,102.03,107
20,2022,118.92,107
19,2022,94.97,107
22,2021,98.46,107
21,2021,87.34,107
20,2021,93.85,107
19,2021,83.06,107
22,2020,70.71,107
21,2020,86.75,107
20,2020,122.355,107
19,2020,81.79,107
22,2019,98.13,107
21,2019,78.39,107
20,2019,91.99,107
19,2019,77.21,107
22,2018,78.86,107
21,2018,70.21,107
20,2018,74.43,107
