mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,gasto
2019-07,000,Total,28002,Ajalvir,338,002,86.78
2019-07,010,Total Europa,28002,Ajalvir,290,002,86.78
2019-07,011,Total Unión Europea,28002,Ajalvir,268,002,86.78
2019-07,030,Total América,28002,Ajalvir,37,002,86.78
2019-07,110,Francia,28002,Ajalvir,56,002,76.36
2019-07,121,Países Bajos,28002,Ajalvir,54,002,78.92
2019-07,123,Portugal,28002,Ajalvir,37,002,93.65
2019-07,126,Alemania,28002,Ajalvir,40,002,102.04
2019-07,000,Total,28004,"Álamo, El",157,004,86.78
2019-07,010,Total Europa,28004,"Álamo, El",116,004,86.78
2019-07,011,Total Unión Europea,28004,"Álamo, El",109,004,86.78
2019-07,000,Total,28005,Alcalá de Henares,8461,005,86.78
2019-07,010,Total Europa,28005,Alcalá de Henares,6776,005,86.78
2019-07,011,Total Unión Europea,28005,Alcalá de Henares,5865,005,86.78
2019-07,020,Total África,28005,Alcalá de Henares,199,005,86.78
2019-07,030,Total América,28005,Alcalá de Henares,1074,005,86.78
2019-07,031,Total América del Norte,28005,Alcalá de Henares,760,005,86.78
2019-07,033,Total Sudamérica,28005,Alcalá de Henares,258,005,86.78
2019-07,040,Total Asia,28005,Alcalá de Henares,409,005,86.78
2019-07,102,Austria,28005,Alcalá de Henares,567,005,92.57
2019-07,103,Bélgica,28005,Alcalá de Henares,165,005,85.46
2019-07,104,Bulgaria,28005,Alcalá de Henares,104,005,86.78
2019-07,107,Dinamarca,28005,Alcalá de Henares,92,005,78.39
2019-07,110,Francia,28005,Alcalá de Henares,962,005,76.36
2019-07,112,Hungria,28005,Alcalá de Henares,92,005,86.78
2019-07,113,Irlanda,28005,Alcalá de Henares,176,005,88.95
2019-07,115,Italia,28005,Alcalá de Henares,380,005,88.99
2019-07,117,Luxemburgo,28005,Alcalá de Henares,170,005,86.78
2019-07,121,Países Bajos,28005,Alcalá de Henares,605,005,78.92
2019-07,122,Polonia,28005,Alcalá de Henares,284,005,60.79
2019-07,123,Portugal,28005,Alcalá de Henares,405,005,93.65
2019-07,125,Reino Unido,28005,Alcalá de Henares,611,005,123.22
2019-07,126,Alemania,28005,Alcalá de Henares,873,005,102.04
2019-07,128,Rumania,28005,Alcalá de Henares,362,005,109.21
2019-07,131,Suecia,28005,Alcalá de Henares,500,005,72.9
2019-07,132,Suiza,28005,Alcalá de Henares,101,005,183.3
2019-07,135,Ucrania,28005,Alcalá de Henares,115,005,86.78
2019-07,142,Lituania,28005,Alcalá de Henares,57,005,86.78
2019-07,154,Rusia,28005,Alcalá de Henares,32,005,94.32
2019-07,220,Guinea ecuatorial,28005,Alcalá de Henares,78,005,86.78
2019-07,228,Marruecos,28005,Alcalá de Henares,63,005,86.78
2019-07,234,Nigeria,28005,Alcalá de Henares,45,005,86.78
2019-07,302,EE.UU.,28005,Alcalá de Henares,624,005,119.05
2019-07,340,Argentina,28005,Alcalá de Henares,47,005,86.91
2019-07,342,Brasil,28005,Alcalá de Henares,50,005,117.09
2019-07,343,Colombia,28005,Alcalá de Henares,70,005,162.67
2019-07,348,Peru,28005,Alcalá de Henares,31,005,86.78
2019-07,407,China,28005,Alcalá de Henares,187,005,359.08
2019-07,430,Republica de corea - corea del sur,28005,Alcalá de Henares,181,005,116.04
2019-07,000,Total,28006,Alcobendas,7022,006,86.78
2019-07,010,Total Europa,28006,Alcobendas,5151,006,86.78
2019-07,011,Total Unión Europea,28006,Alcobendas,4287,006,86.78
2019-07,020,Total África,28006,Alcobendas,167,006,86.78
2019-07,030,Total América,28006,Alcobendas,1192,006,86.78
2019-07,031,Total América del Norte,28006,Alcobendas,723,006,86.78
2019-07,033,Total Sudamérica,28006,Alcobendas,458,006,86.78
2019-07,040,Total Asia,28006,Alcobendas,495,006,86.78
2019-07,102,Austria,28006,Alcobendas,416,006,92.57
2019-07,103,Bélgica,28006,Alcobendas,173,006,85.46
2019-07,107,Dinamarca,28006,Alcobendas,79,006,78.39
2019-07,110,Francia,28006,Alcobendas,957,006,76.36
2019-07,113,Irlanda,28006,Alcobendas,113,006,88.95
2019-07,115,Italia,28006,Alcobendas,215,006,88.99
2019-07,117,Luxemburgo,28006,Alcobendas,81,006,86.78
2019-07,121,Países Bajos,28006,Alcobendas,1076,006,78.92
2019-07,122,Polonia,28006,Alcobendas,68,006,60.79
2019-07,123,Portugal,28006,Alcobendas,355,006,93.65
2019-07,125,Reino Unido,28006,Alcobendas,658,006,123.22
