mes,pais_orig,mun_dest,turistas
2021-08,Austria,Alcalá de Henares,257
2021-08,Bélgica,Alcalá de Henares,170
2021-08,Bulgaria,Alcalá de Henares,34
2021-08,Dinamarca,Alcalá de Henares,112
2021-08,Francia,Alcalá de Henares,1535
2021-08,Hungria,Alcalá de Henares,42
2021-08,Irlanda,Alcalá de Henares,110
2021-08,Italia,Alcalá de Henares,310
2021-08,Luxemburgo,Alcalá de Henares,147
2021-08,Países Bajos,Alcalá de Henares,767
2021-08,Polonia,Alcalá de Henares,218
2021-08,Portugal,Alcalá de Henares,180
2021-08,Reino Unido,Alcalá de Henares,312
2021-08,Alemania,Alcalá de Henares,770
2021-08,Rumania,Alcalá de Henares,239
2021-08,Suecia,Alcalá de Henares,448
2021-08,Suiza,Alcalá de Henares,54
2021-08,Ucrania,Alcalá de Henares,43
2021-08,Lituania,Alcalá de Henares,74
2021-08,República Checa,Alcalá de Henares,47
2021-08,Nigeria,Alcalá de Henares,36
2021-08,EE.UU.,Alcalá de Henares,247
2021-08,Colombia,Alcalá de Henares,60
2021-08,China,Alcalá de Henares,70
