Id_Estacion,COD_DISTRITO,DISTRITO,COD_BARRIO,BARRIO,DIRECCION,EMPLAZAMIENTO,INFO_ADICICIONAL,Nº_EQUIPO,OPERADOR,Lat,Long,kW,Concetor_CCS_Chademo,Concetor_Mennekes
0,2,Arganzuela,1,Imperial,Calle Chulapos s/n,Vía pública,,1,REPSOL,40.407409810770275,-3.7201630666934395,50,2,1
1,2,Arganzuela,6,Palos de Moguer,Ronda de Valencia 1,Vía pública,,1,GIC,40.40564288901374,-3.6997502642824505,50,2,1
2,3,Retiro,2,Adelfas,Calle Cerro de la Plata 4,Vía pública,,1,GIC,40.39990397766375,-3.675211297712784,50,2,1
3,3,Retiro,5,Jerónimos,Calle Alfonso XII. 2,Vía pública,,1,REPSOL,40.419280788112985,-3.688934805301999,50,2,1
4,4,Salamanca,1,Recoletos,Calle Goya 36,Vía pública,,1,GIC,40.424901562698686,-3.681052554532919,50,2,1
5,4,Salamanca,2,Goya,Calle Goya 123,Vía pública,,1,REPSOL,40.42466538349725,-3.6711559751712204,50,2,1
6,4,Salamanca,6,Castellana,Calle Castelló 105,Vía pública,,1,GIC,40.43500162609077,-3.680755002268597,50,2,1
7,4,Salamanca,4,Guindalera,Plaza de San Cayetano. s/n,Aparcamiento,Mercado Municipal,1,ENDESA,40.43390307185561,-3.670704771139086,50,2,1
8,10,Latina,6,Cuatro Vientos,Calle Sinfonia. 9 (ES Ballenoil Aviación),Estación de servicio,,1,DRIVE THE CITY,40.37422456687519,-3.776766471915277,50,2,1
9,5,Chamartín,4,Hispanoamérica,Avenida Alfonso XIII. esquina. Costa Rica,Estación de servicio,Aparcamiento público rotación. EMT,1,REPSOL,40.45885222080372,-3.6676762436749373,50,2,1
10,4,Salamanca,6,Castellana,Calle Velázquez 74,Vía pública,,1,REPSOL,40.42931466987669,-3.683596255100391,50,2,1
11,4,Salamanca,6,Castellana,Paseo Castellana 52,Vía pública,,1,REPSOL,40.43552254335681,-3.687965862510226,50,2,1
12,5,Chamartín,1,El Viso,Paseo Castellana 106,Vía pública,,1,REPSOL,40.4454323799613,-3.69077326942928,50,2,1
13,5,Chamartín,6,Castilla,Calle Cardenal Marcelo Spínola 6,Vía pública,,1,GIC,40.46730713737772,-3.669951626537506,50,2,1
14,7,Chamberí,2,Arapiles,Calle Fernández de los Ríos 42,Vía pública,,1,REPSOL,40.43518936227655,-3.709214852302541,50,2,1
15,7,Chamberí,2,Arapiles,Plaza del Conde de Valle de Suchil,Vía pública,,1,REPSOL,40.43048221906002,-3.706909152805398,50,2,1
16,7,Chamberí,3,Trafalgar,Calle Manuel Silvela 16,Vía pública,,1,GIC,40.43050027130022,-3.699185308591792,50,2,1
17,5,Chamartín,5,Nueva España,Avenida Alberto Alcocer. 11,Aparcamiento,Aparcamiento privado rotación,1,ENDESA,40.45905152193189,-3.686497649184263,50,2,1
18,7,Chamberí,3,Trafalgar,Calle Santa Engracia 115,Vía pública,,1,GIC,40.43804847905102,-3.7002862229780686,50,2,1
19,7,Chamberí,4,Almagro,Paseo Castellana 33,Vía pública,,1,GIC,40.43195780484819,-3.689138793155043,50,2,1
20,8,Fuencarral - El Pardo,5,La Paz,Calle de Sinesio Delgado 2,Vía pública,,1,GIC,40.47440524568015,-3.6879661828152654,50,2,1
21,15,Ciudad Lineal,6,San Juan Bautista,Calle Bueso Pineda 29,Vía pública,,1,GIC,40.45407980919676,-3.655347846644277,50,2,1
22,1,Centro,1,Palacio,Plaza de la Cebada,Aparcamiento,Aparcamiento privado rotación. Iniciativa privada,1,DRIVE THE CITY,40.4107561924062,-3.7101177821161824,50,2,0
23,5,Chamartín,5,Nueva España,Calle Mateo Inurria. 4,Estación de servicio,,1,REPSOL,40.46644468916498,-3.6865512150293993,50,2,1
24,6,Tetuán,6,Berruguete,Calle Ofelia Nieto. 64,Estación de servicio,,1,REPSOL,40.46146029989998,-3.708613303548499,50,2,1
25,8,Fuencarral - El Pardo,6,Valverde,Calle del Abetal 8,Estación de servicio,,2,REPSOL,40.501968140844184,-3.6632084939975584,50,2,1
26,9,Moncloa - Aravaca,3,Ciudad Universitaria,CRED HIpodromoCR A-6  P.K. 8.00 D (avda Padre Huidobro sn),Estación de servicio,,1,REPSOL,40.460928809828715,-3.7580649831380746,50,2,1
27,9,Moncloa - Aravaca,6,El Plantío,A6 - Avenida Victoria 34 (Cred el Plantio),Estación de servicio,,1,REPSOL,40.46887298083183,-3.82007543432681,50,2,1
28,10,Latina,6,Cuatro Vientos,Cred A5 PK 9,Estación de servicio,,1,REPSOL,40.37937059233547,-3.7905200471989944,50,2,1
29,10,Latina,6,Cuatro Vientos,Avenida de la Peseta 6,Estación de servicio,,1,REPSOL,40.36845567346054,-3.765636319865769,50,2,1
30,10,Latina,7,Águilas,Calle de José de Cadalso 51,Aparcamiento,Mercado Municipal,1,DRIVE THE CITY,40.377818357266506,-3.7685174624941573,50,2,1
31,13,Puente de Vallecas,4,Palomeras Sureste,Avenida de la Albufera 319,Aparcamiento,Aparcamiento privado rotación,2,ECOLINERAS,40.38389079800475,-3.6320611385999997,50,2,1
32,16,Hortaleza,6,Valdefuentes,Avenida María de Portugal 15,Estación de servicio,,1,IBERDROLA,40.497684220511395,-3.662642336670282,50,2,1
33,17,Villaverde,3,Butarque,Avda. de los Rosales 147 M-301 km 4.1,Estación de servicio,,1,REPSOL,40.33981145898198,-3.66879897894286,50,2,1
34,18,Villa de Vallecas,3,Ensanche de Vallecas,Avenida Real de Arganda 74,Estación de servicio,,1,REPSOL,40.376053523348496,-3.6043840726936565,50,2,1
35,20,San Blas - Canillejas,6,Rejas,Barajas II A2 Km 12.6,Estación de servicio,,1,REPSOL,40.44902462696648,-3.566437741816074,50,2,1
36,1,Centro,6,Sol,Plaza de Jacinto Benavente 6,Aparcamiento,Aparcamiento público rotación. EMT,1,EMT,40.41462143438067,-3.703175100546664,50,2,1
