desc_var,nombre_var,grupo,n
bakery,bakery,comercio,627
bar,bar,hosteleria,2044
butcher,butcher,comercio,289
cafe,cafe,hosteleria,1577
car_dealership,car_dealership,comercio,261
clothes,clothes,comercio,1435
convenience,convenience,comercio,1200
fast_food,fast_food,hosteleria,1049
food_court,food_court,hosteleria,24
furniture_shop,furniture_shop,comercio,286
gift_shop,gift_shop,comercio,129
greengrocer,greengrocer,comercio,548
guesthouse,guesthouse,turismo,285
hairdresser,hairdresser,comercio,1366
hotel,hotel,turismo,340
pub,pub,hosteleria,1201
restaurant,restaurant,hosteleria,5772
stationery,stationery,comercio,190
vending_any,vending_any,comercio,55
bicycle_rental,bicycle_rental,comercio,235
hostel,hostel,turismo,90
supermarket,supermarket,comercio,1135
beauty_shop,beauty_shop,comercio,358
beverages,beverages,comercio,62
bicycle_shop,bicycle_shop,comercio,146
bookshop,bookshop,comercio,252
chemist,chemist,comercio,60
computer_shop,computer_shop,comercio,131
doityourself,doityourself,comercio,354
florist,florist,comercio,179
jeweller,jeweller,comercio,200
kiosk,kiosk,comercio,255
mall,mall,comercio,19
mobile_phone_shop,mobile_phone_shop,comercio,213
optician,optician,comercio,339
shoe_shop,shoe_shop,comercio,411
toy_shop,toy_shop,comercio,116
travel_agent,travel_agent,comercio,180
car_rental,car_rental,comercio,56
car_wash,car_wash,comercio,89
outdoor_shop,outdoor_shop,comercio,27
sports_shop,sports_shop,comercio,111
caravan_site,caravan_site,turismo,4
biergarten,biergarten,hosteleria,28
garden_centre,garden_centre,comercio,30
laundry,laundry,comercio,197
department_store,department_store,comercio,32
newsagent,newsagent,comercio,62
vending_parking,vending_parking,comercio,608
chalet,chalet,turismo,19
shelter,shelter,turismo,54
motel,motel,turismo,11
camp_site,camp_site,turismo,4
general,general,comercio,12
alpine_hut,alpine_hut,turismo,1
video_shop,video_shop,comercio,9
vending_machine,vending_machine,comercio,12
car_sharing,car_sharing,comercio,1
