cmun,cdis,consultorios_de_salud,helisuperficies,centros_de_atencion_a_drogodependientes,centros_de_salud,estaciones_de_cercanias,hospitales,otros_centros_de_salud,centros_de_salud_mental,centros_de_especialidades,bocas_de_metro,intercambiadores,aeropuertos,ayuntamientos_consejerias_ministerios_etc,sanidad_y_servicios_sociales,actividades_administrativas,actividades_asociativas_y_hogares,actividades_profesionales,administraciones_publicas,alimentacion,centros_educativos_no_universitarios_centros_publicos,comercio_mayorista,comercio_minorista,construccion,educacion,hosteleria,industria_quimica_y_refino,informacion_y_comunicaciones,maquinaria_industrial,material_de_transporte,material_electrico_y_electronico,mercadillos,metalicas_basicas_e_intermedias,mineria_y_suministros,otras_manufactureras,otros_servicios_bancos,papel_y_graficas,servicios_financieros,servicios_personales,servicios_recreativos,textil_confeccion_y_calzado,transporte_y_almacenamiento,actividades_inmobiliarias,centros_educativos_no_universitarios_centros_privados,industria_no_metalica,administracion_de_justicia,agencia_tributaria,campus_universitarios,centros_educativos_universitarios,colegios_mayores,galerias_de_alimentacion,grandes_superficies_especializadas,hipermercados,mercados_de_abastos,agricultura_y_ganaderia,centros_educativos_no_universitarios_servicios_educativos,seguridad_social,centros_comerciales,oficinas_de_empleo,embajadas_y_consulados,nsec,t3_1,t1_1,t2_1,t2_2,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,X,Y,densidad_hab_km,area_km2,bakery,bar,butcher,cafe,car_dealership,clothes,convenience,fast_food,food_court,furniture_shop,gift_shop,greengrocer,guesthouse,hairdresser,hotel,pub,restaurant,stationery,vending_any,bicycle_rental,hostel,supermarket,beauty_shop,beverages,bicycle_shop,bookshop,chemist,computer_shop,doityourself,florist,jeweller,kiosk,mall,mobile_phone_shop,optician,shoe_shop,toy_shop,travel_agent,car_rental,car_wash,outdoor_shop,sports_shop,caravan_site,biergarten,garden_centre,laundry,department_store,newsagent,vending_parking,chalet,shelter,motel,camp_site,general,alpine_hut,video_shop,vending_machine,car_sharing,tmed,prec,velmedia,presMax
001,01,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.635709675748884,41.09314744936873,2.5140017143340536,21.87747115938989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.476004337096574,3.6992270471268767,2.0902488571232865,904.2718610267416
002,01,1,0,0,0,0,0,0,0,0,0,0,0,1,8,13,2,11,2,2,3,34,22,22,4,2,3,1,6,4,3,1,25,1,14,3,14,3,3,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39.40747137492176,4793,0.4777851450031295,0.5222148549968705,0.16962893803463383,0.7218957646567912,0.108475297308575,0.15562991863133738,0.1959363446693094,0.4131831420822032,0.4099532234508658,0.44079899853953686,0.10715222199040268,0.6008132484873775,0.6730931775505946,-3.480170836365695,40.52396052951404,242.6022239811234,19.756620204656237,2,2,1,5,1,1,2,1,2,2,1,1,1,2,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.318060544941895,0.8713862541806849,3.3520715777003067,946.6977000876756
003,01,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.459700000000005,248,0.3952000000000001,0.6048,0.1371,0.6573,0.2056,0.1129,0.1411,0.1542,0.1449,0.528,0.0932,0.5,0.5514,-3.849960706328531,40.920328476831855,9.64711682189576,25.70716252104693,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.009348888291226,2.038794158851002,2.986153474746487,880.7764027986841
004,01,1,0,0,0,0,0,0,0,0,0,0,0,1,10,2,2,3,2,0,4,3,10,16,6,12,0,0,0,0,0,1,1,0,2,2,0,4,5,4,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41.46662452242107,9946,0.5015108686909311,0.498489131309069,0.1810683591393525,0.6420632716670018,0.17684664186607682,0.15474241906293987,0.1912543032374824,0.1573245123667806,0.15046839935652523,0.2942033581339232,0.16675871707218984,0.4777910315704806,0.5729138548160064,-3.989258520908965,40.23239855077072,451.6184465831886,22.023015391086194,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.138391826257994,1.054885121321992,2.919731021263015,931.9199235135528
005,01,0,0,1,2,1,1,1,0,0,0,0,0,1,42,36,14,56,5,4,8,10,100,38,56,131,0,9,1,0,0,1,3,3,1,23,3,46,34,22,1,11,21,9,0,5,1,7,12,2,3,1,1,1,0,0,0,0,0,0,23,45.998771173321295,31006,0.5298302554344321,0.4701697445655679,0.11419778429981292,0.6427127072179578,0.24307467264400437,0.1964784944849384,0.2400069244662323,0.07438074888731212,0.06545226730310262,0.3850912533058118,0.14129129200799845,0.4565679320131587,0.5316056859962588,-3.364637891486297,40.482675740367334,17549.383203001285,1.7667857406348828,4,22,2,12,1,13,4,8,0,3,2,1,0,16,3,24,53,1,0,0,0,6,3,1,3,7,1,3,2,2,2,1,1,2,4,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.274387206027871,0.8788329568550476,3.3317375355443724,945.8412095612674
005,02,0,0,0,3,0,0,0,1,0,0,0,0,0,28,26,4,13,2,7,21,28,84,58,31,33,5,5,5,2,3,1,11,4,8,6,4,16,12,10,1,36,6,6,0,0,0,0,0,0,2,2,0,0,1,3,2,0,0,0,36,42.751309260115825,54049,0.5115034912764344,0.4884965087235657,0.14681027771096597,0.6644351440359674,0.18876027678587948,0.182724953283132,0.2147110510832763,0.05696805306296138,0.0459807545005458,0.22351837221780235,0.1897535310551537,0.458855771614646,0.5641214305537567,-3.3923886480611913,40.4654579668107,3311.6372011495505,16.32093031846552,5,10,2,6,1,1,2,1,0,0,0,1,0,4,0,4,5,3,0,0,2,6,0,0,1,0,0,3,2,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.31155971297073,0.8511378304090247,3.3729230583927885,946.8913867432992
005,03,0,0,0,2,1,0,0,0,0,0,0,0,0,12,58,5,28,0,12,14,90,80,87,32,50,14,17,10,1,4,1,28,4,18,4,19,14,11,16,5,58,6,7,3,0,0,0,0,0,1,1,1,0,1,2,0,2,0,0,16,41.42790214461002,28117,0.5083306078173347,0.49166939218266525,0.16985808941209946,0.6688122701568445,0.1613348899242451,0.17795308532204715,0.2021170537397304,0.06638435821744852,0.05531371412312835,0.34539506348472454,0.14233095991748765,0.5266065334139489,0.6100338798591599,-3.407420873356339,40.505779599246765,994.76266648948,28.26503340663654,1,2,0,1,3,0,2,2,0,0,0,0,0,0,3,2,18,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.308238774205078,0.8332135993915293,3.4092635630159274,947.3073120708352
005,04,0,0,0,1,1,1,0,1,1,0,0,0,0,35,13,2,16,6,1,10,6,34,34,36,48,3,7,2,0,1,0,2,2,3,9,2,13,14,4,0,15,5,10,0,0,0,2,5,3,0,0,1,0,0,0,0,1,1,0,18,36.86568998916912,38778,0.5056366290164526,0.4943633709835474,0.21296218990149052,0.7023029939656507,0.08472624941977411,0.06114384960544639,0.09188230182061992,0.088169425963175,0.0743644437567693,0.47321378100985095,0.09724364330290372,0.6201590231574604,0.686019807622879,-3.3535761176202783,40.51395863656071,2564.4256641209654,15.121514552964175,2,3,1,3,0,1,2,5,1,1,0,0,0,4,0,2,10,1,0,0,0,3,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.219233387075173,0.9105703355790736,3.2927811732699013,944.5138108664316
005,05,0,0,0,2,0,0,0,0,0,0,0,0,0,33,23,7,33,2,4,15,23,159,38,39,57,3,3,0,1,1,0,6,1,2,8,2,18,15,20,1,15,7,11,0,0,0,0,0,0,1,7,1,0,0,0,0,4,0,0,32,45.96146692572214,43620,0.5196189912883998,0.48038100871160017,0.12073936038514442,0.6332725974323704,0.2459880788629069,0.17692389270976616,0.20552079321412195,0.0635397890875745,0.05499608207244383,0.3239683356258597,0.1590280628152224,0.4377263021549748,0.5203103278312701,-3.327083456770819,40.49086422793466,1619.04774692948,26.941762577864193,7,11,2,19,3,28,13,11,0,8,1,8,0,21,1,31,22,2,2,0,0,10,10,0,2,3,0,2,3,2,3,0,0,7,6,7,4,1,1,2,0,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,15.193719870523486,0.9389478800948065,3.243589560717911,943.4553455279986
006,01,0,0,1,5,2,0,0,1,1,9,0,0,2,104,205,109,296,12,27,29,399,369,168,122,259,17,189,7,9,19,1,8,14,33,56,18,158,92,69,6,78,79,58,5,4,1,1,3,0,2,4,3,0,8,1,2,6,1,3,67,40.89541231960306,116895,0.5220080465374909,0.4779919534625091,0.17339794345352666,0.6579805252577099,0.16861497925488686,0.14532845630694213,0.2271027084135335,0.06842997048633388,0.0576246571709654,0.4468359707429745,0.1029949535908294,0.524372076649985,0.5837953342743488,-3.6301152964680927,40.53457711865611,2582.0698712585618,45.27181905539319,4,7,0,12,5,0,8,10,0,2,0,2,0,7,3,7,73,0,0,0,0,8,6,0,4,3,1,0,3,1,0,0,0,1,2,3,3,1,1,1,0,1,0,0,1,4,1,2,2,0,0,0,0,0,0,0,0,0,15.152173361292997,1.035601319824495,2.9195957044174823,939.0855945524185
