id_inf,grupo,tipo,nombre,CODMUN,DIRECCION,info,CMUN,CDIS,dist_aeropuerto,dist_intercambiador,dist_cercanias,dist_hospital,dist_universidad,dist_gob,dist_embajada,dist_ccomercial,X,Y
1,Transporte,Intercambiadores,Grandes Intercambiadores Plaza Elíptica,079,Plaza Elíptica s/n,NA,079,12,5.203142962718012,0,1.6489731480392775,1.81541559769853,1.299607546702389,0.6177235259923947,0.39213237945747387,0.7311570634248076,-3.716576654887855,40.385397612809335
2,Transporte,Intercambiadores,Grandes Intercambiadores Moncloa,079,"Calle Princesa, 89",NA,079,09,8.550747508436913,0,1.4686381834839422,0.422111511015035,0.3046078149611093,0.6263847417950207,1.457396944723386,1.610567358498805,-3.719508144448025,40.43473593646976
3,Transporte,Intercambiadores,Grandes Intercambiadores Príncipe Pío,079,Estación Príncipe Pío,NA,079,09,7.300246304689495,0,0.08833869167372739,1.3855766526910465,0.9207614543706436,1.170051157042365,5.6245597470393225,0.9060857280715154,-3.7195600209310817,40.420798658770714
4,Transporte,Intercambiadores,Grandes Intercambiadores Plaza de Castilla,079,Calle San Aquilino y Avenida de Asturias,NA,079,05,9.933906895737367,0,0.736877402591509,1.0733483507126298,0.08835165479975743,0.14904962317556888,0.08316772724891704,0.7758343987773187,-3.689044036845213,40.467192269571
5,Transporte,Intercambiadores,Grandes Intercambiadores Avenida de América,079,Avenida de América 9 A,NA,079,05,9.198897271660837,0,1.623101483408429,0.3488059753652991,0.5069504454116892,1.1979177165325132,0.40303106526657145,0.951257955512787,-3.6767306918275127,40.43796723937417
6,Transporte,Intercambiadores,Grandes Intercambiadores Chamartín,079,"Calle Agustín de Foxá, s/n",NA,079,05,9.435671110220309,0,0.08164276158729723,0.9839039414388135,1.210894206667898,0.4988214701418049,0.8557129498047217,0.4162741490062837,-3.6824323140578463,40.471980347221034
7,Transporte,Intercambiadores,Grandes Intercambiadores Nuevos Ministerios,079,"Calle Raimundo Fernández Villaverde, 69",NA,079,06,10.326944905525648,0,0.05014029713907238,0.9524891841689416,0.7411458609183387,0.6247483758084534,5.886283834804495e-4,0.7225216109733575,-3.692761192363752,40.44671181098093
8,Transporte,Intercambiadores,Grandes Intercambiadores Méndez Alvaro Estación Su,079,Calle Méndez Alvaro,NA,079,02,8.613076104599998,0,0.07171558480412833,1.366542623977392,2.7779342909293216,1.8489421686763905,1.542992871892839,0.5763919384550488,-3.678503605393544,40.39537421722092
9,Transporte,Intercambiadores,Grandes Intercambiadores Puerta del Sol,079,Plaza Puerta del Sol,NA,079,01,7.987809118324632,0,0.00660125870624696,1.277304637315346,0.4626549919442387,1.0189663456196731,2.82443135832117,1.07730451081113,-3.702842096405097,40.416854219675784
10,Transporte,Intercambiadores,Grandes Intercambiadores Aluche,079,Avenida de los Poblados,NA,079,10,2.074099268570789,0,0.05169309997355447,0.4930357530087146,2.125711615402956,0.7785602775928284,2.9937867835510708,0.515072959760288,-3.760822345855248,40.38570551709863
