"CCN","CODCNH","Nombre Centro","Dirección","Teléfono","Cód. Municipio","Municipio","Cód. Provincia","Provincia","Cód. CCAA","CCAA","Código Postal","CAMAS","Cód. Clase de Centro","Clase de Centro","Cód. Dep. Funcional","Dependencia Funcional","Forma parte Complejo","CODIDCOM","Nombre del Complejo","ALTA","Email","OBJECTID","NOMBRE","DIRECCION","TELEFONO","TELEFONO2","TELEFAX","CODMU","MUNICIPIOS","CODPROV","PROVINCIAS","CODAUTO","COMUNIDADES","CODPOSTAL","CODFI","FINALIDAD_ASISITENCIAL","CODPAT","DEPENDENCIA_PATRIMONIAL","CODFU","DEPENDENCIA_FUNCIONAL","ACREDOCENT","ESCOMPLE","FORCOMPLE","CERRADO","CAPITAL","CIERREFECH","CONCIERTO","EMAIL","TAC","RM","GAM","HEM","ASD","LIT","BCO","ALI","SPECT","PET","MAMOS","DO","DIAL","X","Y","CalidadGeocodificacion","id_area","nombre_area"
"1328020932","281371","HOSPITAL HM VALLES","CALLE SANTIAGO 14","918883262","280053","Alcalá de Henares","28","MADRID","13","MADRID","28801",20,"C190","Otros Centros con Internamiento","20","PRIVADOS","N",NA,NA,"N",NA,559,"HM VALLES","C/SANTIAGO, 14",917374353,NA,912805932,"280053","Alcalá de Henares","28","MADRID","13","MADRID","28801",16,"OTRA FINALIDAD",14,"PRIVADO NO BENÉFICO",23,"PRIVADO NO BENÉFICO","S","N","N","N","N",NA,"S","fgcalleja@hmhospitales.com; imarco@hmhospitales.com",1,1,1,0,0,0,0,0,0,0,1,1,0,-3.36737238499995,40.4830208560001,"PointAddress","03","Este"
"1328000034","280745","HOSPITAL UNIVERSITARIO PRINCIPE DE ASTURIAS","CARRETERA DE MECO S/N","918878100","280053","Alcalá de Henares","28","MADRID","13","MADRID","28805",507,"C11","Hospitales Generales","2","SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS","N",NA,NA,"N",NA,516,"HOSPITAL UNIVERSITARIO PRINCIPE DE ASTURIAS","CTRA. ALCALÁ-MECO, S/N",918878100,NA,918801825,"280053","Alcalá de Henares","28","MADRID","13","MADRID","28805",1,"GENERAL",1,"SEGURIDAD SOCIAL",34,"SERVICIO MADRILEÑO DE SALUD","S","N","N","N","N",NA,"N","gerent.hupa@salud.madrid.org",3,2,1,1,1,0,0,0,0,0,2,1,28,-3.34760208199998,40.51024934,"Manual","03","Este"
"1328000070","281124","HOSPITAL QUIRONSALUD SUR","CALLE DE ESTAMBUL 30","917810682","280072","Alcorcón","28","MADRID","13","MADRID","28922",81,"C11","Hospitales Generales","20","PRIVADOS","N",NA,NA,"N",NA,536,"HOSPITAL QUIRONSALUD SUR","ESTAMBUL, 30",916496600,NA,916496604,"280072","Alcorcón","28","MADRID","13","MADRID","28922",12,"MÉDICO-QUIRÚRGICO",14,"PRIVADO NO BENÉFICO",23,"PRIVADO NO BENÉFICO","N","N","N","N","N",NA,"S","monte.rodriguez@quironsalud.es",1,2,0,1,1,0,0,0,0,0,1,1,0,-3.84903466199995,40.342483708,"StreetAddress","08","Sur-Oeste I"
"1328000066","281071","HOSPITAL UNIVERSITARIO FUNDACION ALCORCON","CALLE BUDAPEST 1","916219400","280072","Alcorcón","28","MADRID","13","MADRID","28922",402,"C11","Hospitales Generales","2","SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS","N",NA,NA,"N","FHALCORCON@FHALCORCON.ES",532,"HOSPITAL UNIVERSITARIO FUNDACION ALCORCON","BUDAPEST, 1",916219400,NA,916219902,"280072","Alcorcón","28","MADRID","13","MADRID","28922",1,"GENERAL",1,"SEGURIDAD SOCIAL",34,"SERVICIO MADRILEÑO DE SALUD","S","N","N","N","N",NA,"N","direcciongerencia@fhalcorcon.es",2,2,1,1,1,1,0,0,0,0,2,1,28,-3.83739388799995,40.3488682720001,"Manual","08","Sur-Oeste I"
"1328000084","281292","HOSPITAL DEL TAJO S.A.","AVENIDA AMAZONAS CENTRAL S/N","918014100","280133","Aranjuez","28","MADRID","13","MADRID","28300",98,"C11","Hospitales Generales","2","SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS","N",NA,NA,"N",NA,551,"HOSPITAL UNIVERSITARIO DEL TAJO","AVDA. AMAZONAS CENTRAL, S/N",918014101,NA,918014302,"280133","Aranjuez","28","MADRID","13","MADRID","28300",1,"GENERAL",6,"COMUNIDAD AUTÓNOMA",34,"SERVICIO MADRILEÑO DE SALUD","N","N","N","N","N",NA,"N","gerencia.htaj@salud.madrid.org",1,1,0,0,1,0,0,0,0,0,1,0,13,-3.61079500499994,40.0572571380001,"Manual","11","Sur Ii"
"1328000085","281281","HOSPITAL UNIVERSITARIO DEL SURESTE - EMPRESA PUBLICA HOSPTIAL DEL SURESTE","RONDA DEL SUR 10","918394000","280148","Arganda del Rey","28","MADRID","13","MADRID","28500",132,"C11","Hospitales Generales","2","SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS","N",NA,NA,"N",NA,550,"HOSPITAL UNIVERSITARIO DEL SURESTE","RONDA DEL SUR, 10",918394454,918394000,918394278,"280148","Arganda del Rey","28","MADRID","13","MADRID","28500",1,"GENERAL",6,"COMUNIDAD AUTÓNOMA",34,"SERVICIO MADRILEÑO DE SALUD","N","N","N","N","N",NA,"N","gerencia.hses@salud.madrid.org",1,1,0,0,0,0,0,0,0,0,1,0,18,-3.45678600999997,40.2969695560001,"Manual","01","Sur-Este"
"1328000067","281090","HOSPITAL UNIVERSITARIO HM MONTEPRINCIPE","AVENIDA DE MONTEPRINCIPE 25","917089900","280225","Boadilla del Monte","28","MADRID","13","MADRID","28660",170,"C11","Hospitales Generales","20","PRIVADOS","N",NA,NA,"N",NA,534,"HOSPITAL UNIVERSITARIO HM  MONTEPRINCIPE","AV. MONTEPRÍNCIPE, 25",917089900,NA,912110118,"280225","Boadilla del Monte","28","MADRID","13","MADRID","28660",1,"GENERAL",14,"PRIVADO NO BENÉFICO",23,"PRIVADO NO BENÉFICO","S","N","N","N","N",NA,"S","lespada@hmhospitales.com",1,3,0,2,2,1,0,0,0,0,1,1,1,-3.84396530299995,40.4131397020001,"StreetAddress","06","Oeste"
"1328000073","281180","HOSPITAL LOS MADROÑOS","CARRETERA DE M-501 (DE ALCORCON A PLASENCIA) KM.17,900","918163526","280262","Brunete","28","MADRID","13","MADRID","28690",53,"C11","Hospitales Generales","20","PRIVADOS","N",NA,NA,"N","HOSPITAL_LOSMADRONOS@YAHOO.ES",541,"HOSPITAL LOS MADROÑOS","CRTRA. M-501 KM 17,900 (VÍA DE SERVICIO)",918163526,NA,918159728,"280262","Brunete","28","MADRID","13","MADRID","28690",1,"GENERAL",14,"PRIVADO NO BENÉFICO",23,"PRIVADO NO BENÉFICO","N","N","N","N","N",NA,"S","info@lmh.es",1,2,0,0,0,0,0,0,0,0,1,0,0,-3.99388377599996,40.3978750000001,"Postal","06","Oeste"
"1328000022","280761","HOSPITAL DE LA FUENFRIA","CARRETERA DE DEHESAS S/N","918520300","280382","Cercedilla","28","MADRID","13","MADRID","28470",192,"C13","Hospitales de media y larga estancia","2","SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS","N",NA,NA,"N",NA,517,"HOSPITAL DE LA FUENFRIA","CTRA. DE LAS DEHESAS, S/N",918520300,NA,918521567,"280382","Cercedilla","28","MADRID","13","MADRID","28470",13,"GERIATRÍA Y/O LARGA ESTANCIA",1,"SEGURIDAD SOCIAL",34,"SERVICIO MADRILEÑO DE SALUD","S","N","N","N","N",NA,"N","gerent.hlff@salud.madrid.org",0,0,0,0,0,0,0,0,0,0,0,0,0,-4.07409086599995,40.760709687,"Manual","06","Oeste"
"1328000004","280783","CENTRO SAN JUAN DE DIOS CIEMPOZUELOS","AVENIDA DE SAN JUAN DE DIOS 1","918930001","280409","Ciempozuelos","28","MADRID","13","MADRID","28350",339,"C190","Otros Centros con Internamiento","20","PRIVADOS","N",NA,NA,"N","JMLOPEZ@BETICA.SANJUANDEDIOS-OH.ES",519,"CENTRO SAN JUAN DE DIOS","AV. DE SAN JUAN DE DIOS, 1",918930001,646599099,918932868,"280409","Ciempozuelos","28","MADRID","13","MADRID","28350",6,"PSIQUIÁTRICO",12,"PRIVADO-BENÉFICO (IGLESIA)",21,"PRIVADO-BENÉFICO (IGLESIA)","S","N","N","N","N",NA,"S","elvira.conde@sjd.es",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.61102488799997,40.1596863890001,"StreetAddressExt","11","Sur Ii"
