Hospital,Especialidad,total_pacientes,media_tiempo_dias,ano,semana
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,439,56.29,2022,44
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,437,55.13,2022,43
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,429,53.99,2022,42
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,419,56.29,2022,41
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,418,55.82,2022,40
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,NA,NA,2022,39
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,408,57.45,2022,38
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,399,57.61,2022,37
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,396,57.31,2022,36
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,393,58.88,2022,35
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,378,55.32,2022,34
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,374,51.03,2022,33
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,364,44.28,2022,32
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,355,42.73,2022,31
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,335,46.16,2022,30
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,325,44.54,2022,29
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,300,48.14,2022,28
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,302,47.26,2022,27
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,288,53.7,2022,25
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,285,55.11,2022,24
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,280,59.03,2022,23
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,283,62.68,2022,22
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,307,63.29,2022,21
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,343,68.96,2022,20
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,343,63.46,2022,19
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,353,61.01,2022,18
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,364,58.63,2022,17
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,375,59.2,2022,16
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,388,55.14,2022,15
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,384,53.85,2022,14
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,384,54.42,2022,12
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,379,54.05,2022,11
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,387,54.28,2022,10
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,387,54.08,2022,9
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,380,54.17,2022,8
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,379,52.43,2022,7
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,374,52.84,2022,6
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,369,53.06,2022,5
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,376,53.01,2022,4
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,383,50.46,2022,3
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,360,49.93,2022,2
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,363,49.44,2022,1
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,355,40.65,2021,51
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,350,38.82,2021,50
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,342,38.33,2021,49
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,338,33.65,2021,48
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,328,32.62,2021,47
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,314,33.47,2021,46
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,290,33.45,2021,45
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,280,34.71,2021,44
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,273,33.16,2021,43
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,269,31.98,2021,42
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,263,31.96,2021,41
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,249,29.84,2021,40
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,242,30.01,2021,38
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,231,31.75,2021,37
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,216,34.91,2021,36
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,206,33.71,2021,35
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,199,31.11,2021,34
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,197,30.52,2021,33
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,183,22.7,2021,32
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,174,18.99,2021,31
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,166,15.11,2021,30
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,141,13.5,2021,29
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,137,10.45,2021,28
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,119,9.59,2021,27
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,96,13.48,2021,26
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,100,16.79,2021,25
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,90,19.21,2021,24
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,107,17.17,2021,23
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,119,15.27,2021,22
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,128,13.51,2021,21
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,127,12.14,2021,20
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,105,15.67,2021,19
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,113,16.54,2021,18
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,99,20.76,2021,16
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,101,21.9,2021,15
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,111,20.46,2021,14
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,116,18.41,2021,13
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,109,14.38,2021,12
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,102,16.76,2021,11
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,109,19.1,2021,10
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,119,17.8,2021,9
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,130,22.98,2021,8
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,133,34.6,2021,7
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,136,36.23,2021,6
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,134,43.52,2021,5
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,141,45.98,2021,4
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,147,48.17,2021,3
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,150,48.42,2021,2
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,171,27.52,2021,1
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,150,30.65,2020,51
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,161,28.61,2020,50
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,169,26.91,2020,49
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,173,27.07,2020,48
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,174,25.82,2020,47
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,173,26.09,2020,46
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,171,27.52,2020,45
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,164,24.01,2020,43
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,168,29.18,2020,42
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,153,29.42,2020,41
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,160,28.64,2020,40
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,135,35.73,2020,39
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,140,34.27,2020,38
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,134,39.08,2020,37
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,127,46.5,2020,36
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,123,42.45,2020,35
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,117,37.79,2020,34
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,113,33.78,2020,33
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,118,27.18,2020,32
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,114,23.64,2020,31
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,109,17.41,2020,30
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,105,14.38,2020,10
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,91,20.15,2020,9
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,97,28.03,2020,7
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,113,41.2,2020,6
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,124,37.95,2020,5
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,142,47.68,2020,4
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,142,47.68,2020,3
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Angiología y Cirugía Vascular,150,47.56,2020,2
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,44
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,43
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,42
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,41
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,40
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,NA,NA,2022,39
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,38
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,37
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,36
