ccaa,CPRO,CMUN,dist,secc,t1_1,t2_1,t2_2,t3_1,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,NSEC,area,elevation,densidad_hab_km2
13,28,001,01,001,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acebeda, La - 01.001",21848790.6002228,1401,2.517301804313108
13,28,002,01,001,2358,0.4724,0.5276,40.5161,0.1425,0.7443,0.1132,0.1569,0.1968,0.4016,0.3971,0.4377,0.0912,0.6063,0.6672,Ajalvir - 01.001,15585050.3880561,653,151.2988371091248
13,28,002,01,002,2435,0.483,0.517,38.3339,0.1959,0.7002,0.1039,0.1544,0.1951,0.4244,0.4224,0.4438,0.1226,0.5955,0.6788,Ajalvir - 01.002,4148273.40677291,715,586.9912036232628
13,28,003,01,001,248,0.3952,0.6048,47.4597,0.1371,0.6573,0.2056,0.1129,0.1411,0.1542,0.1449,0.528,0.0932,0.5,0.5514,Alameda del Valle - 01.001,25674490.851433,1150,9.65939310871116
13,28,004,01,001,2886,0.5135,0.4865,44.4099,0.1611,0.6067,0.2322,0.1639,0.2128,0.147,0.1409,0.2602,0.1814,0.4213,0.5147,"Álamo, El - 01.001",5046680.39115176,593,571.8610604031836
13,28,004,01,002,3376,0.4793,0.5207,40.681,0.1739,0.6727,0.1534,0.144,0.173,0.1596,0.1506,0.3234,0.1478,0.517,0.6067,"Álamo, El - 01.002",8839938.13385054,604,381.90312521219704
13,28,004,01,003,2161,0.5016,0.4984,38.0088,0.223,0.6395,0.1374,0.1749,0.2138,0.1668,0.1602,0.2859,0.1658,0.4943,0.5926,"Álamo, El - 01.003",2252470.4148439,587,959.391069360511
13,28,004,01,004,1523,0.5279,0.4721,42.5371,0.1753,0.6448,0.1799,0.1326,0.1589,0.1584,0.1545,0.3057,0.1824,0.4745,0.5804,"Álamo, El - 01.004",5859441.05686189,570,259.9224030449868
13,28,005,01,001,1648,0.5461,0.4539,43.736,0.1195,0.6917,0.1887,0.1608,0.2227,0.0979,0.0917,0.5134,0.1079,0.5245,0.5879,Alcalá de Henares - 01.001,179131.588754861,594,9199.940733263235
13,28,005,01,002,1015,0.5399,0.4601,42.0837,0.1379,0.6916,0.1704,0.1852,0.2345,0.1074,0.0949,0.4709,0.1599,0.4983,0.5931,Alcalá de Henares - 01.002,87621.9107764542,594,11583.860600683807
13,28,005,01,003,1728,0.5046,0.4954,42.9693,0.1181,0.7095,0.1725,0.1649,0.2083,0.0919,0.0827,0.4436,0.149,0.5098,0.5991,Alcalá de Henares - 01.003,199003.923248682,594,8683.245896819011
13,28,005,01,004,1349,0.5441,0.4559,48.5871,0.1097,0.5953,0.295,0.1623,0.2216,0.0683,0.06,0.4371,0.1424,0.4163,0.4854,Alcalá de Henares - 01.004,25462.654839992,594,52979.55018740786
13,28,005,01,005,1351,0.5433,0.4567,45.5263,0.1044,0.6817,0.2139,0.1562,0.2161,0.0983,0.0934,0.5157,0.1043,0.5182,0.5785,Alcalá de Henares - 01.005,244765.639065987,594,5519.565594073363
13,28,005,01,006,1239,0.5165,0.4835,46.5545,0.1122,0.6231,0.2647,0.1009,0.1227,0.0682,0.06,0.38,0.1323,0.4473,0.5155,Alcalá de Henares - 01.006,116832.87917215,594,10604.89143791767
13,28,005,01,007,1205,0.5245,0.4755,49.317,0.1095,0.5452,0.3452,0.1228,0.151,0.0615,0.0475,0.1985,0.138,0.3784,0.439,Alcalá de Henares - 01.007,25221.441592102,594,47776.80909315441
13,28,005,01,008,778,0.5411,0.4589,49.9614,0.1131,0.5386,0.3483,0.1774,0.2031,0.0754,0.0565,0.1841,0.1732,0.3667,0.4435,Alcalá de Henares - 01.008,11609.3343592068,594,67015.03944392862
13,28,005,01,009,1099,0.5341,0.4659,46.849,0.1119,0.6178,0.2702,0.1483,0.1774,0.042,0.0359,0.1906,0.1647,0.4416,0.5287,Alcalá de Henares - 01.009,12688.4157858656,594,86614.43781060843
13,28,005,01,010,940,0.4979,0.5021,44.3489,0.1319,0.6777,0.1904,0.166,0.1904,0.0699,0.06,0.3517,0.1362,0.4743,0.549,Alcalá de Henares - 01.010,98053.9283027033,594,9586.561357318766
13,28,005,01,011,1425,0.5439,0.4561,47.7684,0.1144,0.6147,0.2709,0.2126,0.2604,0.0681,0.0618,0.3265,0.1814,0.4113,0.5024,Alcalá de Henares - 01.011,72908.9613365005,594,19544.922515397313
13,28,005,01,012,1848,0.5184,0.4816,45.2581,0.1239,0.6466,0.2294,0.1845,0.1975,0.0581,0.0494,0.37,0.152,0.4583,0.5405,Alcalá de Henares - 01.012,113665.062567852,594,16258.293958153045
13,28,005,01,013,950,0.5379,0.4621,44.6621,0.1295,0.6432,0.2274,0.1874,0.2263,0.0871,0.0774,0.4208,0.1239,0.4873,0.5562,Alcalá de Henares - 01.013,30949.3828742674,594,30695.28086745372
13,28,005,01,014,1298,0.5347,0.4653,47.3921,0.1179,0.6156,0.2666,0.1564,0.208,0.0594,0.0568,0.4742,0.1115,0.4803,0.5406,Alcalá de Henares - 01.014,56578.1609463926,594,22941.714228390087
13,28,005,01,015,2263,0.5276,0.4724,44.3973,0.10780000000000001,0.7035,0.1887,0.2209,0.2753,0.0872,0.0738,0.4279,0.1291,0.5012,0.5755,Alcalá de Henares - 01.015,71391.7062875566,594,31698.359903108736
13,28,005,01,016,1146,0.5166,0.4834,43.4319,0.1152,0.692,0.1928,0.2042,0.2644,0.072,0.0611,0.3797,0.152,0.4951,0.5838,Alcalá de Henares - 01.016,119251.661796133,594,9609.928974903034
13,28,005,01,017,1030,0.5233,0.4767,46.8,0.1019,0.6476,0.2505,0.3709,0.3922,0.0508,0.0465,0.2519,0.1614,0.427,0.5092,Alcalá de Henares - 01.017,30077.8111826051,594,34244.51313118421
13,28,005,01,018,1311,0.524,0.476,42.5973,0.132,0.6842,0.1838,0.3326,0.3814,0.0835,0.0791,0.3286,0.1626,0.4569,0.5457,Alcalá de Henares - 01.018,39044.3415952501,594,33577.20853870124
13,28,005,01,020,1678,0.5113,0.4887,43.9589,0.1305,0.6609,0.2086,0.3451,0.3969,0.072,0.0644,0.2714,0.1931,0.4352,0.5394,Alcalá de Henares - 01.020,73691.9504544232,594,22770.46529034137
13,28,005,01,021,1355,0.5572,0.4428,52.0487,0.0731,0.5661,0.3609,0.1646,0.1985,0.0637,0.0565,0.4092,0.122,0.3726,0.4244,Alcalá de Henares - 01.021,35472.684024446,594,38198.406386903225
13,28,005,01,022,1819,0.5245,0.4755,45.9962,0.1165,0.6278,0.2556,0.2567,0.2952,0.0641,0.0492,0.3603,0.1348,0.4512,0.5215,Alcalá de Henares - 01.022,43330.6909037765,594,41979.48294984298
13,28,005,01,023,1234,0.5348,0.4652,47.5583,0.1029,0.6264,0.2707,0.1605,0.2196,0.0903,0.0804,0.4932,0.1109,0.4634,0.5212,Alcalá de Henares - 01.023,45402.5790425831,594,27179.072775637476
13,28,005,01,024,1297,0.5513,0.4487,49.6569,0.0971,0.579,0.3238,0.1157,0.1742,0.0632,0.0555,0.4919,0.1213,0.4082,0.4646,Alcalá de Henares - 01.024,32562.5555019795,594,39831.026158900706
13,28,005,02,001,1300,0.5246,0.4754,48.8315,0.1115,0.5885,0.3,0.2623,0.2854,0.0589,0.0485,0.1732,0.1679,0.3905,0.4693,Alcalá de Henares - 02.001,27696.5067084585,593,46937.32728405706
13,28,005,02,002,1040,0.525,0.475,48.7788,0.0981,0.5942,0.3077,0.1596,0.1856,0.0522,0.0437,0.1951,0.1637,0.3977,0.4755,Alcalá de Henares - 02.002,28388.0260835985,593,36635.16430967609
13,28,005,02,003,1377,0.5309,0.4691,46.9223,0.1213,0.5969,0.2818,0.1743,0.1845,0.0438,0.0347,0.1843,0.2052,0.4066,0.5116,Alcalá de Henares - 02.003,22898.9954936246,593,60133.64212344502
13,28,005,02,004,1347,0.5108,0.4892,43.3563,0.1633,0.6177,0.219,0.2673,0.3215,0.0621,0.0515,0.1411,0.181,0.4215,0.5146,Alcalá de Henares - 02.004,28133.0901591195,627,47879.56077279205
13,28,005,02,005,1344,0.4859,0.5141,43.1429,0.1577,0.6161,0.2262,0.2768,0.3289,0.0477,0.0371,0.1352,0.2222,0.4081,0.5247,Alcalá de Henares - 02.005,22874.277207669,593,58755.95490070404
13,28,005,02,006,1800,0.5006,0.4994,41.6178,0.1633,0.6478,0.1889,0.2217,0.2594,0.0365,0.0266,0.1375,0.188,0.4389,0.5405,Alcalá de Henares - 02.006,41638.3952524198,627,43229.331704261436
