mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,Target
2019-07,000,Total,28002,Ajalvir,338,002,338
2019-07,010,Total Europa,28002,Ajalvir,290,002,290
2019-07,011,Total Unión Europea,28002,Ajalvir,268,002,268
2019-07,030,Total América,28002,Ajalvir,37,002,37
2019-07,110,Francia,28002,Ajalvir,56,002,56
2019-07,121,Países Bajos,28002,Ajalvir,54,002,54
2019-07,123,Portugal,28002,Ajalvir,37,002,37
2019-07,126,Alemania,28002,Ajalvir,40,002,40
2019-07,000,Total,28004,"Álamo, El",157,004,157
2019-07,010,Total Europa,28004,"Álamo, El",116,004,116
2019-07,011,Total Unión Europea,28004,"Álamo, El",109,004,109
2019-07,000,Total,28005,Alcalá de Henares,8461,005,8461
2019-07,010,Total Europa,28005,Alcalá de Henares,6776,005,6776
2019-07,011,Total Unión Europea,28005,Alcalá de Henares,5865,005,5865
2019-07,020,Total África,28005,Alcalá de Henares,199,005,199
2019-07,030,Total América,28005,Alcalá de Henares,1074,005,1074
2019-07,031,Total América del Norte,28005,Alcalá de Henares,760,005,760
2019-07,033,Total Sudamérica,28005,Alcalá de Henares,258,005,258
2019-07,040,Total Asia,28005,Alcalá de Henares,409,005,409
2019-07,102,Austria,28005,Alcalá de Henares,567,005,567
2019-07,103,Bélgica,28005,Alcalá de Henares,165,005,165
2019-07,104,Bulgaria,28005,Alcalá de Henares,104,005,104
2019-07,107,Dinamarca,28005,Alcalá de Henares,92,005,92
2019-07,110,Francia,28005,Alcalá de Henares,962,005,962
2019-07,112,Hungria,28005,Alcalá de Henares,92,005,92
2019-07,113,Irlanda,28005,Alcalá de Henares,176,005,176
2019-07,115,Italia,28005,Alcalá de Henares,380,005,380
2019-07,117,Luxemburgo,28005,Alcalá de Henares,170,005,170
2019-07,121,Países Bajos,28005,Alcalá de Henares,605,005,605
2019-07,122,Polonia,28005,Alcalá de Henares,284,005,284
2019-07,123,Portugal,28005,Alcalá de Henares,405,005,405
2019-07,125,Reino Unido,28005,Alcalá de Henares,611,005,611
2019-07,126,Alemania,28005,Alcalá de Henares,873,005,873
2019-07,128,Rumania,28005,Alcalá de Henares,362,005,362
2019-07,131,Suecia,28005,Alcalá de Henares,500,005,500
2019-07,132,Suiza,28005,Alcalá de Henares,101,005,101
2019-07,135,Ucrania,28005,Alcalá de Henares,115,005,115
2019-07,142,Lituania,28005,Alcalá de Henares,57,005,57
2019-07,154,Rusia,28005,Alcalá de Henares,32,005,32
2019-07,220,Guinea ecuatorial,28005,Alcalá de Henares,78,005,78
2019-07,228,Marruecos,28005,Alcalá de Henares,63,005,63
2019-07,234,Nigeria,28005,Alcalá de Henares,45,005,45
2019-07,302,EE.UU.,28005,Alcalá de Henares,624,005,624
2019-07,340,Argentina,28005,Alcalá de Henares,47,005,47
2019-07,342,Brasil,28005,Alcalá de Henares,50,005,50
2019-07,343,Colombia,28005,Alcalá de Henares,70,005,70
2019-07,348,Peru,28005,Alcalá de Henares,31,005,31
2019-07,407,China,28005,Alcalá de Henares,187,005,187
2019-07,430,Republica de corea - corea del sur,28005,Alcalá de Henares,181,005,181
2019-07,000,Total,28006,Alcobendas,7022,006,7022
2019-07,010,Total Europa,28006,Alcobendas,5151,006,5151
2019-07,011,Total Unión Europea,28006,Alcobendas,4287,006,4287
2019-07,020,Total África,28006,Alcobendas,167,006,167
2019-07,030,Total América,28006,Alcobendas,1192,006,1192
2019-07,031,Total América del Norte,28006,Alcobendas,723,006,723
2019-07,033,Total Sudamérica,28006,Alcobendas,458,006,458
2019-07,040,Total Asia,28006,Alcobendas,495,006,495
2019-07,102,Austria,28006,Alcobendas,416,006,416
2019-07,103,Bélgica,28006,Alcobendas,173,006,173
2019-07,107,Dinamarca,28006,Alcobendas,79,006,79
2019-07,110,Francia,28006,Alcobendas,957,006,957
2019-07,113,Irlanda,28006,Alcobendas,113,006,113
2019-07,115,Italia,28006,Alcobendas,215,006,215
2019-07,117,Luxemburgo,28006,Alcobendas,81,006,81
2019-07,121,Países Bajos,28006,Alcobendas,1076,006,1076
2019-07,122,Polonia,28006,Alcobendas,68,006,68
2019-07,123,Portugal,28006,Alcobendas,355,006,355
2019-07,125,Reino Unido,28006,Alcobendas,658,006,658
2019-07,126,Alemania,28006,Alcobendas,458,006,458
2019-07,128,Rumania,28006,Alcobendas,47,006,47
2019-07,131,Suecia,28006,Alcobendas,151,006,151
2019-07,132,Suiza,28006,Alcobendas,115,006,115
2019-07,135,Ucrania,28006,Alcobendas,35,006,35
2019-07,228,Marruecos,28006,Alcobendas,109,006,109
2019-07,301,Canada,28006,Alcobendas,54,006,54
2019-07,302,EE.UU.,28006,Alcobendas,503,006,503
2019-07,303,Mexico,28006,Alcobendas,166,006,166
2019-07,340,Argentina,28006,Alcobendas,74,006,74
2019-07,342,Brasil,28006,Alcobendas,80,006,80
2019-07,343,Colombia,28006,Alcobendas,143,006,143
2019-07,348,Peru,28006,Alcobendas,41,006,41
2019-07,351,Venezuela,28006,Alcobendas,47,006,47
2019-07,402,Arabia saudita,28006,Alcobendas,31,006,31
2019-07,407,China,28006,Alcobendas,161,006,161
2019-07,408,Emiratos arabes unidos,28006,Alcobendas,42,006,42
2019-07,414,Israel,28006,Alcobendas,65,006,65
2019-07,415,Japón,28006,Alcobendas,45,006,45
2019-07,430,Republica de corea - corea del sur,28006,Alcobendas,52,006,52
2019-07,436,Turquia,28006,Alcobendas,42,006,42
2019-07,000,Total,28007,Alcorcón,3481,007,3481
2019-07,010,Total Europa,28007,Alcorcón,2698,007,2698
2019-07,011,Total Unión Europea,28007,Alcorcón,2281,007,2281
2019-07,020,Total África,28007,Alcorcón,164,007,164
2019-07,030,Total América,28007,Alcorcón,410,007,410
2019-07,031,Total América del Norte,28007,Alcorcón,228,007,228
2019-07,033,Total Sudamérica,28007,Alcorcón,176,007,176
2019-07,040,Total Asia,28007,Alcorcón,205,007,205
2019-07,102,Austria,28007,Alcorcón,226,007,226
2019-07,103,Bélgica,28007,Alcorcón,81,007,81
2019-07,107,Dinamarca,28007,Alcorcón,38,007,38
2019-07,110,Francia,28007,Alcorcón,597,007,597
2019-07,113,Irlanda,28007,Alcorcón,43,007,43
2019-07,115,Italia,28007,Alcorcón,117,007,117
2019-07,117,Luxemburgo,28007,Alcorcón,89,007,89
2019-07,121,Países Bajos,28007,Alcorcón,448,007,448
2019-07,122,Polonia,28007,Alcorcón,65,007,65
2019-07,123,Portugal,28007,Alcorcón,166,007,166
2019-07,125,Reino Unido,28007,Alcorcón,236,007,236
2019-07,126,Alemania,28007,Alcorcón,208,007,208
2019-07,128,Rumania,28007,Alcorcón,57,007,57
2019-07,131,Suecia,28007,Alcorcón,116,007,116
2019-07,132,Suiza,28007,Alcorcón,34,007,34
2019-07,135,Ucrania,28007,Alcorcón,122,007,122
2019-07,220,Guinea ecuatorial,28007,Alcorcón,43,007,43
2019-07,228,Marruecos,28007,Alcorcón,99,007,99
2019-07,302,EE.UU.,28007,Alcorcón,164,007,164
2019-07,342,Brasil,28007,Alcorcón,30,007,30
2019-07,343,Colombia,28007,Alcorcón,52,007,52
2019-07,407,China,28007,Alcorcón,94,007,94
2019-07,430,Republica de corea - corea del sur,28007,Alcorcón,35,007,35
2019-07,436,Turquia,28007,Alcorcón,47,007,47
2019-07,000,Total,28008,Aldea del Fresno,143,008,143
2019-07,010,Total Europa,28008,Aldea del Fresno,117,008,117
2019-07,011,Total Unión Europea,28008,Aldea del Fresno,109,008,109
2019-07,000,Total,28009,Algete,1275,009,1275
2019-07,010,Total Europa,28009,Algete,1067,009,1067
2019-07,011,Total Unión Europea,28009,Algete,968,009,968
2019-07,020,Total África,28009,Algete,47,009,47
2019-07,030,Total América,28009,Algete,118,009,118
2019-07,031,Total América del Norte,28009,Algete,93,009,93
2019-07,040,Total Asia,28009,Algete,42,009,42
2019-07,102,Austria,28009,Algete,51,009,51
2019-07,103,Bélgica,28009,Algete,104,009,104
2019-07,110,Francia,28009,Algete,238,009,238
2019-07,115,Italia,28009,Algete,36,009,36
2019-07,121,Países Bajos,28009,Algete,158,009,158
2019-07,122,Polonia,28009,Algete,64,009,64
2019-07,123,Portugal,28009,Algete,30,009,30
2019-07,125,Reino Unido,28009,Algete,76,009,76
2019-07,126,Alemania,28009,Algete,151,009,151
2019-07,131,Suecia,28009,Algete,48,009,48
2019-07,228,Marruecos,28009,Algete,38,009,38
2019-07,302,EE.UU.,28009,Algete,69,009,69
2019-07,407,China,28009,Algete,30,009,30
2019-07,000,Total,28010,Alpedrete,410,010,410
2019-07,010,Total Europa,28010,Alpedrete,356,010,356
2019-07,011,Total Unión Europea,28010,Alpedrete,293,010,293
2019-07,030,Total América,28010,Alpedrete,40,010,40
2019-07,110,Francia,28010,Alpedrete,99,010,99
2019-07,121,Países Bajos,28010,Alpedrete,51,010,51
2019-07,125,Reino Unido,28010,Alpedrete,55,010,55
2019-07,126,Alemania,28010,Alpedrete,45,010,45
2019-07,000,Total,28011,Ambite,59,011,59
2019-07,010,Total Europa,28011,Ambite,46,011,46
2019-07,011,Total Unión Europea,28011,Ambite,40,011,40
2019-07,000,Total,28012,Anchuelo,62,012,62
2019-07,010,Total Europa,28012,Anchuelo,54,012,54
2019-07,011,Total Unión Europea,28012,Anchuelo,50,012,50
2019-07,000,Total,28013,Aranjuez,1734,013,1734
2019-07,010,Total Europa,28013,Aranjuez,1462,013,1462
2019-07,011,Total Unión Europea,28013,Aranjuez,1264,013,1264
2019-07,020,Total África,28013,Aranjuez,116,013,116
2019-07,030,Total América,28013,Aranjuez,138,013,138
2019-07,031,Total América del Norte,28013,Aranjuez,83,013,83
2019-07,033,Total Sudamérica,28013,Aranjuez,54,013,54
2019-07,102,Austria,28013,Aranjuez,50,013,50
2019-07,103,Bélgica,28013,Aranjuez,67,013,67
2019-07,110,Francia,28013,Aranjuez,374,013,374
2019-07,115,Italia,28013,Aranjuez,66,013,66
2019-07,117,Luxemburgo,28013,Aranjuez,56,013,56
2019-07,121,Países Bajos,28013,Aranjuez,217,013,217
2019-07,123,Portugal,28013,Aranjuez,66,013,66
2019-07,125,Reino Unido,28013,Aranjuez,156,013,156
2019-07,126,Alemania,28013,Aranjuez,136,013,136
