mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,Target,is_train
2019-08,110,Francia,28161,Valdemoro,466,161,466,TRUE
2021-07,010,Total Europa,28176,Villanueva de la Cañada,1375,176,1375,TRUE
2021-07,010,Total Europa,28132,San Martín de la Vega,465,132,465,TRUE
2022-01,000,Total,28141,Sevilla la Nueva,54,141,54,TRUE
2019-08,128,Rumania,28130,San Fernando de Henares,135,130,135,TRUE
2022-07,000,Total,28126,Robregordo,30,126,30,TRUE
2022-08,011,Total Unión Europea,28075,Loeches,285,075,285,TRUE
2022-03,126,Alemania,28005,Alcalá de Henares,768,005,768,TRUE
2020-01,121,Países Bajos,28066,Griñón,31,066,31,TRUE
2021-09,110,Francia,28005,Alcalá de Henares,1646,005,1646,TRUE
2020-05,121,Países Bajos,28047,Collado Villalba,116,047,116,TRUE
2020-06,351,Venezuela,28065,Getafe,36,065,36,TRUE
2021-05,010,Total Europa,28100,Nuevo Baztán,59,100,59,TRUE
2021-02,123,Portugal,28113,Pinto,63,113,63,TRUE
2020-01,010,Total Europa,28005,Alcalá de Henares,7242,005,7242,TRUE
2021-08,131,Suecia,28074,Leganés,143,074,143,TRUE
2021-07,000,Total,28034,Canencia,56,034,56,TRUE
2019-12,302,EE.UU.,28047,Collado Villalba,47,047,47,TRUE
2020-04,213,Egipto,28079,Madrid,117,079,117,TRUE
2022-10,110,Francia,28066,Griñón,37,066,37,TRUE
2021-03,102,Austria,28007,Alcorcón,105,007,105,TRUE
2019-11,126,Alemania,28005,Alcalá de Henares,977,005,977,TRUE
2020-08,128,Rumania,28148,Torrejón de Ardoz,85,148,85,TRUE
2021-07,117,Luxemburgo,28080,Majadahonda,58,080,58,TRUE
2021-07,407,China,28007,Alcorcón,54,007,54,TRUE
2022-04,340,Argentina,28134,San Sebastián de los Reyes,40,134,40,TRUE
2019-07,228,Marruecos,28005,Alcalá de Henares,63,005,63,TRUE
2020-05,117,Luxemburgo,28080,Majadahonda,34,080,34,TRUE
2022-03,110,Francia,28903,Tres Cantos,538,903,538,TRUE
2019-11,343,Colombia,28130,San Fernando de Henares,42,130,42,TRUE
2022-06,010,Total Europa,28104,Paracuellos de Jarama,1087,104,1087,TRUE
2021-06,121,Países Bajos,28134,San Sebastián de los Reyes,593,134,593,TRUE
2020-02,122,Polonia,28113,Pinto,55,113,55,TRUE
2022-05,136,Letonia,28161,Valdemoro,30,161,30,TRUE
2022-06,121,Países Bajos,28009,Algete,89,009,89,TRUE
2020-03,110,Francia,28058,Fuenlabrada,950,058,950,TRUE
2019-10,000,Total,28181,Villaviciosa de Odón,2136,181,2136,TRUE
2021-10,131,Suecia,28123,Rivas-Vaciamadrid,54,123,54,TRUE
2020-12,110,Francia,28068,Guadarrama,96,068,96,TRUE
2022-03,010,Total Europa,28132,San Martín de la Vega,367,132,367,TRUE
2020-01,011,Total Unión Europea,28066,Griñón,146,066,146,TRUE
2020-10,103,Bélgica,28079,Madrid,1824,079,1824,TRUE
2020-01,126,Alemania,28022,Boadilla del Monte,274,022,274,TRUE
2021-04,102,Austria,28903,Tres Cantos,53,903,53,TRUE
2020-11,126,Alemania,28092,Móstoles,200,092,200,TRUE
2020-05,408,Emiratos arabes unidos,28079,Madrid,149,079,149,TRUE
2019-10,234,Nigeria,28148,Torrejón de Ardoz,62,148,62,TRUE
2022-07,126,Alemania,28096,Navalcarnero,117,096,117,TRUE
2022-09,122,Polonia,28115,Pozuelo de Alarcón,55,115,55,TRUE
2022-06,011,Total Unión Europea,28044,Colmenarejo,215,044,215,TRUE
2021-07,402,Arabia saudita,28006,Alcobendas,31,006,31,TRUE
2021-05,011,Total Unión Europea,28058,Fuenlabrada,2178,058,2178,TRUE
2020-03,010,Total Europa,28013,Aranjuez,1238,013,1238,TRUE
2020-06,000,Total,28062,Garganta de los Montes,53,062,53,TRUE
2019-10,011,Total Unión Europea,28043,Colmenar de Oreja,84,043,84,TRUE
2022-09,157,Serbia,28079,Madrid,312,079,312,TRUE
2021-10,121,Países Bajos,28005,Alcalá de Henares,1080,005,1080,TRUE
2020-07,110,Francia,28053,Daganzo de Arriba,54,053,54,TRUE
2021-04,125,Reino Unido,28005,Alcalá de Henares,252,005,252,TRUE
2020-05,110,Francia,28054,"Escorial, El",41,054,41,TRUE
2020-05,011,Total Unión Europea,28067,Guadalix de la Sierra,68,067,68,TRUE
2021-01,000,Total,28115,Pozuelo de Alarcón,2842,115,2842,TRUE
2021-03,011,Total Unión Europea,28008,Aldea del Fresno,82,008,82,TRUE
2021-11,011,Total Unión Europea,28145,Talamanca de Jarama,92,145,92,TRUE
2020-05,000,Total,28096,Navalcarnero,361,096,361,TRUE
2020-08,117,Luxemburgo,28065,Getafe,103,065,103,TRUE
2020-03,000,Total,28013,Aranjuez,1378,013,1378,TRUE
2022-10,407,China,28007,Alcorcón,33,007,33,TRUE
2022-04,343,Colombia,28047,Collado Villalba,79,047,79,TRUE
2021-11,125,Reino Unido,28106,Parla,99,106,99,TRUE
2022-02,131,Suecia,28058,Fuenlabrada,139,058,139,TRUE
2020-11,103,Bélgica,28014,Arganda del Rey,34,014,34,TRUE
2020-08,128,Rumania,28058,Fuenlabrada,65,058,65,TRUE
2021-09,121,Países Bajos,28033,Campo Real,46,033,46,TRUE
2022-01,121,Países Bajos,28074,Leganés,726,074,726,TRUE
2020-11,010,Total Europa,28120,Rascafría,142,120,142,TRUE
2022-04,125,Reino Unido,28065,Getafe,236,065,236,TRUE
2021-08,113,Irlanda,28079,Madrid,1127,079,1127,TRUE
2022-06,000,Total,28034,Canencia,67,034,67,TRUE
2022-01,000,Total,28148,Torrejón de Ardoz,2434,148,2434,TRUE
2021-10,011,Total Unión Europea,28156,Valdeavero,44,156,44,TRUE
2020-09,000,Total,28113,Pinto,2536,113,2536,TRUE
2020-02,125,Reino Unido,28080,Majadahonda,188,080,188,TRUE
2020-07,103,Bélgica,28113,Pinto,81,113,81,TRUE
2022-06,030,Total América,28161,Valdemoro,233,161,233,TRUE
2022-08,110,Francia,28009,Algete,100,009,100,TRUE
2021-05,122,Polonia,28049,Coslada,40,049,40,TRUE
2022-07,107,Dinamarca,28079,Madrid,2905,079,2905,TRUE
2021-04,011,Total Unión Europea,28073,Humanes de Madrid,158,073,158,TRUE
2022-01,110,Francia,28030,"Cabrera, La",45,030,45,TRUE
2021-06,040,Total Asia,28079,Madrid,7226,079,7226,TRUE
2019-09,148,Armenia,28079,Madrid,71,079,71,TRUE
2021-04,436,Turquia,28079,Madrid,158,079,158,TRUE
2022-06,125,Reino Unido,28061,Galapagar,111,061,111,TRUE
2022-04,102,Austria,28903,Tres Cantos,155,903,155,TRUE
2022-09,011,Total Unión Europea,28018,Becerril de la Sierra,71,018,71,TRUE
2022-09,000,Total,28044,Colmenarejo,280,044,280,TRUE
2020-05,011,Total Unión Europea,28113,Pinto,1230,113,1230,TRUE
2020-08,203,Argelia,28079,Madrid,122,079,122,TRUE
2021-04,010,Total Europa,28902,Puentes Viejas,75,902,75,TRUE
2022-02,131,Suecia,28005,Alcalá de Henares,396,005,396,TRUE
2021-01,110,Francia,28047,Collado Villalba,337,047,337,TRUE
2021-10,011,Total Unión Europea,28052,Chinchón,233,052,233,TRUE
2019-07,011,Total Unión Europea,28049,Coslada,1611,049,1611,TRUE
2020-02,011,Total Unión Europea,28015,Arroyomolinos,426,015,426,TRUE
2022-09,033,Total Sudamérica,28096,Navalcarnero,66,096,66,TRUE
2021-08,109,Finlandia,28079,Madrid,234,079,234,TRUE
2022-05,128,Rumania,28123,Rivas-Vaciamadrid,33,123,33,TRUE
2019-12,011,Total Unión Europea,28169,Venturada,87,169,87,TRUE
2020-05,102,Austria,28161,Valdemoro,311,161,311,TRUE
2021-04,103,Bélgica,28079,Madrid,3561,079,3561,TRUE
2020-05,126,Alemania,28181,Villaviciosa de Odón,51,181,51,TRUE
2022-06,103,Bélgica,28123,Rivas-Vaciamadrid,43,123,43,TRUE
2019-11,011,Total Unión Europea,28053,Daganzo de Arriba,246,053,246,TRUE
2019-11,407,China,28074,Leganés,320,074,320,TRUE
2019-07,102,Austria,28074,Leganés,230,074,230,TRUE
2022-09,121,Países Bajos,28061,Galapagar,254,061,254,TRUE
2021-09,011,Total Unión Europea,28027,Buitrago del Lozoya,98,027,98,TRUE
2019-07,104,Bulgaria,28065,Getafe,58,065,58,TRUE
2021-09,011,Total Unión Europea,28130,San Fernando de Henares,2290,130,2290,TRUE
2021-08,000,Total,28062,Garganta de los Montes,107,062,107,TRUE
2019-09,302,EE.UU.,28058,Fuenlabrada,158,058,158,TRUE
2020-06,010,Total Europa,28133,San Martín de Valdeiglesias,139,133,139,TRUE
2020-10,010,Total Europa,28013,Aranjuez,1250,013,1250,TRUE
2022-08,000,Total,28043,Colmenar de Oreja,303,043,303,TRUE
2019-08,102,Austria,28075,Loeches,34,075,34,TRUE
2019-08,234,Nigeria,28079,Madrid,270,079,270,TRUE
2020-09,122,Polonia,28083,Meco,67,083,67,TRUE
2021-09,302,EE.UU.,28130,San Fernando de Henares,148,130,148,TRUE
2022-05,121,Países Bajos,28067,Guadalix de la Sierra,30,067,30,TRUE
2019-12,000,Total,28019,Belmonte de Tajo,69,019,69,TRUE
2020-05,121,Países Bajos,28161,Valdemoro,220,161,220,TRUE
2021-02,123,Portugal,28130,San Fernando de Henares,70,130,70,TRUE
2021-03,000,Total,28165,Valdilecha,30,165,30,TRUE
2022-04,343,Colombia,28080,Majadahonda,72,080,72,TRUE
2020-02,348,Peru,28007,Alcorcón,48,007,48,TRUE
2021-05,125,Reino Unido,28152,Torrelodones,30,152,30,TRUE
2020-03,030,Total América,28092,Móstoles,282,092,282,TRUE
2020-10,010,Total Europa,28149,Torrejón de la Calzada,220,149,220,TRUE
2019-07,121,Países Bajos,28130,San Fernando de Henares,165,130,165,TRUE
2021-09,131,Suecia,28053,Daganzo de Arriba,35,053,35,TRUE
2020-12,121,Países Bajos,28180,Villarejo de Salvanés,36,180,36,TRUE
2021-07,000,Total,28152,Torrelodones,953,152,953,TRUE
2020-04,407,China,28106,Parla,259,106,259,TRUE
2022-10,031,Total América del Norte,28123,Rivas-Vaciamadrid,137,123,137,TRUE
2020-09,110,Francia,28054,"Escorial, El",77,054,77,TRUE
2020-04,010,Total Europa,28133,San Martín de Valdeiglesias,116,133,116,TRUE
2020-10,011,Total Unión Europea,28015,Arroyomolinos,759,015,759,TRUE
2020-06,000,Total,28160,Valdemorillo,240,160,240,TRUE
2019-11,000,Total,28058,Fuenlabrada,5004,058,5004,TRUE
2019-12,010,Total Europa,28168,"Vellón, El",33,168,33,TRUE
2022-02,103,Bélgica,28005,Alcalá de Henares,166,005,166,TRUE
2021-07,121,Países Bajos,28093,Navacerrada,31,093,31,TRUE
2019-10,303,Mexico,28079,Madrid,15529,079,15529,TRUE
2022-07,122,Polonia,28030,"Cabrera, La",36,030,36,TRUE
2021-10,107,Dinamarca,28006,Alcobendas,243,006,243,TRUE
2020-03,000,Total,28083,Meco,654,083,654,TRUE
2020-11,121,Países Bajos,28123,Rivas-Vaciamadrid,263,123,263,TRUE
2019-08,228,Marruecos,28030,"Cabrera, La",50,030,50,TRUE
2022-05,437,Vietnan,28079,Madrid,155,079,155,TRUE
2020-11,011,Total Unión Europea,28126,Robregordo,39,126,39,TRUE
2022-04,121,Países Bajos,28113,Pinto,408,113,408,TRUE
2021-03,010,Total Europa,28162,Valdeolmos-Alalpardo,49,162,49,TRUE
2022-01,122,Polonia,28065,Getafe,148,065,148,TRUE
2022-03,011,Total Unión Europea,28903,Tres Cantos,1458,903,1458,TRUE
2021-09,326,Republica dominicana,28079,Madrid,571,079,571,TRUE
2020-01,103,Bélgica,28903,Tres Cantos,46,903,46,TRUE
2022-02,107,Dinamarca,28079,Madrid,3269,079,3269,TRUE
2020-02,010,Total Europa,28036,Casarrubuelos,116,036,116,TRUE
2022-08,110,Francia,28075,Loeches,61,075,61,TRUE
2022-10,115,Italia,28181,Villaviciosa de Odón,100,181,100,TRUE
2022-06,126,Alemania,28148,Torrejón de Ardoz,254,148,254,TRUE
2021-01,131,Suecia,28074,Leganés,147,074,147,TRUE
2019-09,123,Portugal,28079,Madrid,18931,079,18931,TRUE
2022-10,040,Total Asia,28014,Arganda del Rey,35,014,35,TRUE
2019-12,030,Total América,28072,Hoyo de Manzanares,30,072,30,TRUE
2021-06,000,Total,28152,Torrelodones,814,152,814,TRUE
2020-02,010,Total Europa,28032,Camarma de Esteruelas,119,032,119,TRUE
2020-08,110,Francia,28109,Pelayos de la Presa,49,109,49,TRUE
2022-07,011,Total Unión Europea,28112,Pinilla del Valle,58,112,58,TRUE
2022-10,345,Ecuador,28079,Madrid,2031,079,2031,TRUE
2021-07,110,Francia,28058,Fuenlabrada,823,058,823,TRUE
2019-07,123,Portugal,28005,Alcalá de Henares,405,005,405,TRUE
2022-08,228,Marruecos,28047,Collado Villalba,87,047,87,TRUE
2022-07,415,Japón,28079,Madrid,463,079,463,TRUE
2019-11,010,Total Europa,28183,Zarzalejo,46,183,46,TRUE
2022-07,010,Total Europa,28009,Algete,843,009,843,TRUE
2019-09,011,Total Unión Europea,28180,Villarejo de Salvanés,151,180,151,TRUE
2022-08,033,Total Sudamérica,28014,Arganda del Rey,73,014,73,TRUE
2019-09,121,Países Bajos,28007,Alcorcón,395,007,395,TRUE
2021-02,412,Iraq,28079,Madrid,42,079,42,TRUE
2019-10,348,Peru,28065,Getafe,40,065,40,TRUE
2020-02,302,EE.UU.,28134,San Sebastián de los Reyes,126,134,126,TRUE
2021-10,115,Italia,28061,Galapagar,30,061,30,TRUE
2020-12,000,Total,28155,Valdaracete,48,155,48,TRUE
2019-10,315,Cuba,28079,Madrid,61,079,61,TRUE
2021-04,110,Francia,28075,Loeches,78,075,78,TRUE
2020-02,427,Qatar,28079,Madrid,694,079,694,TRUE
2021-02,000,Total,28073,Humanes de Madrid,186,073,186,TRUE
