mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,Target
2019-07,000,TOTAL,28002,AJALVIR,338,002,338
2019-07,010,TOTAL EUROPA,28002,AJALVIR,290,002,290
2019-07,011,TOTAL UNIÓN EUROPEA,28002,AJALVIR,268,002,268
2019-07,030,TOTAL AMÉRICA,28002,AJALVIR,37,002,37
2019-07,110,FRANCIA,28002,AJALVIR,56,002,56
2019-07,121,PAÍSES BAJOS,28002,AJALVIR,54,002,54
2019-07,123,PORTUGAL,28002,AJALVIR,37,002,37
2019-07,126,ALEMANIA,28002,AJALVIR,40,002,40
2019-07,000,TOTAL,28004,"ÁLAMO, EL",157,004,157
2019-07,010,TOTAL EUROPA,28004,"ÁLAMO, EL",116,004,116
2019-07,011,TOTAL UNIÓN EUROPEA,28004,"ÁLAMO, EL",109,004,109
2019-07,000,TOTAL,28005,ALCALÁ DE HENARES,8461,005,8461
2019-07,010,TOTAL EUROPA,28005,ALCALÁ DE HENARES,6776,005,6776
2019-07,011,TOTAL UNIÓN EUROPEA,28005,ALCALÁ DE HENARES,5865,005,5865
2019-07,020,TOTAL ÁFRICA,28005,ALCALÁ DE HENARES,199,005,199
2019-07,030,TOTAL AMÉRICA,28005,ALCALÁ DE HENARES,1074,005,1074
2019-07,031,TOTAL AMÉRICA DEL NORTE,28005,ALCALÁ DE HENARES,760,005,760
2019-07,033,TOTAL SUDAMÉRICA,28005,ALCALÁ DE HENARES,258,005,258
2019-07,040,TOTAL ASIA,28005,ALCALÁ DE HENARES,409,005,409
2019-07,102,AUSTRIA,28005,ALCALÁ DE HENARES,567,005,567
2019-07,103,BÉLGICA,28005,ALCALÁ DE HENARES,165,005,165
2019-07,104,BULGARIA,28005,ALCALÁ DE HENARES,104,005,104
2019-07,107,DINAMARCA,28005,ALCALÁ DE HENARES,92,005,92
2019-07,110,FRANCIA,28005,ALCALÁ DE HENARES,962,005,962
2019-07,112,HUNGRIA,28005,ALCALÁ DE HENARES,92,005,92
2019-07,113,IRLANDA,28005,ALCALÁ DE HENARES,176,005,176
2019-07,115,ITALIA,28005,ALCALÁ DE HENARES,380,005,380
2019-07,117,LUXEMBURGO,28005,ALCALÁ DE HENARES,170,005,170
2019-07,121,PAÍSES BAJOS,28005,ALCALÁ DE HENARES,605,005,605
2019-07,122,POLONIA,28005,ALCALÁ DE HENARES,284,005,284
2019-07,123,PORTUGAL,28005,ALCALÁ DE HENARES,405,005,405
2019-07,125,REINO UNIDO,28005,ALCALÁ DE HENARES,611,005,611
2019-07,126,ALEMANIA,28005,ALCALÁ DE HENARES,873,005,873
2019-07,128,RUMANIA,28005,ALCALÁ DE HENARES,362,005,362
2019-07,131,SUECIA,28005,ALCALÁ DE HENARES,500,005,500
2019-07,132,SUIZA,28005,ALCALÁ DE HENARES,101,005,101
2019-07,135,UCRANIA,28005,ALCALÁ DE HENARES,115,005,115
2019-07,142,LITUANIA,28005,ALCALÁ DE HENARES,57,005,57
2019-07,154,RUSIA,28005,ALCALÁ DE HENARES,32,005,32
2019-07,220,GUINEA ECUATORIAL,28005,ALCALÁ DE HENARES,78,005,78
2019-07,228,MARRUECOS,28005,ALCALÁ DE HENARES,63,005,63
2019-07,234,NIGERIA,28005,ALCALÁ DE HENARES,45,005,45
2019-07,302,EE.UU.,28005,ALCALÁ DE HENARES,624,005,624
2019-07,340,ARGENTINA,28005,ALCALÁ DE HENARES,47,005,47
2019-07,342,BRASIL,28005,ALCALÁ DE HENARES,50,005,50
2019-07,343,COLOMBIA,28005,ALCALÁ DE HENARES,70,005,70
2019-07,348,PERU,28005,ALCALÁ DE HENARES,31,005,31
2019-07,407,CHINA,28005,ALCALÁ DE HENARES,187,005,187
2019-07,430,REPUBLICA DE COREA - COREA DEL SUR,28005,ALCALÁ DE HENARES,181,005,181
2019-07,000,TOTAL,28006,ALCOBENDAS,7022,006,7022
2019-07,010,TOTAL EUROPA,28006,ALCOBENDAS,5151,006,5151
2019-07,011,TOTAL UNIÓN EUROPEA,28006,ALCOBENDAS,4287,006,4287
2019-07,020,TOTAL ÁFRICA,28006,ALCOBENDAS,167,006,167
2019-07,030,TOTAL AMÉRICA,28006,ALCOBENDAS,1192,006,1192
2019-07,031,TOTAL AMÉRICA DEL NORTE,28006,ALCOBENDAS,723,006,723
2019-07,033,TOTAL SUDAMÉRICA,28006,ALCOBENDAS,458,006,458
2019-07,040,TOTAL ASIA,28006,ALCOBENDAS,495,006,495
2019-07,102,AUSTRIA,28006,ALCOBENDAS,416,006,416
2019-07,103,BÉLGICA,28006,ALCOBENDAS,173,006,173
2019-07,107,DINAMARCA,28006,ALCOBENDAS,79,006,79
2019-07,110,FRANCIA,28006,ALCOBENDAS,957,006,957
2019-07,113,IRLANDA,28006,ALCOBENDAS,113,006,113
2019-07,115,ITALIA,28006,ALCOBENDAS,215,006,215
2019-07,117,LUXEMBURGO,28006,ALCOBENDAS,81,006,81
2019-07,121,PAÍSES BAJOS,28006,ALCOBENDAS,1076,006,1076
2019-07,122,POLONIA,28006,ALCOBENDAS,68,006,68
2019-07,123,PORTUGAL,28006,ALCOBENDAS,355,006,355
2019-07,125,REINO UNIDO,28006,ALCOBENDAS,658,006,658
2019-07,126,ALEMANIA,28006,ALCOBENDAS,458,006,458
2019-07,128,RUMANIA,28006,ALCOBENDAS,47,006,47
2019-07,131,SUECIA,28006,ALCOBENDAS,151,006,151
2019-07,132,SUIZA,28006,ALCOBENDAS,115,006,115
2019-07,135,UCRANIA,28006,ALCOBENDAS,35,006,35
2019-07,228,MARRUECOS,28006,ALCOBENDAS,109,006,109
2019-07,301,CANADA,28006,ALCOBENDAS,54,006,54
2019-07,302,EE.UU.,28006,ALCOBENDAS,503,006,503
2019-07,303,MEXICO,28006,ALCOBENDAS,166,006,166
2019-07,340,ARGENTINA,28006,ALCOBENDAS,74,006,74
2019-07,342,BRASIL,28006,ALCOBENDAS,80,006,80
2019-07,343,COLOMBIA,28006,ALCOBENDAS,143,006,143
2019-07,348,PERU,28006,ALCOBENDAS,41,006,41
2019-07,351,VENEZUELA,28006,ALCOBENDAS,47,006,47
2019-07,402,ARABIA SAUDITA,28006,ALCOBENDAS,31,006,31
2019-07,407,CHINA,28006,ALCOBENDAS,161,006,161
2019-07,408,EMIRATOS ARABES UNIDOS,28006,ALCOBENDAS,42,006,42
2019-07,414,ISRAEL,28006,ALCOBENDAS,65,006,65
2019-07,415,JAPÓN,28006,ALCOBENDAS,45,006,45
2019-07,430,REPUBLICA DE COREA - COREA DEL SUR,28006,ALCOBENDAS,52,006,52
2019-07,436,TURQUIA,28006,ALCOBENDAS,42,006,42
2019-07,000,TOTAL,28007,ALCORCÓN,3481,007,3481
2019-07,010,TOTAL EUROPA,28007,ALCORCÓN,2698,007,2698
2019-07,011,TOTAL UNIÓN EUROPEA,28007,ALCORCÓN,2281,007,2281
2019-07,020,TOTAL ÁFRICA,28007,ALCORCÓN,164,007,164
2019-07,030,TOTAL AMÉRICA,28007,ALCORCÓN,410,007,410
2019-07,031,TOTAL AMÉRICA DEL NORTE,28007,ALCORCÓN,228,007,228
2019-07,033,TOTAL SUDAMÉRICA,28007,ALCORCÓN,176,007,176
2019-07,040,TOTAL ASIA,28007,ALCORCÓN,205,007,205
2019-07,102,AUSTRIA,28007,ALCORCÓN,226,007,226
2019-07,103,BÉLGICA,28007,ALCORCÓN,81,007,81
2019-07,107,DINAMARCA,28007,ALCORCÓN,38,007,38
2019-07,110,FRANCIA,28007,ALCORCÓN,597,007,597
2019-07,113,IRLANDA,28007,ALCORCÓN,43,007,43
2019-07,115,ITALIA,28007,ALCORCÓN,117,007,117
2019-07,117,LUXEMBURGO,28007,ALCORCÓN,89,007,89
2019-07,121,PAÍSES BAJOS,28007,ALCORCÓN,448,007,448
2019-07,122,POLONIA,28007,ALCORCÓN,65,007,65
2019-07,123,PORTUGAL,28007,ALCORCÓN,166,007,166
2019-07,125,REINO UNIDO,28007,ALCORCÓN,236,007,236
2019-07,126,ALEMANIA,28007,ALCORCÓN,208,007,208
2019-07,128,RUMANIA,28007,ALCORCÓN,57,007,57
2019-07,131,SUECIA,28007,ALCORCÓN,116,007,116
2019-07,132,SUIZA,28007,ALCORCÓN,34,007,34
2019-07,135,UCRANIA,28007,ALCORCÓN,122,007,122
2019-07,220,GUINEA ECUATORIAL,28007,ALCORCÓN,43,007,43
2019-07,228,MARRUECOS,28007,ALCORCÓN,99,007,99
2019-07,302,EE.UU.,28007,ALCORCÓN,164,007,164
2019-07,342,BRASIL,28007,ALCORCÓN,30,007,30
2019-07,343,COLOMBIA,28007,ALCORCÓN,52,007,52
2019-07,407,CHINA,28007,ALCORCÓN,94,007,94
2019-07,430,REPUBLICA DE COREA - COREA DEL SUR,28007,ALCORCÓN,35,007,35
2019-07,436,TURQUIA,28007,ALCORCÓN,47,007,47
2019-07,000,TOTAL,28008,ALDEA DEL FRESNO,143,008,143
2019-07,010,TOTAL EUROPA,28008,ALDEA DEL FRESNO,117,008,117
2019-07,011,TOTAL UNIÓN EUROPEA,28008,ALDEA DEL FRESNO,109,008,109
2019-07,000,TOTAL,28009,ALGETE,1275,009,1275
2019-07,010,TOTAL EUROPA,28009,ALGETE,1067,009,1067
2019-07,011,TOTAL UNIÓN EUROPEA,28009,ALGETE,968,009,968
2019-07,020,TOTAL ÁFRICA,28009,ALGETE,47,009,47
2019-07,030,TOTAL AMÉRICA,28009,ALGETE,118,009,118
2019-07,031,TOTAL AMÉRICA DEL NORTE,28009,ALGETE,93,009,93
2019-07,040,TOTAL ASIA,28009,ALGETE,42,009,42
2019-07,102,AUSTRIA,28009,ALGETE,51,009,51
2019-07,103,BÉLGICA,28009,ALGETE,104,009,104
2019-07,110,FRANCIA,28009,ALGETE,238,009,238
2019-07,115,ITALIA,28009,ALGETE,36,009,36
2019-07,121,PAÍSES BAJOS,28009,ALGETE,158,009,158
2019-07,122,POLONIA,28009,ALGETE,64,009,64
2019-07,123,PORTUGAL,28009,ALGETE,30,009,30
2019-07,125,REINO UNIDO,28009,ALGETE,76,009,76
2019-07,126,ALEMANIA,28009,ALGETE,151,009,151
2019-07,131,SUECIA,28009,ALGETE,48,009,48
