mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,gasto,Target
2019-07,000,TOTAL,28002,AJALVIR,338,002,86.78,86.78
2019-07,010,TOTAL EUROPA,28002,AJALVIR,290,002,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28002,AJALVIR,268,002,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28002,AJALVIR,37,002,86.78,86.78
2019-07,110,FRANCIA,28002,AJALVIR,56,002,76.36,76.36
2019-07,121,PAÍSES BAJOS,28002,AJALVIR,54,002,78.92,78.92
2019-07,123,PORTUGAL,28002,AJALVIR,37,002,93.65,93.65
2019-07,126,ALEMANIA,28002,AJALVIR,40,002,102.04,102.04
2019-07,000,TOTAL,28004,"ÁLAMO, EL",157,004,86.78,86.78
2019-07,010,TOTAL EUROPA,28004,"ÁLAMO, EL",116,004,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28004,"ÁLAMO, EL",109,004,86.78,86.78
2019-07,000,TOTAL,28005,ALCALÁ DE HENARES,8461,005,86.78,86.78
2019-07,010,TOTAL EUROPA,28005,ALCALÁ DE HENARES,6776,005,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28005,ALCALÁ DE HENARES,5865,005,86.78,86.78
2019-07,020,TOTAL ÁFRICA,28005,ALCALÁ DE HENARES,199,005,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28005,ALCALÁ DE HENARES,1074,005,86.78,86.78
2019-07,031,TOTAL AMÉRICA DEL NORTE,28005,ALCALÁ DE HENARES,760,005,86.78,86.78
2019-07,033,TOTAL SUDAMÉRICA,28005,ALCALÁ DE HENARES,258,005,86.78,86.78
2019-07,040,TOTAL ASIA,28005,ALCALÁ DE HENARES,409,005,86.78,86.78
2019-07,102,AUSTRIA,28005,ALCALÁ DE HENARES,567,005,92.57,92.57
2019-07,103,BÉLGICA,28005,ALCALÁ DE HENARES,165,005,85.46,85.46
2019-07,104,BULGARIA,28005,ALCALÁ DE HENARES,104,005,86.78,86.78
2019-07,107,DINAMARCA,28005,ALCALÁ DE HENARES,92,005,78.39,78.39
2019-07,110,FRANCIA,28005,ALCALÁ DE HENARES,962,005,76.36,76.36
2019-07,112,HUNGRIA,28005,ALCALÁ DE HENARES,92,005,86.78,86.78
2019-07,113,IRLANDA,28005,ALCALÁ DE HENARES,176,005,88.95,88.95
2019-07,115,ITALIA,28005,ALCALÁ DE HENARES,380,005,88.99,88.99
2019-07,117,LUXEMBURGO,28005,ALCALÁ DE HENARES,170,005,86.78,86.78
2019-07,121,PAÍSES BAJOS,28005,ALCALÁ DE HENARES,605,005,78.92,78.92
2019-07,122,POLONIA,28005,ALCALÁ DE HENARES,284,005,60.79,60.79
2019-07,123,PORTUGAL,28005,ALCALÁ DE HENARES,405,005,93.65,93.65
2019-07,125,REINO UNIDO,28005,ALCALÁ DE HENARES,611,005,123.22,123.22
2019-07,126,ALEMANIA,28005,ALCALÁ DE HENARES,873,005,102.04,102.04
2019-07,128,RUMANIA,28005,ALCALÁ DE HENARES,362,005,109.21,109.21
2019-07,131,SUECIA,28005,ALCALÁ DE HENARES,500,005,72.9,72.9
2019-07,132,SUIZA,28005,ALCALÁ DE HENARES,101,005,183.3,183.3
2019-07,135,UCRANIA,28005,ALCALÁ DE HENARES,115,005,86.78,86.78
2019-07,142,LITUANIA,28005,ALCALÁ DE HENARES,57,005,86.78,86.78
2019-07,154,RUSIA,28005,ALCALÁ DE HENARES,32,005,94.32,94.32
2019-07,220,GUINEA ECUATORIAL,28005,ALCALÁ DE HENARES,78,005,86.78,86.78
2019-07,228,MARRUECOS,28005,ALCALÁ DE HENARES,63,005,86.78,86.78
2019-07,234,NIGERIA,28005,ALCALÁ DE HENARES,45,005,86.78,86.78
2019-07,302,EE.UU.,28005,ALCALÁ DE HENARES,624,005,119.05,119.05
2019-07,340,ARGENTINA,28005,ALCALÁ DE HENARES,47,005,86.91,86.91
2019-07,342,BRASIL,28005,ALCALÁ DE HENARES,50,005,117.09,117.09
2019-07,343,COLOMBIA,28005,ALCALÁ DE HENARES,70,005,162.67,162.67
2019-07,348,PERU,28005,ALCALÁ DE HENARES,31,005,86.78,86.78
2019-07,407,CHINA,28005,ALCALÁ DE HENARES,187,005,359.08,359.08
2019-07,430,REPUBLICA DE COREA - COREA DEL SUR,28005,ALCALÁ DE HENARES,181,005,116.04,116.04
2019-07,000,TOTAL,28006,ALCOBENDAS,7022,006,86.78,86.78
2019-07,010,TOTAL EUROPA,28006,ALCOBENDAS,5151,006,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28006,ALCOBENDAS,4287,006,86.78,86.78
2019-07,020,TOTAL ÁFRICA,28006,ALCOBENDAS,167,006,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28006,ALCOBENDAS,1192,006,86.78,86.78
2019-07,031,TOTAL AMÉRICA DEL NORTE,28006,ALCOBENDAS,723,006,86.78,86.78
2019-07,033,TOTAL SUDAMÉRICA,28006,ALCOBENDAS,458,006,86.78,86.78
2019-07,040,TOTAL ASIA,28006,ALCOBENDAS,495,006,86.78,86.78
2019-07,102,AUSTRIA,28006,ALCOBENDAS,416,006,92.57,92.57
2019-07,103,BÉLGICA,28006,ALCOBENDAS,173,006,85.46,85.46
2019-07,107,DINAMARCA,28006,ALCOBENDAS,79,006,78.39,78.39
2019-07,110,FRANCIA,28006,ALCOBENDAS,957,006,76.36,76.36
2019-07,113,IRLANDA,28006,ALCOBENDAS,113,006,88.95,88.95
2019-07,115,ITALIA,28006,ALCOBENDAS,215,006,88.99,88.99
2019-07,117,LUXEMBURGO,28006,ALCOBENDAS,81,006,86.78,86.78
