id,intensidad,ocupacion,carga,vmed,tipo_elem_estacion,distrito,id_punto,cod_cent,nombre,Long,Lat
4363,175,2.0,9,0.0,URB,10.0,3577,98412,(TACTICO)AYLLON N-S,-3.77580036259272,40.3993296237994
1033,0,0.0,0,0.0,URB,9.0,10520,28003,CALLE PINILLA E-O (BOLA DEL MUNDO-CARRETERA HUMERA),-3.77987116898586,40.4563140138964
3932,765,7.0,17,0.0,URB,10.0,5321,86017,AV. AVIACION O-E(MONROY-MIRABEL),-3.78325360873263,40.3770553007168
3684,269,3.0,12,0.0,URB,10.0,10394,80014,"AV. POBLADOS, 5 E-O(PILAR-PSO. EXTREMADURA)",-3.77068560302396,40.3936175457569
3941,288,0.0,10,0.0,URB,10.0,5328,86026,RAFAEL FINAT N-S(JOSOSE CADALSO-BLAS CABRERA),-3.77141302106472,40.3781580300946
1043,0,0.0,0,0.0,URB,9.0,4869,28015,CTRA. HUMERA ANTES Ø36 N-S(GOLONDRINA-V. ROSALES),-3.7799590391489,40.454236290517
4367,296,9.0,31,0.0,URB,10.0,5172,98416,(TACTICO) CTRA. CARABANCHEL ARAVACA E-O(GIRO SEBASTIAN ALVARO),-3.77197425884049,40.3941292380478
4588,314,6.0,19,0.0,M30,10.0,6949,PM31891,PM31891,-3.79222697056935,40.3782220693612
4348,452,4.0,21,0.0,URB,10.0,5176,98035,CTRA. CARABANCHEL ARAVACA O-E(VILLAVICIOSA-SEBASTIAN ALVARO),-3.77302038891824,40.3949993888015
1036,0,0.0,0,0.0,URB,9.0,10519,28007,ARROYO POZUELO O-E (VIA LACTEA - HUMERA),-3.78333011104187,40.452278064923
3930,377,1.0,8,0.0,URB,10.0,5319,86015,AV. AVIACION E-O(NAVALMORAL DE LA MATA-MIRABEL),-3.7802372471314,40.3754687647914
1048,420,2.0,0,83.0,URB,9.0,4883,28034,GOLONDRINA Ø22 S-N (ESCULTOR PERESEJO-BRÚJULA),-3.78538820476408,40.4548309987026
3957,665,2.0,8,0.0,URB,10.0,5316,86400,(TACTICO)ALDEA NUEVA VERA N-S(TALAYUELA-AV. AVIACION),-3.77681398762129,40.3751287746149
3683,44,0.0,6,0.0,URB,10.0,10395,80013,"PSO. EXTREMADURA, 437 S-N (ENTRADA MADRID)",-3.77193506201058,40.3935293946434
