Id_Recinto,Recinto,Pabellon,Latitud,Longitud,Nombre,Descripción,Ejecutante,Categoria,Subcategoria_1,Subcategoria_2,Subcategoria_3,Tipo_contenido_1,Tipo_contenido_2,Tipo_contenido_3,Aforo,Precio,Fecha_Inicio,Fecha_Fin,Hora_apertura_1,Hora_cierre_1,Hora_apertura_2,Hora_cierre_2,Restricciones,Tipo_espacio
0,IFEMA,Centro de Convenciones Sur,40.4653844,-3.6166477,Puerta Sur,Entrada desde la calle hasta el Centro de Convenciones Sur,,Accesos,Principal,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
1,IFEMA,Centro de Convenciones Sur,40.4657242,-3.6172178,Puerta Centro de Convenciones Sur - Pabellón1,Entrada desde el Centro de Convenciones sur hacia el Pabellon 1,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
2,IFEMA,Pabellon 1,40.4657102,-3.6173101,Puerta Pabellon 1 - Centro de Convenciones Sur,Entrada desde el Pabellon 1 hasta el Centro de Convenciones Sur,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
3,IFEMA,Centro de Convenciones Sur,40.4658539,-3.6162369,Puerta Centro de Convenciones Sur - Pabellón 2,Entrada desde el Centro de Convenciones sur hacia el Pabellon 2,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
4,IFEMA,Pabellon 2,40.4658639,-3.6161414,Puerta Pabellon 2 - Centro de Convenciones Sur,Entrada desde el Pabellon 2 hasta el Centro de Convenciones Sur,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
5,IFEMA,Pabellon 2,40.46628,-3.61607,Puerta Pabellon 2 - Pabellon 4,Entrada desde el Pabellon 2 hasta Pabellon 4,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
6,IFEMA,Pabellon 2,40.46608,-3.61758,Puerta Pabellon 1 - Pabellon 3,Entrada desde el Pabellon 1 hasta Pabellon 3,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
7,IFEMA,Pabellon 3,40.46721,-3.61744,Puerta Pabellon 3 - Pabellon 5,Entrada desde el Pabellon 3 hasta Pabellon 5,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
8,IFEMA,Pabellon 4,40.46735,-3.61634,Puerta Pabellon 4 - Pabellon 6,Entrada desde el Pabellon 4 hasta Pabellon 6,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
9,IFEMA,Pabellon 5,40.46827,-3.61768,Puerta Pabellon 5 - Pabellon 7,Entrada desde el Pabellon 5 hasta Pabellon 7,,Accesos,Secundario,Publico,,,,,,Gratuito,,,8:00,0:00,,,,Cerrado
